seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2
29648,2022,4219,Aaron Gordon,PF,DEN,71,2231,0,0,53,45,3,wing_big_percent,98,6,8,235,80,wing
29649,2022,4899,Aaron Henry,SF,PHI,6,17,0,11,69,21,0,wing_big_percent,90,NA,NA,NA,NA,wing
29651,2022,4582,Aaron Holiday,PG,WAS,41,663,100,0,0,0,0,guard_percent,100,6,0,185,72,guard
29652,2022,4582,Aaron Holiday,PG,PHO,17,290,97,3,0,0,0,guard_percent,100,6,0,185,72,guard
29653,2022,4805,Aaron Nesmith,SF,BOS,48,533,1,27,65,7,0,wing_small_percent,92,6,5,215,77,wing
29654,2022,4900,Aaron Wiggins,SG,OKC,48,1158,8,65,26,1,0,wing_small_percent,91,6,6,200,78,wing
29655,2022,4463,Abdel Nader,SF,PHO,14,145,0,13,86,1,0,wing_small_percent,99,NA,NA,NA,NA,wing
29656,2022,4901,Ade Murkey,SG,SAC,1,1,0,0,100,0,0,wing_small_percent,100,NA,NA,NA,NA,wing
29656,2022,4901,Ade Murkey,SG,SAC,1,1,0,0,100,0,0,wing_big_percent,100,NA,NA,NA,NA,wing
29657,2022,4688,Admiral Schofield,SF,ORL,35,408,0,5,58,37,0,wing_big_percent,95,6,5,241,77,wing
29658,2022,4902,Ahmad Caver,PG,IND,1,1,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
29659,2022,3734,Al Horford,C,BOS,65,1887,0,0,0,1,99,big_percent,100,6,9,240,81,big
29660,2022,3982,Alec Burks,SG,NYK,76,2147,35,34,31,0,0,guard_percent,69,6,6,214,78,guard
29661,2022,4903,Aleem Ford,SF,ORL,5,74,0,11,44,33,11,wing_big_percent,77,NA,NA,NA,NA,wing
29662,2022,4806,Aleksej Pokusevski,PF,OKC,60,1197,0,0,2,50,49,big_percent,99,7,0,190,84,big
29663,2022,4465,Alex Caruso,SG,CHI,39,1103,36,61,3,0,0,guard_percent,97,6,4,186,76,guard
29664,2022,4142,Alex Len,C,SAC,38,616,0,0,0,0,100,big_percent,100,7,0,250,84,big
29665,2022,4466,Alfonzo McKinnie,SF,CHI,17,206,0,6,47,47,0,wing_big_percent,94,NA,NA,NA,NA,wing
29667,2022,4583,Alize Johnson,PF,CHI,16,121,0,0,4,20,76,big_percent,96,NA,NA,NA,NA,big
29668,2022,4583,Alize Johnson,PF,WAS,3,18,0,0,39,61,0,wing_big_percent,100,NA,NA,NA,NA,wing
29669,2022,4583,Alize Johnson,PF,NOP,4,28,0,0,4,69,27,big_percent,96,NA,NA,NA,NA,big
29670,2022,4904,Alperen Şengün,C,HOU,68,1353,0,0,0,24,76,big_percent,100,6,9,235,81,big
29671,2022,4690,Amir Coffey,SG,LAC,64,1467,3,53,39,5,0,wing_small_percent,92,6,7,210,79,wing
29673,2022,4064,Andre Drummond,C,PHI,49,902,0,0,0,1,99,big_percent,100,6,10,279,82,big
29674,2022,4064,Andre Drummond,C,BRK,19,435,0,0,0,0,100,big_percent,100,6,10,279,82,big
29675,2022,3500,Andre Iguodala,SF,GSW,28,550,0,12,64,23,2,wing_big_percent,87,6,6,215,78,wing
29676,2022,4223,Andrew Wiggins,SF,GSW,69,2198,0,1,63,34,2,wing_big_percent,97,6,7,197,79,wing
29677,2022,4586,Anfernee Simons,SG,POR,57,1681,68,32,0,0,0,guard_percent,100,6,3,181,75,guard
29678,2022,4066,Anthony Davis,C,LAL,37,1297,0,0,0,22,78,big_percent,100,6,10,253,82,big
29679,2022,4808,Anthony Edwards,SG,MIN,67,2301,2,27,68,4,0,wing_small_percent,95,6,4,225,76,wing
29680,2022,4809,Anthony Gill,PF,WAS,39,370,0,0,12,80,9,wing_big_percent,92,6,7,230,79,wing
29681,2022,4810,Anthony Lamb,SF,SAS,2,8,0,0,50,50,0,wing_big_percent,100,6,6,227,78,wing
29683,2022,4811,Armoni Brooks,SG,HOU,41,690,58,39,3,0,0,guard_percent,97,6,3,195,75,guard
29684,2022,4811,Armoni Brooks,PG,TOR,10,116,77,23,0,0,0,guard_percent,100,6,3,195,75,guard
29685,2022,4905,Arnoldas Kulboka,SF,CHO,1,3,0,0,0,100,0,wing_big_percent,100,6,9,198,81,wing
29685,2022,4905,Arnoldas Kulboka,SF,CHO,1,3,0,0,0,100,0,big_percent,100,6,9,198,81,big
29686,2022,4906,Austin Reaves,SG,LAL,57,1284,5,47,47,1,0,wing_small_percent,94,6,5,206,77,wing
29687,2022,4069,Austin Rivers,SG,DEN,62,1362,1,56,42,1,0,wing_small_percent,98,6,4,200,76,wing
29688,2022,3918,Avery Bradley,SG,LAL,59,1327,18,79,3,0,0,guard_percent,97,6,3,180,75,guard
29689,2022,4907,Ayo Dosunmu,SG,CHI,72,1959,23,65,13,0,0,guard_percent,88,6,5,200,77,guard
29690,2022,4588,B.J. Johnson,SF,ORL,4,65,1,49,50,0,0,wing_small_percent,99,NA,NA,NA,NA,wing
29691,2022,4472,Bam Adebayo,C,MIA,52,1700,0,0,0,2,98,big_percent,100,6,9,255,81,big
29692,2022,4148,Ben McLemore,SG,POR,58,1133,8,73,19,0,0,wing_small_percent,92,6,3,195,75,wing
29693,2022,3984,Bismack Biyombo,C,PHO,32,423,0,0,0,6,94,big_percent,100,6,8,255,80,big
29694,2022,3920,Blake Griffin,PF,BRK,55,952,0,0,8,52,40,big_percent,92,6,9,250,81,big
29695,2022,4306,Boban Marjanović,C,DAL,21,108,0,0,0,0,100,big_percent,100,7,3,290,87,big
29696,2022,4307,Bobby Portis,C,MIL,67,1904,0,0,0,5,95,big_percent,100,6,10,250,82,big
29697,2022,4475,Bogdan Bogdanović,SG,ATL,58,1700,0,37,63,1,0,wing_small_percent,100,6,6,220,78,wing
29698,2022,4224,Bojan Bogdanović,PF,UTA,65,2002,0,0,4,95,1,wing_big_percent,99,6,7,226,79,wing
29699,2022,4692,Bol Bol,PF,DEN,14,81,0,0,0,14,86,big_percent,100,7,2,220,86,big
29700,2022,4908,Bones Hyland,PG,DEN,64,1192,50,49,1,0,0,guard_percent,99,6,3,173,75,guard
29702,2022,4591,Brad Wanamaker,PG,IND,22,293,92,9,0,0,0,guard_percent,101,NA,NA,NA,NA,guard
29703,2022,4591,Brad Wanamaker,PG,WAS,1,27,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
29704,2022,4072,Bradley Beal,SG,WAS,40,1439,16,83,1,0,0,guard_percent,99,6,4,207,76,guard
29705,2022,4909,Brandon Boston Jr.,SG,LAC,50,722,13,39,47,2,0,wing_small_percent,86,6,7,185,79,wing
29706,2022,4693,Brandon Clarke,PF,MEM,60,1167,0,0,18,82,1,wing_big_percent,100,6,8,215,80,wing
29707,2022,4592,Brandon Goodwin,PG,CLE,33,482,100,0,0,0,0,guard_percent,100,6,0,180,72,guard
29708,2022,4379,Brandon Ingram,SF,NOP,52,1766,0,20,63,18,0,wing_small_percent,83,6,8,190,80,wing
