seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,g_total,g_percent,ts_rank,usg_rank,vorp_rank,empty_stats
29648,2022,4219,Aaron Gordon,NA,PF,26,8,NBA,DEN,71,2231,15,0.592,0.308,0.275,6.2,13.9,10.2,11.8,0.9,1.7,12.4,19.7,2.8,1.9,4.8,0.102,0.3,-1.1,-0.8,0.7,77,0.922077922077922,0.2727272727272727,0.6666666666666666,0.5151515151515151,1.4545454545454546
29650,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,TOT,58,953,13.2,0.561,0.295,0.188,2.3,10.2,6.4,20.7,2.1,0.8,15.5,18.2,0.7,0.9,1.6,0.079,-1.6,0.4,-1.2,0.2,76.66666666666667,0.7565217391304347,0.3050847457627119,0.288135593220339,0.5932203389830508,1.1864406779661016
29653,2022,4805,Aaron Nesmith,NA,SF,22,2,NBA,BOS,48,533,7,0.487,0.608,0.145,3.1,13.9,8.6,5.3,1.7,0.9,12.8,16.8,-0.4,0.8,0.4,0.034,-5.1,0.7,-4.4,-0.3,77,0.6233766233766234,0.9420289855072463,0.5072463768115942,0.855072463768116,2.3043478260869565
29654,2022,4900,Aaron Wiggins,NA,SG,23,1,NBA,OKC,48,1158,10.3,0.557,0.412,0.242,4.4,10.7,7.5,8.2,1.3,0.8,12.4,15,0.5,0.7,1.3,0.052,-3.4,-0.8,-4.2,-0.6,76,0.631578947368421,0.4418604651162791,0.26744186046511625,0.9418604651162791,1.6511627906976742
29659,2022,3734,Al Horford,NA,C,35,15,NBA,BOS,65,1887,16.2,0.557,0.471,0.175,5.8,22.1,14.2,16.3,1.2,4.3,9.7,15,3.1,3.6,6.7,0.171,1,2.8,3.9,2.8,77,0.8441558441558441,0.84375,0.234375,0.09375,1.171875
29660,2022,3982,Alec Burks,NA,SG,30,11,NBA,NYK,76,2147,13.8,0.553,0.535,0.359,2.2,16.5,9.2,15.5,1.9,1.1,9.1,17.7,3,2.5,5.6,0.124,-0.3,1.2,0.9,1.6,77,0.987012987012987,0.5232558139534884,0.4418604651162791,0.06976744186046512,1.0348837209302326
29662,2022,4806,Aleksej Pokusevski,NA,PF,20,2,NBA,OKC,60,1197,11.8,0.482,0.434,0.113,6.1,20.5,13.2,15.5,1.5,2.9,15.9,19.9,-1.1,1.4,0.4,0.015,-2.8,0,-2.8,-0.2,76,0.7894736842105263,0.9848484848484849,0.696969696969697,0.9090909090909091,2.590909090909091
29663,2022,4465,Alex Caruso,NA,SG,27,5,NBA,CHI,39,1103,12.1,0.543,0.484,0.294,3.1,11.3,7.2,17.9,3.1,1.2,16.7,13.4,0.8,1.3,2.1,0.09,-2,2.5,0.5,0.7,77,0.5064935064935064,0.5697674418604651,0.16279069767441862,0.27906976744186046,1.0116279069767442
29670,2022,4904,Alperen Şengün,NA,C,19,1,NBA,HOU,68,1353,16,0.55,0.219,0.458,10,19.1,14.6,18.9,2,4.3,19.1,22.5,0.5,1.3,1.8,0.065,-1.7,0.7,-1,0.4,77,0.8831168831168831,0.890625,0.796875,0.640625,2.328125
29671,2022,4690,Amir Coffey,NA,SG,24,3,NBA,LAC,64,1467,12.1,0.583,0.546,0.249,1.8,10.7,6.4,10.8,1.1,0.8,8.2,15.4,1.8,1.2,3,0.098,-0.8,-0.1,-1,0.4,77,0.8311688311688312,0.1744186046511628,0.32558139534883723,0.43023255813953487,0.9302325581395349
