,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
0,203932,Aaron Gordon,1610612743,DEN,26.0,74,31.6,5.32,3.47,1.85,0.91,0.01,0.72,1.76,0.42,0.24,0.66,0.633,0.367,0.14,0.39,0.53,0.45,0.32,0.256,0.744,0.943,0.686,1610612743,Nuggets,47,33,80,0.925,0.3333333333333333,0.3563218390804598,0.0603448275862069,0.2471264367816092,0.1752873563218391,1.1724137931034482
2,1628988,Aaron Holiday,1610612756,PHX,25.0,60,16.0,2.53,1.2,1.33,1.3,0.0,0.12,0.3,0.2,0.27,0.47,0.429,0.571,0.03,0.3,0.33,0.32,0.05,0.1,0.9,0.95,0.15,1610612756,Suns,63,16,79,0.759493670886076,0.15229885057471265,0.29022988505747127,0.8505747126436781,0.44971264367816094,0.8994252873563219,2.6422413793103448
3,1630174,Aaron Nesmith,1610612738,BOS,22.0,49,11.0,2.9,1.8,1.1,0.57,0.08,0.08,0.2,0.1,0.14,0.24,0.417,0.583,0.06,0.41,0.47,0.43,0.2,0.13,0.87,0.955,0.455,1610612738,Celtics,49,30,79,0.620253164556962,0.9281609195402298,0.75,0.4396551724137931,0.7155172413793104,0.6551724137931034,3.488505747126437
4,1630598,Aaron Wiggins,1610612760,OKC,23.0,50,24.2,6.06,3.06,3.0,1.28,0.0,0.28,0.6,0.2,0.32,0.52,0.385,0.615,0.02,0.46,0.48,0.44,0.18,0.042,0.958,0.957,0.391,1610612760,Thunder,24,55,79,0.6329113924050633,0.15229885057471265,0.7011494252873564,0.46839080459770116,0.45689655172413796,0.6982758620689655,2.4770114942528734
9,201143,Al Horford,1610612738,BOS,35.0,67,29.1,11.0,7.4,3.6,0.97,0.0,2.04,4.69,0.3,0.31,0.61,0.488,0.512,0.33,2.0,2.33,2.01,1.25,0.141,0.859,0.978,0.609,1610612738,Celtics,49,30,79,0.8481012658227848,0.15229885057471265,0.9511494252873564,0.11781609195402298,0.9224137931034483,0.46839080459770116,2.6120689655172415
10,202692,Alec Burks,1610612752,NYK,30.0,78,28.3,5.44,2.65,2.78,1.69,0.0,0.19,0.42,0.35,0.37,0.72,0.482,0.518,0.0,0.23,0.23,0.19,0.06,0.0,1.0,1.0,0.333,1610612752,Knicks,35,44,79,0.9873417721518988,0.15229885057471265,0.49712643678160917,0.6149425287356322,0.11206896551724138,0.6810344827586207,2.057471264367816
12,1630197,Aleksej Pokusevski,1610612760,OKC,20.0,61,20.2,5.84,3.21,2.62,1.18,0.0,0.36,0.82,0.13,0.21,0.34,0.381,0.619,0.0,0.3,0.3,0.28,0.13,0.0,1.0,1.0,0.471,1610612760,Thunder,24,55,79,0.7721518987341772,0.15229885057471265,0.7988505747126436,0.5948275862068966,0.32471264367816094,0.4425287356321839,2.3132183908045976
13,1627936,Alex Caruso,1610612741,CHI,28.0,41,28.0,4.76,2.22,2.54,3.32,0.17,0.61,1.29,0.17,0.49,0.66,0.259,0.741,0.0,0.51,0.51,0.51,0.24,0.0,1.0,1.0,0.476,1610612741,Bulls,45,34,79,0.5189873417721519,0.8994252873563219,0.3649425287356322,0.985632183908046,0.4339080459770115,0.9137931034482759,3.597701149425287
17,1630578,Alperen Sengun,1610612745,HOU,19.0,70,20.3,7.27,5.27,2.0,1.71,0.16,2.11,5.17,0.36,0.2,0.56,0.641,0.359,0.41,1.36,1.77,1.34,0.71,0.234,0.766,0.922,0.49,1610612745,Rockets,20,60,80,0.875,0.9425287356321839,0.9109195402298851,0.8735632183908046,0.9137931034482759,0.382183908045977,4.022988505747126
18,1629599,Amir Coffey,1610612746,LAC,24.0,66,22.9,2.94,1.79,1.15,1.12,0.05,0.21,0.44,0.21,0.14,0.35,0.609,0.391,0.02,0.3,0.32,0.29,0.11,0.048,0.952,0.95,0.35,1610612746,Clippers,39,40,79,0.8354430379746836,0.7298850574712644,0.13505747126436782,0.3793103448275862,0.27298850574712646,0.07758620689655173,1.5948275862068968
