player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,median,npm_diff
Bogdan Bogdanović,ATL,63,1848,6.3,0.7682926829268293,1.9,4.4
Jayson Tatum,BOS,76,2731,13.8,0.926829268292683,-4.699999999999999,18.5
Kevin Durant,BRK,55,2047,11.9,0.6707317073170732,-1.6,13.5
Tony Bradley,CHI,55,549,9.5,0.6707317073170732,-0.7,10.2
Miles Bridges,CHO,80,2837,5.8,0.975609756097561,1.2,4.6
Darius Garland,CLE,68,2430,12.1,0.8292682926829268,0,12.1
Reggie Bullock,DAL,68,1902,7.4,0.8292682926829268,0.05,7.3500000000000005
Nikola Jokić,DEN,74,2476,16.4,0.9024390243902439,-1.25,17.65
Rodney McGruder,DET,51,754,5.9,0.6219512195121951,-0.2,6.1000000000000005
Stephen Curry,GSW,64,2211,10,0.7804878048780488,0.5,9.5
Eric Gordon,HOU,57,1669,4.9,0.6951219512195121,-0.8,5.7
Myles Turner,IND,42,1235,5.2,0.5121951219512195,0.8,4.4
Isaiah Hartenstein,LAC,68,1216,9.9,0.8292682926829268,-2.9,12.8
Austin Reaves,LAL,61,1418,6.5,0.7439024390243902,0.3,6.2
Steven Adams,MEM,76,1999,4.2,0.926829268292683,-0.15000000000000002,4.3500000000000005
Bam Adebayo,MIA,56,1825,5.5,0.6829268292682927,1.4,4.1
Jrue Holiday,MIL,67,2207,14,0.8170731707317073,4.800000000000001,9.2
Karl-Anthony Towns,MIN,74,2476,6.3,0.9024390243902439,0.6,5.7
Jose Alvarado,NOP,54,834,11.7,0.6585365853658537,-0.2,11.899999999999999
Immanuel Quickley,NYK,78,1802,13.8,0.9512195121951219,-1.7,15.5
Kenrich Williams,OKC,49,1072,13.1,0.5975609756097561,-0.3,13.4
Wendell Carter Jr.,ORL,62,1852,8.8,0.7560975609756098,-0.7,9.5
Joel Embiid,PHI,68,2297,11.5,0.8292682926829268,-0.55,12.05
Mikal Bridges,PHO,82,2854,9.5,1,-1.95,11.45
Jusuf Nurkić,POR,56,1579,13.8,0.6829268292682927,-6.7,20.5
De'Aaron Fox,SAC,59,2083,2,0.7195121951219512,-0.6,2.6
Jakob Poeltl,SAS,68,1970,5.3,0.8292682926829268,-0.9,6.2
Pascal Siakam,TOR,68,2578,6.6,0.8292682926829268,-0.1,6.699999999999999
Rudy Gobert,UTA,66,2120,7.1,0.8048780487804879,0.2,6.8999999999999995
Anthony Gill,WAS,44,463,13.1,0.5365853658536586,-2.2,15.3
