seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2
29648,2022,4219,Aaron Gordon,PF,DEN,75,2376,0,0,51,46,3,wing_big_percent,97,6,8,235,80,wing
29649,2022,4899,Aaron Henry,SF,PHI,6,17,0,11,69,21,0,wing_big_percent,90,NA,NA,NA,NA,wing
29651,2022,4582,Aaron Holiday,PG,WAS,41,663,100,0,0,0,0,guard_percent,100,6,0,185,72,guard
29652,2022,4582,Aaron Holiday,PG,PHO,22,358,98,2,0,0,0,guard_percent,100,6,0,185,72,guard
29653,2022,4805,Aaron Nesmith,SF,BOS,52,574,1,30,63,7,0,wing_small_percent,93,6,5,215,77,wing
29654,2022,4900,Aaron Wiggins,SG,OKC,50,1209,8,66,25,1,0,wing_small_percent,91,6,6,200,78,wing
29655,2022,4463,Abdel Nader,SF,PHO,14,145,0,13,86,1,0,wing_small_percent,99,NA,NA,NA,NA,wing
29656,2022,4901,Ade Murkey,SG,SAC,1,1,0,0,100,0,0,wing_small_percent,100,NA,NA,NA,NA,wing
29656,2022,4901,Ade Murkey,SG,SAC,1,1,0,0,100,0,0,wing_big_percent,100,NA,NA,NA,NA,wing
29657,2022,4688,Admiral Schofield,SF,ORL,38,469,0,4,56,40,0,wing_big_percent,96,6,5,241,77,wing
29658,2022,4902,Ahmad Caver,PG,IND,1,1,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA,guard
29659,2022,3734,Al Horford,C,BOS,69,2005,0,0,0,1,99,big_percent,100,6,9,240,81,big
29660,2022,3982,Alec Burks,SG,NYK,81,2318,35,35,30,0,0,guard_percent,70,6,6,214,78,guard
29661,2022,4903,Aleem Ford,SF,ORL,5,74,0,11,44,33,11,wing_big_percent,77,NA,NA,NA,NA,wing
29662,2022,4806,Aleksej Pokusevski,PF,OKC,61,1233,0,0,2,49,49,big_percent,98,7,0,190,84,big
29663,2022,4465,Alex Caruso,SG,CHI,41,1147,37,60,3,0,0,guard_percent,97,6,4,186,76,guard
