seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,g_total,g_percent,pts_as_percent_of_other_stats
29648,2022,4219,Aaron Gordon,NA,PF,26,8,NBA,DEN,71,71,31.4,5.6,11,0.513,1.1,3.4,0.32,4.6,7.6,0.599,0.562,2.2,3,0.74,1.7,4.1,5.7,2.5,0.6,0.6,1.7,2,14.6,77,0.922077922077922,0.6083333333333333
29650,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,TOT,58,14,16.4,2.5,5.3,0.468,0.6,1.6,0.396,1.9,3.7,0.498,0.526,0.9,1,0.862,0.3,1.6,1.9,2.4,0.7,0.2,1.1,1.4,6.4,76.66666666666667,0.7565217391304347,0.5517241379310345
29659,2022,3734,Al Horford,NA,C,35,15,NBA,BOS,65,65,29,3.7,8.3,0.451,1.2,3.9,0.32,2.5,4.4,0.567,0.526,1.2,1.4,0.84,1.5,6.1,7.6,3.3,0.7,1.4,1,1.9,9.9,77,0.8441558441558441,0.4323144104803494
29660,2022,3982,Alec Burks,NA,SG,30,11,NBA,NYK,76,39,28.3,3.5,9,0.387,1.9,4.8,0.395,1.6,4.2,0.379,0.493,2.7,3.2,0.824,0.6,4.3,4.8,2.9,1.1,0.3,1,2.5,11.5,77,0.987012987012987,0.558252427184466
29662,2022,4806,Aleksej Pokusevski,NA,PF,20,2,NBA,OKC,60,11,20,3,7.4,0.405,0.9,3.2,0.281,2.1,4.2,0.5,0.466,0.6,0.8,0.7,1.2,3.9,5.1,2,0.6,0.6,1.5,1.4,7.5,76,0.7894736842105263,0.4746835443037975
29670,2022,4904,Alperen Şengün,NA,C,19,1,NBA,HOU,68,9,19.9,3.4,7.1,0.472,0.4,1.6,0.264,2.9,5.5,0.531,0.501,2.3,3.3,0.697,1.8,3.5,5.3,2.4,0.9,1,2,2.9,9.4,77,0.8831168831168831,0.49473684210526325
29671,2022,4690,Amir Coffey,NA,SG,24,3,NBA,LAC,64,28,22.9,2.9,6.6,0.442,1.3,3.6,0.362,1.6,3,0.539,0.541,1.4,1.7,0.849,0.4,2.4,2.8,1.7,0.5,0.2,0.7,1.3,8.6,77,0.8311688311688312,0.6231884057971016
29672,2022,4064,Andre Drummond,NA,C,28,10,NBA,TOT,68,31,19.7,3.2,5.7,0.571,0,0,0,3.2,5.6,0.576,0.571,1.2,2.4,0.516,3,6.1,9.1,1.9,1.1,0.9,1.6,2.6,7.7,76.66666666666667,0.8869565217391304,0.37198067632850246
29676,2022,4223,Andrew Wiggins,NA,SF,26,8,NBA,GSW,69,69,31.9,6.5,14,0.463,2.1,5.4,0.386,4.4,8.6,0.512,0.538,2,3.2,0.638,1.2,3.3,4.5,2.2,1.1,0.7,1.5,2.1,17.1,77,0.8961038961038961,0.66796875
29677,2022,4586,Anfernee Simons,NA,SG,22,4,NBA,POR,57,30,29.5,6.2,14,0.443,3.1,7.8,0.405,3.1,6.2,0.49,0.555,1.8,2,0.888,0.5,2.2,2.6,3.9,0.5,0.1,2,1.9,17.3,76,0.75,0.7090163934426229
29679,2022,4808,Anthony Edwards,NA,SG,20,2,NBA,MIN,67,67,34.3,7.5,17.3,0.436,3,8.3,0.36,4.5,8.9,0.508,0.523,3,3.8,0.78,0.9,3.9,4.8,3.7,1.5,0.7,2.7,2.3,21,77,0.8701298701298701,0.6624605678233438
29686,2022,4906,Austin Reaves,NA,SG,23,1,NBA,LAL,57,16,22.5,2.2,4.9,0.457,0.8,2.6,0.307,1.4,2.2,0.633,0.54,1.3,1.5,0.837,0.7,2.2,2.9,1.6,0.4,0.3,0.6,1.5,6.5,76,0.75,0.5555555555555555
29687,2022,4069,Austin Rivers,NA,SG,29,10,NBA,DEN,62,16,22,2.2,5.3,0.418,1.2,3.5,0.349,1,1.8,0.555,0.534,0.5,0.6,0.725,0.3,1.4,1.7,1.4,0.8,0.1,0.8,1.8,6.1,77,0.8051948051948052,0.6039603960396039
29688,2022,3918,Avery Bradley,NA,SG,31,12,NBA,LAL,59,42,22.5,2.3,5.7,0.411,1.3,3.4,0.381,1,2.3,0.455,0.525,0.3,0.3,0.889,0.5,1.7,2.3,0.8,0.8,0.2,0.6,1.9,6.3,76,0.7763157894736842,0.6057692307692307
29689,2022,4907,Ayo Dosunmu,NA,SG,22,1,NBA,CHI,72,36,27.2,3.5,6.7,0.517,0.9,2.4,0.372,2.6,4.3,0.596,0.583,0.6,0.9,0.676,0.3,2.4,2.7,3.3,0.7,0.4,1.3,2.4,8.5,77,0.935064935064935,0.5448717948717949
29692,2022,4148,Ben McLemore,NA,SG,28,9,NBA,POR,58,6,19.5,3.2,8.3,0.391,2.3,6.4,0.358,0.9,1.8,0.505,0.53,1.1,1.3,0.824,0.2,1.4,1.6,0.8,0.5,0.2,0.8,1.6,9.8,76,0.7631578947368421,0.7596899224806202
29694,2022,3920,Blake Griffin,NA,PF,32,12,NBA,BRK,55,24,17.3,2.4,5.7,0.426,0.7,2.6,0.264,1.7,3.1,0.565,0.487,1,1.4,0.724,1.1,3,4.1,1.9,0.5,0.3,0.6,1.7,6.5,77,0.7142857142857143,0.48872180451127817
29696,2022,4307,Bobby Portis,NA,C,26,7,NBA,MIL,67,58,28.4,5.7,12,0.474,1.9,4.7,0.397,3.8,7.3,0.525,0.553,1.3,1.7,0.75,2.5,6.6,9.1,1.2,0.7,0.8,1.3,2.4,14.5,76,0.881578947368421,0.5513307984790874
