seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,name,value,ht_ft,ht_in,wt,full_in_ht
29648,2022,4219,Aaron Gordon,PF,DEN,56,1770,0,0,48,48,3,big_wing_percent,96,6,8,235,80
29649,2022,4899,Aaron Henry,SF,PHI,6,17,0,11,69,21,0,big_wing_percent,90,NA,NA,NA,NA
29651,2022,4582,Aaron Holiday,PG,WAS,41,663,100,0,0,0,0,guard_percent,100,6,0,185,72
29652,2022,4582,Aaron Holiday,PG,PHO,5,86,90,10,0,0,0,guard_percent,100,6,0,185,72
29653,2022,4805,Aaron Nesmith,SF,BOS,43,451,1,28,63,9,0,small_wing_percent,91,6,5,215,77
29654,2022,4900,Aaron Wiggins,SG,OKC,37,824,8,68,23,1,0,small_wing_percent,91,6,6,200,78
29655,2022,4463,Abdel Nader,SF,PHO,14,145,0,13,86,1,0,small_wing_percent,99,NA,NA,NA,NA
29656,2022,4901,Ade Murkey,SG,SAC,1,1,0,0,100,0,0,small_wing_percent,100,NA,NA,NA,NA
29656,2022,4901,Ade Murkey,SG,SAC,1,1,0,0,100,0,0,big_wing_percent,100,NA,NA,NA,NA
29657,2022,4688,Admiral Schofield,SF,ORL,26,275,0,7,54,38,1,big_wing_percent,92,6,5,241,77
29658,2022,4902,Ahmad Caver,PG,IND,1,1,100,0,0,0,0,guard_percent,100,NA,NA,NA,NA
29659,2022,3734,Al Horford,C,BOS,53,1510,0,0,0,1,99,big_percent,100,6,9,240,81
29660,2022,3982,Alec Burks,SG,NYK,60,1612,25,37,38,0,0,small_wing_percent,75,6,6,214,78
29661,2022,4903,Aleem Ford,SF,ORL,5,74,0,11,44,33,11,big_wing_percent,77,NA,NA,NA,NA
29662,2022,4806,Aleksej Pokusevski,PF,OKC,45,760,0,0,1,63,37,big_percent,100,7,0,190,84
29663,2022,4465,Alex Caruso,SG,CHI,28,775,27,69,5,0,0,guard_percent,96,6,4,186,76
29664,2022,4142,Alex Len,C,SAC,34,562,0,0,0,0,100,big_percent,100,7,0,250,84
29665,2022,4466,Alfonzo McKinnie,SF,CHI,17,206,0,6,47,47,0,big_wing_percent,94,NA,NA,NA,NA
29667,2022,4583,Alize Johnson,PF,CHI,16,121,0,0,4,20,76,big_percent,96,6,7,212,79
29668,2022,4583,Alize Johnson,PF,WAS,3,18,0,0,39,61,0,big_wing_percent,100,6,7,212,79
29669,2022,4904,Alperen Şengün,C,HOU,52,972,0,0,0,26,74,big_percent,100,6,9,235,81
29670,2022,4690,Amir Coffey,SG,LAC,50,1114,1,48,45,6,0,small_wing_percent,93,6,7,210,79
29672,2022,4064,Andre Drummond,C,PHI,49,902,0,0,0,1,99,big_percent,100,6,10,279,82
29673,2022,4064,Andre Drummond,C,BRK,6,130,0,0,0,0,100,big_percent,100,6,10,279,82
29674,2022,3500,Andre Iguodala,SF,GSW,26,518,0,10,65,23,2,big_wing_percent,88,6,6,215,78
29675,2022,4223,Andrew Wiggins,SF,GSW,56,1773,0,1,63,33,2,big_wing_percent,96,6,7,197,79
29676,2022,4586,Anfernee Simons,SG,POR,55,1613,68,32,0,0,0,guard_percent,100,6,3,181,75
29677,2022,4066,Anthony Davis,C,LAL,37,1297,0,0,0,22,78,big_percent,100,6,10,253,82
29678,2022,4808,Anthony Edwards,SG,MIN,56,1935,2,31,64,3,0,small_wing_percent,95,6,4,225,76
