season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,team_avg_weighted_npm,avg_wo_leader,npm_diff,avg_wo_trailer
2023,AJ Griffin,ATL,72,1401,3.8,0.8780487804878049,-0.2212131696260757,-0.5487621551712286,0.3275489855451529,NA
2023,Derrick White,BOS,82,2319,9.8,1,0.62748472460474225,-0.4427871132129462,1.0702718378176885,NA
2023,Nic Claxton,BRK,76,2271,9.1,0.926829268292683,-0.2976897366295874,-2.091905315892508,1.7942155792629204,NA
2023,Derrick Jones Jr.,CHI,64,893,7.5,0.7804878048780488,-1.7040543305139308,-2.2500287649179023,0.5459744344039714,NA
2023,Dennis Smith Jr.,CHO,54,1390,6.4,0.6585365853658537,-0.14180392385697205,-0.7278378480908759,0.5860339242339039,NA
2023,Darius Garland,CLE,69,2447,5.9,0.8414634146341463,1.1673338739524952,0.4786513382924437,0.6886825356600514,NA
2023,Dwight Powell,DAL,76,1458,9.3,0.926829268292683,1.4969974593546411,0.820095926832921,0.6769015325217201,NA
2023,Nikola Jokić,DEN,69,2323,22,0.8414634146341463,4.406400366271396,1.8855004705400464,2.5208998957313495,NA
2023,Hamidou Diallo,DET,56,996,10.9,0.6829268292682927,-0.1941684379646512,-0.9086941595227596,0.7145257215581083,NA
2023,Draymond Green,GSW,73,2297,13.1,0.8902439024390244,1.0500693389325144,-0.5771357956882516,1.627205134620766,NA
2023,Tari Eason,HOU,82,1767,7.9,1,-0.8643500130939374,-1.6471522583282634,0.782802245234326,NA
2023,Oshae Brissett,IND,65,1083,4.8,0.7926829268292683,-0.0877250480605476,-0.41310278068891837,0.3253777326283708,NA
2023,Kawhi Leonard,LAC,52,1748,9.3,0.6341463414634146,0.5572127116200624,-0.7980500765809918,1.3552627882010542,NA
2023,LeBron James,LAL,55,1954,8.8,0.6707317073170732,0.8936925872970825,-0.2527071147503093,1.1463997020473917,NA
2023,Jaren Jackson Jr.,MEM,63,1787,11.7,0.7682926829268293,2.4654546995703255,1.3945905627637516,1.0708641368065739,NA
2023,Tyler Herro,MIA,67,2337,6.8,0.8170731707317073,0.8187481782159575,-0.03792762626312719,0.8566758044790846,NA
2023,Jrue Holiday,MIL,67,2183,12.8,0.8170731707317073,3.4477822839334484,2.022932231530277,1.4248500524031713,NA
2023,Jordan McLaughlin,MIN,43,678,8.6,0.524390243902439,0.603913515782573,0.07373378586178157,0.5301797299207914,NA
2023,Larry Nance Jr.,NOP,65,1381,8.8,0.7926829268292683,-0.6339780335272212,-1.4499287463111212,0.8159507127839001,NA
2023,Immanuel Quickley,NYK,81,2344,8.6,0.9878048780487805,-0.15456452912615218,-1.284216538959137,1.1296520098329847,NA
2023,Lindy Waters III,OKC,41,531,10.1,0.5,0.5026845127059723,0.02057992079851877,0.4821045919074535,NA
2023,Franz Wagner,ORL,80,2609,10.2,0.975609756097561,0.6413501472915288,-0.6236442846369313,1.2649944319284603,NA
2023,Joel Embiid,PHI,66,2284,10.2,0.8048780487804879,1.0270189457742316,-0.2622600071101448,1.2892789528843764,NA
2023,Devin Booker,PHO,53,1835,7,0.6463414634146342,0.047587667832316244,-1.0151010906830433,1.0626887585153595,NA
2023,Damian Lillard,POR,58,2107,12.8,0.7073170731707317,4.060403536888203,2.6274743658662545,1.4329291710219487,NA
2023,Josh Hart,POR,51,1704,12.8,0.6219512195121951,4.060403536888203,2.6274743658662545,1.4329291710219487,NA
2023,Chimezie Metu,SAC,66,689,5.9,0.8048780487804879,1.1989767838180325,0.9856082113232075,0.213368572494825,NA
2023,Josh Richardson,SAS,42,997,4.2,0.5121951219512195,1.103579693323366,0.7887882197364277,0.31479147358693826,NA
