season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,median,npm_diff
2023,Clint Capela,ATL,20,553,8.4,0.9090909090909091,-2.4,10.8
2023,Jayson Tatum,BOS,21,770,15.3,0.9545454545454546,-2.7,18
2023,Markieff Morris,BRK,13,133,11.2,0.5652173913043478,2,9.2
2023,Alex Caruso,CHI,21,536,14,1,0.8500000000000001,13.15
2023,Dennis Smith Jr.,CHO,15,419,12.9,0.7142857142857143,-3.0999999999999996,16
2023,Cedi Osman,CLE,22,507,14,1,1.5,12.5
2023,Dwight Powell,DAL,17,290,10.4,0.85,-0.3999999999999999,10.8
2023,Nikola Jokić,DEN,18,571,24.8,0.8571428571428571,-5.35,30.15
2023,Kevin Knox,DET,16,215,17.2,0.6956521739130435,-1.05,18.25
2023,Stephen Curry,GSW,20,694,27.3,0.9090909090909091,-9.6,36.9
2023,Tari Eason,HOU,21,381,11.4,1,2.4,9
2023,Buddy Hield,IND,21,656,8.2,1,-2.25,10.45
2023,Paul George,LAC,16,549,9,0.6956521739130435,-0.8500000000000001,9.85
2023,Austin Reaves,LAL,20,575,8,1,-1.1,9.1
2023,Dillon Brooks,MEM,18,555,16.2,0.8571428571428571,0.9,15.299999999999999
2023,Caleb Martin,MIA,21,681,14.6,0.9545454545454546,-2.7,17.3
2023,Jrue Holiday,MIL,16,510,14.8,0.8,-0.45000000000000007,15.25
2023,Jordan McLaughlin,MIN,15,237,20,0.6818181818181818,-2.7,22.7
2023,Larry Nance Jr.,NOP,19,423,8.8,0.9047619047619048,1.5499999999999998,7.250000000000001
2023,Immanuel Quickley,NYK,22,494,11.6,1,-2.6,14.2
2023,Aaron Wiggins,OKC,16,317,11.7,0.7272727272727273,1.3,10.399999999999999
2023,Wendell Carter Jr.,ORL,15,493,11.7,0.6818181818181818,0,11.7
2023,Matisse Thybulle,PHI,18,208,10.2,0.8181818181818182,-1.7,11.899999999999999
2023,Devin Booker,PHO,21,767,8.4,1,-0.8,9.200000000000001
2023,Josh Hart,POR,21,749,7.3,0.9545454545454546,-2.6,9.9
2023,Kevin Huerter,SAC,20,639,11.5,1,1.5499999999999998,9.95
2023,Tre Jones,SAS,21,632,9.4,0.9545454545454546,-2,11.4
2023,Pascal Siakam,TOR,11,384,8.5,0.5238095238095238,-1.2,9.7
2023,Rudy Gay,UTA,12,189,17.6,0.5,-0.65,18.25
2023,Kyle Kuzma,WAS,21,728,15,0.9545454545454546,-0.04999999999999993,15.05
2023,Onyeka Okongwu,ATL,21,433,-8.5,0.9545454545454546,-2.4,-6.1
2023,Jaylen Brown,BOS,20,701,-9,0.9090909090909091,-2.7,-6.3
2023,Patty Mills,BRK,20,219,-13,0.8695652173913043,2,-15
2023,Patrick Williams,CHI,21,544,-16.5,1,0.8500000000000001,-17.35
2023,P.J. Washington,CHO,21,669,-19.3,1,-3.0999999999999996,-16.200000000000003
2023,Evan Mobley,CLE,22,743,-17.8,1,1.5,-19.3
2023,Spencer Dinwiddie,DAL,20,640,-18,1,-0.3999999999999999,-17.6
2023,Zeke Nnaji,DEN,16,165,-22.9,0.7619047619047619,-5.35,-17.549999999999997
2023,Killian Hayes,DET,23,543,-12.4,1,-1.05,-11.35
2023,James Wiseman,GSW,11,147,-27.8,0.5,-9.6,-18.200000000000003
2023,Jalen Green,HOU,21,719,-13.6,1,2.4,-16
2023,Tyrese Haliburton,IND,21,701,-6.1,1,-2.25,-3.8499999999999996
2023,Norman Powell,LAC,22,556,-14.5,0.9565217391304348,-0.8500000000000001,-13.65
2023,Juan Toscano-Anderson,LAL,12,127,-9.6,0.6,-1.1,-8.5
2023,David Roddy,MEM,21,381,-19.7,1,0.9,-20.599999999999998
2023,Dewayne Dedmon,MIA,18,226,-7,0.8181818181818182,-2.7,-4.3
2023,Jordan Nwora,MIL,19,349,-18.2,0.95,-0.45000000000000007,-17.75
2023,Austin Rivers,MIN,12,154,-16,0.5454545454545454,-2.7,-13.3
2023,Devonte' Graham,NOP,21,341,-10.9,1,1.5499999999999998,-12.45
2023,Evan Fournier,NYK,13,260,-9.7,0.5909090909090909,-2.6,-7.1
2023,Josh Giddey,OKC,19,579,-19.7,0.8636363636363636,1.3,-21
2023,Admiral Schofield,ORL,12,134,-19.2,0.5454545454545454,0,-19.2
2023,De'Anthony Melton,PHI,20,561,-11.2,0.9090909090909091,-1.7,-9.5
2023,Torrey Craig,PHO,21,496,-14.4,1,-0.8,-13.6
2023,Shaedon Sharpe,POR,21,427,-7.7,0.9545454545454546,-2.6,-5.1
2023,Richaun Holmes,SAC,11,120,-22.2,0.55,1.5499999999999998,-23.75
2023,Keita Bates-Diop,SAS,20,334,-6.6,0.9090909090909091,-2,-4.6
2023,Gary Trent Jr.,TOR,18,565,-11.3,0.8571428571428571,-1.2,-10.100000000000001
2023,Jarred Vanderbilt,UTA,22,546,-10.3,0.9166666666666666,-0.65,-9.65
2023,Will Barton,WAS,22,488,-12.9,1,-0.04999999999999993,-12.85
