seas_id,season,player_id,player,pos,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
30462,2023,4219,Aaron Gordon,PF,DEN,68,2055,0,0,4,88,8,big_percent,96,6,8,235,80,big,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,FALSE
30463,2023,4582,Aaron Holiday,PG,ATL,63,845,61,39,0,0,0,guard_percent,100,6,0,185,72,guard,0.3,0.6,0.9,0.053,-2.9,0.9,-2,0,FALSE
30464,2023,4805,Aaron Nesmith,SF,IND,73,1816,0,20,44,36,0,wing_big_percent,80,6,5,215,77,wing,0.9,1.1,2,0.052,-2.3,-0.7,-3,-0.4,FALSE
30465,2023,4900,Aaron Wiggins,SG,OKC,70,1297,2,23,53,23,1,wing_small_percent,76,6,6,200,78,wing,1.4,1.2,2.6,0.097,-1.5,-0.5,-2.1,0,FALSE
30465,2023,4900,Aaron Wiggins,SG,OKC,70,1297,2,23,53,23,1,wing_big_percent,76,6,6,200,78,wing,1.4,1.2,2.6,0.097,-1.5,-0.5,-2.1,0,FALSE
30466,2023,4688,Admiral Schofield,PF,ORL,37,451,0,1,22,65,13,wing_big_percent,87,6,5,241,77,wing,0.5,0.3,0.8,0.089,-2.2,-0.7,-2.9,-0.1,FALSE
30467,2023,5027,AJ Griffin,SF,ATL,72,1401,0,15,74,11,0,wing_small_percent,89,6,6,222,78,wing,1.3,0.9,2.2,0.075,-0.3,-0.5,-0.8,0.4,FALSE
30468,2023,3734,Al Horford,C,BOS,63,1922,0,0,0,8,92,big_percent,100,6,9,240,81,big,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5,TRUE
30469,2023,3982,Alec Burks,SG,DET,51,1122,0,53,41,6,0,wing_small_percent,94,6,6,214,78,wing,1.9,0.6,2.5,0.109,1.8,-0.5,1.2,0.9,FALSE
30470,2023,4806,Aleksej Pokusevski,PF,OKC,34,701,0,0,0,5,95,big_percent,100,7,0,190,84,big,0,1,1,0.066,-1,1,0,0.3,FALSE
30471,2023,4465,Alex Caruso,PG,CHI,67,1575,61,39,0,0,0,guard_percent,100,6,4,186,76,guard,1,2.6,3.6,0.109,-2.2,3.3,1.1,1.2,TRUE
30475,2023,4904,Alperen Şengün,C,HOU,75,2171,0,0,0,0,100,big_percent,100,6,9,235,81,big,3.4,1.8,5.2,0.115,1.1,0.4,1.4,1.9,TRUE
30476,2023,4690,Amir Coffey,SG,LAC,50,625,1,7,74,18,1,wing_big_percent,92,6,7,210,79,wing,0.1,0.3,0.4,0.033,-4.4,-0.7,-5,-0.5,FALSE
30477,2023,4064,Andre Drummond,C,CHI,67,849,0,0,0,0,100,big_percent,100,6,10,279,82,big,0.8,2,2.8,0.159,-1.3,0.5,-0.8,0.3,FALSE
30478,2023,3500,Andre Iguodala,SF,GSW,8,113,0,1,39,60,0,wing_big_percent,99,6,6,215,78,wing,0,0.1,0.1,0.044,-4.4,1.6,-2.8,0,FALSE
30479,2023,5029,Andrew Nembhard,SG,IND,75,2073,29,70,1,0,0,guard_percent,99,6,5,193,77,guard,0.4,0.8,1.2,0.029,-2.4,-0.8,-3.2,-0.6,FALSE
30480,2023,4223,Andrew Wiggins,SF,GSW,37,1190,0,1,72,27,0,wing_big_percent,99,6,7,197,79,wing,1,1.3,2.3,0.091,-0.1,-0.4,-0.5,0.5,FALSE
30481,2023,4586,Anfernee Simons,SG,POR,62,2171,38,60,2,0,0,guard_percent,98,6,3,181,75,guard,2.1,0.3,2.5,0.054,1.3,-2.5,-1.1,0.5,FALSE
30482,2023,4066,Anthony Davis,C,LAL,56,1904,0,0,0,0,100,big_percent,100,6,10,253,82,big,5.5,3.4,9,0.226,4.6,1.7,6.3,4,TRUE
30483,2023,4808,Anthony Edwards,SG,MIN,79,2842,2,68,28,2,0,wing_small_percent,96,6,4,225,76,wing,0.2,3.6,3.8,0.064,1,0,1,2.1,FALSE
30485,2023,4810,Anthony Lamb,SF,GSW,62,1195,0,1,49,50,1,wing_big_percent,99,6,6,227,78,wing,1.2,1.2,2.4,0.096,-1.6,0.4,-1.1,0.3,FALSE
30486,2023,4906,Austin Reaves,SG,LAL,64,1843,0,44,48,8,0,wing_small_percent,92,6,5,206,77,wing,4.1,1.4,5.4,0.142,0.6,0.1,0.7,1.2,TRUE
30487,2023,4069,Austin Rivers,SG,MIN,52,1016,35,63,2,0,0,guard_percent,98,6,4,200,76,guard,0.5,0.8,1.3,0.061,-3.3,0.5,-2.8,-0.2,FALSE
30488,2023,4907,Ayo Dosunmu,SG,CHI,80,2098,1,56,41,3,0,wing_small_percent,97,6,5,200,77,wing,0.7,2.2,2.9,0.067,-3,0.6,-2.5,-0.2,FALSE
30489,2023,4472,Bam Adebayo,C,MIA,75,2598,0,0,0,0,100,big_percent,100,6,9,255,81,big,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,TRUE
30490,2023,4474,Ben Simmons,PG,BRK,42,1105,25,71,4,0,0,guard_percent,96,6,10,240,82,guard,0.5,1.7,2.2,0.097,-2.2,2.6,0.4,0.7,FALSE
30491,2023,5030,Bennedict Mathurin,SF,IND,78,2222,0,1,56,43,0,wing_big_percent,99,6,6,210,78,wing,1,0.8,1.8,0.038,-1.2,-2.5,-3.7,-1,FALSE
30492,2023,3984,Bismack Biyombo,C,PHO,61,874,0,0,0,1,99,big_percent,100,6,8,255,80,big,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2,FALSE
30493,2023,3920,Blake Griffin,C,BOS,41,569,0,0,2,23,76,big_percent,99,6,9,250,81,big,1,0.8,1.8,0.153,-1.4,1.5,0.1,0.3,FALSE
30494,2023,5031,Blake Wesley,SG,SAS,37,669,62,38,1,0,0,guard_percent,100,6,5,185,77,guard,-1.9,0.3,-1.6,-0.114,-7.9,-1.8,-9.6,-1.3,FALSE
