seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
31136,2024,5025,A.J. Green,NA,SG,24,2,NBA,MIL,11,81,12,65,24,NA,NA,3,0,0,0,3,0,0,2,18,0,0
31137,2024,5027,AJ Griffin,NA,SF,20,2,NBA,ATL,11,101,NA,8,83,9,NA,-11.5,-14.4,1,2,3,0,1,0,8,0,2
31138,2024,4219,Aaron Gordon,NA,PF,28,10,NBA,DEN,16,542,NA,NA,NA,91,9,6.8,6.3,7,12,20,5,27,2,150,6,11
31139,2024,4582,Aaron Holiday,NA,PG,27,6,NBA,HOU,14,258,100,NA,NA,NA,NA,6.1,2.5,2,2,10,0,5,3,67,3,5
31140,2024,4805,Aaron Nesmith,NA,SF,24,4,NBA,IND,15,351,NA,3,45,53,NA,-1.9,-6.1,3,2,26,2,11,1,38,4,6
31141,2024,4900,Aaron Wiggins,NA,SG,25,3,NBA,OKC,16,190,4,40,40,16,NA,12.4,4.7,5,1,8,2,8,1,28,1,5
31142,2024,4688,Admiral Schofield,NA,PF,26,4,NBA,ORL,4,14,NA,NA,NA,NA,100,-18.4,-25,0,1,1,0,1,0,0,0,0
31143,2024,3734,Al Horford,NA,C,37,17,NBA,BOS,16,413,NA,NA,NA,47,53,7.8,-3.7,3,5,15,4,1,0,112,1,3
31144,2024,3982,Alec Burks,NA,SG,32,13,NBA,DET,13,258,NA,24,68,8,NA,-7.6,1.1,2,1,9,0,16,7,60,1,4
31145,2024,4806,Aleksej Pokusevski,NA,PF,22,4,NBA,OKC,6,34,NA,NA,NA,64,36,-11.6,-21,1,1,2,0,1,0,15,0,0
31146,2024,4465,Alex Caruso,NA,SG,29,7,NBA,CHI,17,409,10,89,2,NA,NA,-6.4,-0.5,19,3,18,0,8,12,90,1,4
31147,2024,5109,Alex Fudge,NA,SF,20,1,NBA,LAL,4,14,NA,NA,NA,100,NA,-71.3,-70.7,0,1,0,0,1,0,0,0,1
31148,2024,4142,Alex Len,NA,C,30,11,NBA,SAC,6,41,NA,NA,NA,NA,100,18.2,20.1,1,0,2,0,4,0,12,1,1
31149,2024,4904,Alperen Şengün,NA,C,21,3,NBA,HOU,16,522,NA,NA,NA,NA,100,7.2,8.5,16,14,26,7,30,7,216,8,11
31150,2024,5110,Amari Bailey,NA,PG,19,1,NBA,CHO,1,3,100,NA,NA,NA,NA,100,109.3,0,0,0,0,0,0,0,0,0
31151,2024,5111,Amen Thompson,NA,SF,21,1,NBA,HOU,4,67,NA,3,78,19,NA,-13.7,-19.9,1,4,3,1,4,1,13,0,1
31152,2024,4690,Amir Coffey,NA,SF,26,5,NBA,LAC,10,58,NA,9,82,9,NA,19.2,17,0,0,2,1,1,1,8,0,2
31153,2024,4064,Andre Drummond,NA,C,30,12,NBA,CHI,20,262,NA,NA,NA,NA,100,-2.2,5.3,6,2,10,8,20,0,29,2,4
31154,2024,5112,Andre Jackson Jr.,NA,SG,22,1,NBA,MIL,15,129,14,41,44,2,NA,-2.9,-6.9,5,1,8,1,0,0,27,0,1
31155,2024,5029,Andrew Nembhard,NA,PG,24,2,NBA,IND,14,266,55,44,1,NA,NA,4.5,4.3,13,5,14,2,3,2,133,1,2
31156,2024,4223,Andrew Wiggins,NA,SF,28,10,NBA,GSW,18,490,NA,NA,58,42,NA,-7.5,-17.6,7,17,22,6,27,2,58,4,8
31157,2024,4586,Anfernee Simons,NA,SG,24,6,NBA,POR,1,27,NA,84,16,NA,NA,-44.1,-38.2,0,0,0,0,2,1,10,0,0
31158,2024,5113,Anthony Black,NA,PG,20,1,NBA,ORL,16,302,77,23,NA,NA,NA,3.4,-4.2,13,3,19,0,8,4,56,4,5
31159,2024,4066,Anthony Davis,NA,C,30,12,NBA,LAL,19,665,NA,NA,NA,5,95,1,8.4,14,7,37,11,52,1,146,17,21
31160,2024,4808,Anthony Edwards,NA,SG,22,4,NBA,MIN,17,597,3,65,32,NA,NA,12.5,16.8,26,19,14,4,45,1,216,10,14
31161,2024,4809,Anthony Gill,NA,PF,31,4,NBA,WAS,11,68,NA,NA,5,12,83,33.8,45.9,3,2,1,2,2,0,10,0,1
31162,2024,4811,Armoni Brooks,NA,PG,25,3,NBA,BRK,5,45,71,29,NA,NA,NA,34.2,34.5,1,0,0,0,0,0,0,0,1
31163,2024,5114,Ausar Thompson,NA,SF,21,1,NBA,DET,19,549,NA,NA,68,33,NA,-11.3,-7.1,17,17,26,3,20,9,124,5,20
31164,2024,4906,Austin Reaves,NA,SG,25,3,NBA,LAL,20,598,44,56,NA,NA,NA,-5.2,-9.5,32,12,15,2,22,6,232,6,9
31165,2024,4907,Ayo Dosunmu,NA,SG,24,3,NBA,CHI,18,302,21,60,18,NA,NA,-5.1,1.5,3,3,9,2,7,2,70,0,7
31166,2024,4472,Bam Adebayo,NA,C,26,7,NBA,MIA,16,537,NA,NA,NA,NA,100,-1.7,-8.2,12,8,19,11,54,2,152,10,10
31167,2024,5115,Ben Sheppard,NA,SG,22,1,NBA,IND,8,55,8,84,7,NA,NA,7.7,6.5,1,0,3,0,0,0,11,0,1
31168,2024,4474,Ben Simmons,NA,PG,27,6,NBA,BRK,6,191,49,51,NA,NA,NA,-5.7,-9.2,10,1,6,3,2,3,104,0,2
