,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
1,1631260,AJ Green,1610612749,MIL,24.0,50,10.2,1.34,0.76,0.58,0.42,0.04,0.08,0.16,0.02,0.2,0.22,0.091,0.909,0.04,0.14,0.18,0.18,0.04,0.222,0.778,1.0,0.222,1610612749,Bucks,47,27,74,0.6756756756756757,0.8552631578947368,0.39766081871345027,0.30701754385964913,0.20906432748538012,0.39473684210526316,0.9649122807017544,3.128654970760234
3,203932,Aaron Gordon,1610612743,DEN,28.0,68,31.5,4.71,3.24,1.47,1.34,0.03,1.26,3.1,0.28,0.28,0.56,0.5,0.5,0.24,0.4,0.63,0.62,0.44,0.372,0.628,0.977,0.698,1610612743,Nuggets,52,23,75,0.9066666666666666,0.5467836257309941,0.6286549707602339,0.1111111111111111,0.22514619883040934,0.347953216374269,0.2982456140350877,2.1578947368421053
4,1628988,Aaron Holiday,1610612745,HOU,27.0,71,16.5,1.94,1.07,0.87,1.0,0.01,0.21,0.48,0.14,0.17,0.31,0.455,0.545,0.01,0.38,0.39,0.34,0.08,0.036,0.964,0.857,0.214,1610612745,Rockets,38,36,74,0.9594594594594594,0.47514619883040937,0.2777777777777778,0.2134502923976608,0.5789473684210527,0.6695906432748538,0.4766081871345029,2.6915204678362574
5,1630174,Aaron Nesmith,1610612754,IND,24.0,65,27.7,6.55,4.26,2.29,1.62,0.12,0.25,0.52,0.35,0.34,0.69,0.511,0.489,0.05,0.38,0.43,0.43,0.2,0.107,0.893,1.0,0.464,1610612754,Pacers,42,33,75,0.8666666666666667,0.8888888888888888,0.7777777777777778,0.7865497076023392,0.5380116959064327,0.391812865497076,0.6637426900584795,4.046783625730994
6,1630598,Aaron Wiggins,1610612760,OKC,25.0,70,14.8,3.09,1.76,1.33,1.31,0.0,0.3,0.61,0.17,0.23,0.4,0.429,0.571,0.0,0.29,0.29,0.29,0.07,0.0,1.0,1.0,0.25,1610612760,Thunder,52,22,74,0.9459459459459459,0.19883040935672514,0.6929824561403509,0.8640350877192983,0.9152046783625731,0.6081871345029239,0.8508771929824561,4.130116959064328
10,201143,Al Horford,1610612738,BOS,37.0,60,27.2,8.23,5.15,3.08,1.05,0.0,1.33,3.3,0.12,0.3,0.42,0.28,0.72,0.37,1.32,1.68,1.62,1.03,0.218,0.782,0.96,0.614,1610612738,Celtics,58,16,74,0.8108108108108109,0.19883040935672514,0.8245614035087719,0.9941520467836257,0.1608187134502924,0.8508771929824561,0.5380116959064327,3.5672514619883042
11,202692,Alec Burks,1610612752,NYK,32.0,62,19.0,2.45,1.48,0.97,0.68,0.02,0.08,0.18,0.21,0.15,0.35,0.591,0.409,0.02,0.21,0.23,0.19,0.08,0.071,0.929,0.857,0.357,1610612752,Knicks,44,30,74,0.8378378378378378,0.5716374269005848,0.43567251461988304,0.19005847953216373,0.11988304093567251,0.27485380116959063,0.20760233918128654,1.7997076023391814
13,1627936,Alex Caruso,1610612741,CHI,30.0,66,28.2,4.83,1.83,3.0,3.7,0.15,0.53,1.15,0.45,0.53,0.98,0.462,0.538,0.03,0.41,0.44,0.42,0.14,0.069,0.931,0.966,0.31,1610612741,Bulls,36,39,75,0.88,0.9152046783625731,0.2807017543859649,0.9619883040935673,0.9941520467836257,0.4298245614035088,0.9502923976608187,4.5321637426900585
15,203458,Alex Len,1610612758,SAC,30.0,40,9.2,3.2,2.63,0.58,0.53,0.0,1.93,4.63,0.1,0.05,0.15,0.667,0.333,0.28,1.03,1.3,1.23,0.6,0.212,0.788,0.942,0.462,1610612758,Kings,43,31,74,0.5405405405405406,0.19883040935672514,0.9678362573099415,0.42105263157894735,0.5263157894736842,1.0,0.05847953216374269,3.1725146198830405
17,1630578,Alperen Sengun,1610612745,HOU,21.0,63,32.5,9.24,7.02,2.22,2.38,0.13,4.11,9.6,0.57,0.27,0.84,0.679,0.321,0.73,1.87,2.6,2.46,1.33,0.28,0.72,0.957,0.519,1610612745,Rockets,38,36,74,0.8513513513513513,0.8698830409356725,0.8713450292397661,0.543859649122807,0.783625730994152,0.9210526315789473,0.24269005847953215,4.232456140350878
19,1641708,Amen Thompson,1610612745,HOU,21.0,55,21.4,3.56,2.36,1.2,2.16,0.02,0.31,0.82,0.25,0.35,0.6,0.424,0.576,0.31,0.18,0.49,0.47,0.38,0.63,0.37,0.963,0.778,1610612745,Rockets,38,36,74,0.7432432432432432,0.5423976608187134,0.6637426900584795,0.2894736842105263,0.9473684210526315,0.1871345029239766,0.8859649122807017,3.5160818713450293
20,1629599,Amir Coffey,1610612746,LAC,26.0,62,19.6,2.68,1.47,1.21,0.84,0.02,0.37,0.82,0.08,0.13,0.21,0.385,0.615,0.03,0.31,0.34,0.34,0.11,0.095,0.905,1.0,0.333,1610612746,Clippers,47,27,74,0.8378378378378378,0.564327485380117,0.4064327485380117,0.39766081871345027,0.23391812865497075,0.4722222222222222,0.11695906432748537,2.1915204678362574
21,203083,Andre Drummond,1610612741,CHI,30.0,75,17.0,4.59,2.85,1.73,1.53,0.03,2.07,4.32,0.2,0.2,0.4,0.5,0.5,1.17,0.59,1.76,1.71,1.52,0.667,0.333,0.977,0.87,1610612741,Bulls,36,39,75,1.0,0.6973684210526315,0.7982456140350878,0.9385964912280702,0.9298245614035088,0.7690058479532164,0.6198830409356725,4.752923976608186
22,1641748,Andre Jackson Jr.,1610612749,MIL,22.0,50,10.3,1.38,0.78,0.6,0.66,0.02,0.32,0.82,0.28,0.16,0.44,0.636,0.364,0.12,0.34,0.46,0.42,0.08,0.261,0.739,0.913,0.174,1610612749,Bucks,47,27,74,0.6756756756756757,0.7222222222222222,0.41228070175438597,0.3304093567251462,0.6286549707602339,0.7543859649122807,0.847953216374269,3.6959064327485383
