tm,position_2,rotation,pos_vorp_wo_leader,conference
ATL,big,"Jalen Johnson, Clint Capela, Onyeka Okongwu, Mouhamed Gueye, Bruno Fernando",0.6000000000000001,East
ATL,guard,"Trae Young, Dejounte Murray, Kobe Bufkin, Patty Mills, Trent Forrest",0.8,East
ATL,wing,"Bogdan Bogdanović, Mouhamed Gueye, Saddiq Bey, Seth Lundy, AJ Griffin, De'Andre Hunter, Garrison Mathews, Wesley Matthews",-1,East
BOS,big,"Kristaps Porziņģis, Al Horford, Luke Kornet, Drew Peterson, Lamar Stevens, Neemias Queta",2.2,East
BOS,guard,"Derrick White, Jrue Holiday, Payton Pritchard, JD Davison, Dalano Banton",1.9999999999999998,East
BOS,wing,"Jayson Tatum, Jaylen Brown, Sam Hauser, Oshae Brissett, JD Davison, Jordan Walsh, Svi Mykhailiuk",1.8,East
BRK,big,"Nic Claxton, Cameron Johnson, Day'Ron Sharpe, Trendon Watford, Harry Giles, Noah Clowney",1.4000000000000001,East
BRK,guard,"Spencer Dinwiddie, Ben Simmons, Dennis Smith Jr., Keon Johnson, Armoni Brooks",0.30000000000000004,East
BRK,wing,"Mikal Bridges, Lonnie Walker IV, Royce O'Neale, Jalen Wilson, Cam Thomas, Dariq Whitehead, Dorian Finney-Smith, Keon Johnson",1,East
CHI,big,"Nikola Vučević, Andre Drummond, Adama Sanogo, Patrick Williams, Terry Taylor",0.30000000000000004,East
CHI,guard,"Alex Caruso, Coby White, Onuralp Bitim, Jevon Carter",0.5,East
CHI,wing,"DeMar DeRozan, Zach LaVine, Ayo Dosunmu, Onuralp Bitim, Dalen Terry, Torrey Craig, Julian Phillips",0.09999999999999998,East
CHO,big,"Mark Williams, Nick Richards, P.J. Washington, Nathan Mensah, JT Thor",-1.1,East
CHO,guard,"Terry Rozier, LaMelo Ball, Amari Bailey, Frank Ntilikina, Nick Smith Jr., Théo Maledon, Ish Smith",-0.8,East
CHO,wing,"Miles Bridges, James Bouknight, Gordon Hayward, Leaky Black, Cody Martin, Bryce McGowens, Brandon Miller",-1.4999999999999998,East
CLE,big,"Jarrett Allen, Evan Mobley, Tristan Thompson, Damian Jones, Pete Nance",0.7,East
CLE,guard,"Donovan Mitchell, Sam Merrill, Craig Porter Jr., Darius Garland, Ty Jerome",1.3,East
CLE,wing,"Caris LeVert, Dean Wade, Max Strus, Isaac Okoro, Georges Niang, Isaiah Mobley, Pete Nance, Emoni Bates",1,East
DAL,big,"Dwight Powell, Dereck Lively II, Olivier-Maxence Prosper, Richaun Holmes, Markieff Morris, Maxi Kleber, Grant Williams",-0.7,West
DAL,guard,"Luka Dončić, Kyrie Irving, Dante Exum, Brandon Williams, Seth Curry",1.8,West
DAL,wing,"Derrick Jones Jr., Dexter Dennis, Greg Brown III, Tim Hardaway Jr., A.J. Lawson, Jaden Hardy, Josh Green",-0.9,West
DEN,big,"Nikola Jokić, Aaron Gordon, DeAndre Jordan, Jay Huff, Hunter Tyson, Zeke Nnaji",0.5,West
DEN,guard,"Jamal Murray, Justin Holiday, Jalen Pickett, Reggie Jackson, Collin Gillespie",0,West
