player,tm,experience,age,salary,vorp,vorp_per_million,percent_of_cap
Trae Young,ATL,6,25,40064220,1.9,0.047423860991178665,0.324
Clint Capela,ATL,10,29,20616000,0.5,0.02425300737291424,0.16672192794468482
De'Andre Hunter,ATL,5,26,20089286,-0.2,-0.009955555413965434,0.16246238324370224
Bogdan Bogdanović,ATL,7,31,18700000,0.8,0.04278074866310161,0.1512272047228175
Dejounte Murray,ATL,7,27,18214000,1.1,0.060393104205556165,0.14729691480328333
Onyeka Okongwu,ATL,4,23,8109063,0.2,0.024663762015414113,0.06557812462092111
Patty Mills,ATL,15,35,6802950,-0.1,-0.014699505361644582,0.055015567506368525
Saddiq Bey,ATL,4,24,4556983,-0.1,-0.021944343439508112,0.0368523957785775
Kobe Bufkin,ATL,1,20,4094280,0,0,0.03311050907767579
AJ Griffin,ATL,2,20,3712920,-0.2,-0.05386595994527219,0.030026444543285756
Jalen Johnson,ATL,3,22,2925360,0.9,0.3076544425301501,0.023657433989729488
Bruno Fernando,ATL,5,25,2581522,-0.1,-0.03873683819080372,0.02087681048077312
Wesley Matthews,ATL,15,37,2019706,-0.2,-0.09902431343967885,0.0163333953337916
Garrison Mathews,ATL,5,27,2000000,-0.2,-0.1,0.01617403259067567
Mouhamed Gueye,ATL,1,21,1119563,0,0,0.009053924224657313
Jrue Holiday,BOS,15,33,36861707,1.4,0.0379797929596695,0.2981012251829687
Kristaps Porziņģis,BOS,8,28,36016200,1.7,0.04720098178042103,0.2912635962961465
Jayson Tatum,BOS,7,25,32600060,2.8,0.08588941247347397,0.26363721644899113
Jaylen Brown,BOS,8,27,31830357,1.2,0.03769985991674551,0.25741261574542074
Derrick White,BOS,7,29,18357143,2.1,0.11439688626928494,0.14845451457684689
Al Horford,BOS,17,37,10000000,1.5,0.15,0.08087016295337836
Payton Pritchard,BOS,4,26,4037277,0.7,0.1733841893929993,0.03264952488779265
Luke Kornet,BOS,7,28,2413304,0.7,0.29005877419504544,0.01951642877360398
Oshae Brissett,BOS,5,25,2165000,0.1,0.046189376443418015,0.017508390279406413
Svi Mykhailiuk,BOS,6,26,2019706,-0.2,-0.09902431343967885,0.0163333953337916
Lamar Stevens,BOS,4,26,2019706,0,0,0.0163333953337916
Dalano Banton,BOS,3,24,2019706,-0.1,-0.049512156719839426,0.0163333953337916
Sam Hauser,BOS,3,26,1927896,0.7,0.3630901251934751,0.015590926367716631
Jordan Walsh,BOS,1,19,1119563,0,0,0.009053924224657313
Ben Simmons,BRK,6,27,37893408,0.2,0.005277962858342011,0.3064446079818851
Cameron Johnson,BRK,5,27,25679348,0.7,0.027259259074646287,0.20766930572965103
Mikal Bridges,BRK,6,27,21700000,0.9,0.041474654377880185,0.17548825360883102
Spencer Dinwiddie,BRK,10,30,20357143,0.4,0.019649122669128966,0.16462854716752254
Dorian Finney-Smith,BRK,8,30,13932008,0,0,0.11266837572277708
Nic Claxton,BRK,5,24,9625000,1,0.10389610389610389,0.07783753184262666
Royce O'Neale,BRK,7,30,9500000,0.4,0.042105263157894736,0.07682665480570944
Noah Clowney,BRK,1,19,3089520,0,0,0.02498499858477215
Dariq Whitehead,BRK,1,19,2966040,0,0,0.02398641381262383
Cam Thomas,BRK,3,22,2240160,0,0,0.018116210424164003
Day'Ron Sharpe,BRK,3,22,2210040,0.4,0.18099219923621293,0.01787262949334843
Harry Giles,BRK,4,25,2019706,0,0,0.0163333953337916
Dennis Smith Jr.,BRK,7,26,2019706,0.2,0.09902431343967885,0.0163333953337916
Lonnie Walker IV,BRK,6,25,2019706,0.5,0.2475607835991971,0.0163333953337916
Trendon Watford,BRK,3,23,2019706,0.3,0.14853647015951826,0.0163333953337916
Zach LaVine,CHI,10,28,40064220,0.4,0.009983970734984983,0.324
DeMar DeRozan,CHI,15,34,28600000,1.3,0.045454545454545456,0.2312886660466621
Nikola Vučević,CHI,13,33,18518519,0.7,0.03779999901720002,0.14975956491852332
Coby White,CHI,5,23,11111111,0.9,0.08100000081000001,0.08985573571630746
Patrick Williams,CHI,4,22,9835881,-0.1,-0.010166857447746674,0.0795429299260038
Alex Caruso,CHI,7,29,9460000,1.2,0.12684989429175475,0.07650317415389592
