seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
31871,2025,5025,A.J. Green,NA,SG,25,3,NBA,MIL,73,1659,9.2,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1
31872,2025,5026,A.J. Lawson,NA,SG,24,3,NBA,TOR,26,486,12.7,0.542,0.532,0.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20,0.4,0.4,0.8,0.081,-1.5,-1,-2.5,-0.1
31873,2025,5210,AJ Johnson,NA,SG,20,1,NBA,TOT,29,639,7.1,0.48,0.423,0.174,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-0.5,0,-0.4,-0.032,-5.6,-2.5,-8.1,-1
31874,2025,5210,AJ Johnson,NA,SG,20,1,NBA,MIL,7,44,10.6,0.503,0.263,0.105,0,16.6,8.6,23.1,1.1,0,16.8,23.8,-0.1,0,0,-0.023,-3.1,-1.8,-4.9,0
31875,2025,5210,AJ Johnson,NA,SG,20,1,NBA,WAS,22,595,6.9,0.478,0.438,0.18,1.4,7.7,4.5,16.7,0.9,0.5,12.9,17,-0.4,0,-0.4,-0.033,-5.8,-2.5,-8.3,-0.9
31876,2025,4219,Aaron Gordon,NA,PF,29,11,NBA,DEN,51,1447,17,0.65,0.346,0.36,6.4,12.1,9.4,15,0.8,0.9,11.3,19,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2
31877,2025,4582,Aaron Holiday,NA,PG,28,7,NBA,HOU,62,792,12.2,0.594,0.675,0.153,1.7,8.9,5.2,14.3,1.2,1.2,11.5,16.8,1.2,0.8,2,0.122,-0.4,0.1,-0.2,0.3
31878,2025,4805,Aaron Nesmith,NA,SF,25,5,NBA,IND,45,1123,14.6,0.653,0.515,0.211,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4,1.9,1,2.9,0.126,0,-0.5,-0.5,0.4
31879,2025,4900,Aaron Wiggins,NA,SG,26,4,NBA,OKC,76,1744,16.1,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1,8.3,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4
31880,2025,5109,Adam Flagler,NA,SG,25,2,NBA,OKC,37,203,3.7,0.335,0.75,0.021,3.8,10.3,7.1,7.3,1.9,1.5,4,21.1,-0.6,0.3,-0.3,-0.062,-8.1,-2.3,-10.3,-0.4
31881,2025,5110,Adama Sanogo,NA,C,22,2,NBA,CHI,4,21,15.2,0.571,0,0,25.4,4.9,15,6.7,0,0,12.5,15.9,0,0,0,0.105,0.7,-3.4,-2.6,0
31882,2025,5211,Adem Bona,NA,C,21,1,NBA,PHI,58,905,16.5,0.714,0.005,0.521,11.1,19.9,15.3,4.4,1.4,7.5,20.5,14.3,1.4,0.9,2.3,0.121,-2.9,0.2,-2.7,-0.2
31883,2025,5212,Ajay Mitchell,NA,SG,22,1,NBA,OKC,36,597,12,0.587,0.326,0.19,3.3,8.8,6.1,13.8,2,0.7,12.7,16.2,0.6,0.9,1.5,0.122,-2.5,0.9,-1.6,0.1
31884,2025,3734,Al Horford,NA,C,38,18,NBA,BOS,60,1659,12.9,0.563,0.681,0.082,5.2,18.9,12.1,10.4,1.1,2.8,8.8,13.8,2,2.4,4.4,0.129,0.1,1.1,1.2,1.3
31885,2025,3982,Alec Burks,NA,SG,33,14,NBA,MIA,49,863,12.8,0.608,0.764,0.181,1.9,13.8,7.9,9.1,1.6,0.8,9,16.5,0.9,0.9,1.8,0.1,0,0.3,0.3,0.5
31886,2025,4465,Alex Caruso,NA,SG,30,8,NBA,OKC,54,1041,15.9,0.568,0.541,0.162,4,12.2,8.2,16.6,4,2.9,9.9,15.2,1.6,2.3,3.9,0.18,0.1,3.9,4,1.6
