seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
31871,2025,5025,A.J. Green,NA,SG,25,3,NBA,MIL,73,1659,0.429,24,0.144,0.028,0.017,0.038,0.061,0.856,0.443,0.667,0.143,0.5,0.385,0.427,0.741,0.942,0,0,0.292,0.528,3,1
31872,2025,5026,A.J. Lawson,NA,SG,24,3,NBA,TOR,26,486,0.421,14.6,0.468,0.289,0.168,0.011,0,0.532,0.528,0.618,0.406,0,NA,0.327,0.638,0.939,0.074,11,0.347,0.314,0,0
31873,2025,5210,AJ Johnson,NA,SG,20,1,NBA,TOT,29,639,0.385,12,0.577,0.291,0.258,0.028,0,0.423,0.472,0.565,0.418,0,NA,0.267,0.534,0.667,0.099,15,0.122,0.364,2,0
31874,2025,5210,AJ Johnson,NA,SG,20,1,NBA,MIL,7,44,0.421,9.7,0.737,0.421,0.316,0,0,0.263,0.357,0.5,0.167,NA,NA,0.6,0.6,0.667,0.053,0,0.2,1,0,0
31875,2025,5210,AJ Johnson,NA,SG,20,1,NBA,WAS,22,595,0.381,14.3,0.562,0.278,0.253,0.031,0,0.438,0.486,0.574,0.449,0,NA,0.247,0.528,0.667,0.103,15,0.118,0.3,2,0
31876,2025,4219,Aaron Gordon,NA,PF,29,11,NBA,DEN,51,1447,0.531,11.8,0.654,0.348,0.195,0.07,0.04,0.346,0.582,0.665,0.464,0.571,0.45,0.436,0.566,0.867,0.141,63,0.36,0.484,1,0
31877,2025,4582,Aaron Holiday,NA,PG,28,7,NBA,HOU,62,792,0.437,20.8,0.325,0.06,0.131,0.075,0.06,0.675,0.517,0.75,0.486,0.4,0.5,0.398,0.378,0.819,0,0,0.177,0.469,1,0
31878,2025,4805,Aaron Nesmith,NA,SF,25,5,NBA,IND,45,1123,0.507,15.7,0.485,0.203,0.172,0.084,0.026,0.515,0.587,0.714,0.538,0.469,0.3,0.431,0.769,0.964,0.042,11,0.369,0.472,0,0
31879,2025,4900,Aaron Wiggins,NA,SG,26,4,NBA,OKC,76,1744,0.488,14.2,0.534,0.28,0.187,0.048,0.019,0.466,0.578,0.725,0.397,0.457,0.5,0.383,0.573,0.923,0.027,17,0.324,0.364,1,0
31880,2025,5109,Adam Flagler,NA,SG,25,2,NBA,OKC,37,203,0.26,21.7,0.25,0.063,0.063,0.063,0.063,0.75,0.458,0.667,0.167,0.833,0.167,0.194,0.545,0.857,0,0,0.125,0,0,0
