PLAYER1_NAME,clutch_fts_attempted,clutch_fts_missed,clutch_ft_percent,non_clutch_fts_attempted,non_clutch_fts_missed,non_clutch_ft_percent,differential
Aaron Gordon,24,4,0.8333333333333334,155,30,0.8064516129032258,0.026881720430107614
Aaron Nesmith,20,1,0.95,60,6,0.9,0.04999999999999993
Alperen Sengun,54,17,0.6851851851851851,374,115,0.6925133689839572,-0.007328183798772092
Amen Thompson,16,5,0.6875,231,73,0.6839826839826839,0.0035173160173160856
Andrew Nembhard,17,4,0.7647058823529411,119,24,0.7983193277310925,-0.03361344537815136
Anfernee Simons,22,0,1,172,19,0.8895348837209303,0.11046511627906974
Anthony Davis,17,6,0.6470588235294117,352,77,0.78125,-0.1341911764705883
Anthony Edwards,48,8,0.8333333333333334,448,73,0.8370535714285714,-0.0037202380952380265
Austin Reaves,27,6,0.7777777777777778,339,39,0.8849557522123894,-0.10717797443461163
Bam Adebayo,15,9,0.4,313,68,0.7827476038338659,-0.38274760383386586
Bennedict Mathurin,31,4,0.8709677419354839,301,52,0.8272425249169435,0.043725217018540374
Bradley Beal,21,3,0.8571428571428572,116,24,0.7931034482758621,0.0640394088669951
Brook Lopez,19,3,0.8421052631578947,119,21,0.8235294117647058,0.018575851393188847
CJ McCollum,18,4,0.7777777777777778,155,45,0.7096774193548387,0.06810035842293904
Cade Cunningham,50,6,0.88,320,51,0.840625,0.03937500000000005
Cameron Johnson,18,2,0.8888888888888888,207,22,0.893719806763285,-0.004830917874396157
Chris Paul,13,1,0.9230769230769231,79,6,0.9240506329113924,-9.737098344693162e-4
Coby White,22,1,0.9545454545454546,285,29,0.8982456140350877,0.05629984051036685
Cody Martin,10,4,0.6,51,14,0.7254901960784313,-0.12549019607843137
Collin Sexton,11,2,0.8181818181818181,240,32,0.8666666666666667,-0.048484848484848575
Damian Lillard,23,2,0.9130434782608696,370,29,0.9216216216216216,-0.008578143360752022
Darius Garland,32,5,0.84375,223,26,0.8834080717488789,-0.03965807174887892
Davion Mitchell,13,6,0.5384615384615384,71,20,0.7183098591549295,-0.17984832069339107
De'Aaron Fox,31,5,0.8387096774193549,287,50,0.8257839721254355,0.012925705293919343
De'Andre Hunter,25,4,0.84,229,35,0.8471615720524017,-0.0071615720524017545
DeMar DeRozan,33,4,0.8787878787878788,408,59,0.8553921568627451,0.023395721925133728
Deni Avdija,16,0,1,356,82,0.7696629213483146,0.2303370786516854
Dennis Schröder,21,6,0.7142857142857143,195,29,0.8512820512820513,-0.13699633699633695
Derrick Jones Jr.,10,4,0.6,108,31,0.712962962962963,-0.11296296296296304
Derrick White,14,2,0.8571428571428572,147,24,0.8367346938775511,0.020408163265306145
Desmond Bane,15,2,0.8666666666666667,183,19,0.8961748633879781,-0.02950819672131144
Devin Booker,28,6,0.7857142857142857,455,45,0.9010989010989011,-0.11538461538461542
Dillon Brooks,15,3,0.8,106,19,0.8207547169811321,-0.02075471698113207
Domantas Sabonis,18,4,0.7777777777777778,271,67,0.7527675276752768,0.02501025010250102
Donovan Mitchell,38,9,0.7631578947368421,324,55,0.8302469135802469,-0.06708901884340479
Draymond Green,22,10,0.5454545454545454,125,36,0.712,-0.16654545454545455
Franz Wagner,15,1,0.9333333333333333,296,39,0.8682432432432432,0.06509009009009015
Fred VanVleet,17,1,0.9411764705882353,120,25,0.7916666666666666,0.14950980392156865
Giannis Antetokounmpo,33,12,0.6363636363636364,674,259,0.615727002967359,0.020636633396277304
Grant Williams,12,2,0.8333333333333334,25,4,0.84,-0.006666666666666599
Grayson Allen,12,3,0.75,102,18,0.8235294117647058,-0.07352941176470584
Isaiah Hartenstein,11,4,0.6363636363636364,106,34,0.679245283018868,-0.04288164665523164
Ivica Zubac,20,7,0.65,216,73,0.662037037037037,-0.012037037037036957
Ja Morant,31,8,0.7419354838709677,288,48,0.8333333333333334,-0.09139784946236562
Jaden Ivey,14,5,0.6428571428571428,102,26,0.7450980392156863,-0.1022408963585435
Jaden McDaniels,10,3,0.7,118,21,0.8220338983050848,-0.12203389830508482
Jalen Brunson,52,8,0.8461538461538461,396,72,0.8181818181818181,0.027972027972028024
Jalen Duren,12,7,0.41666666666666663,230,73,0.682608695652174,-0.26594202898550734
Jalen Green,24,3,0.875,312,60,0.8076923076923077,0.06730769230769229
Jalen Johnson,10,3,0.7,116,29,0.75,-0.050000000000000044
Jalen Suggs,17,5,0.7058823529411764,93,8,0.9139784946236559,-0.20809614168247947
Jamal Murray,31,6,0.8064516129032258,215,22,0.8976744186046511,-0.09122280570142538
James Harden,55,13,0.7636363636363637,523,60,0.8852772466539197,-0.12164088301755605
Jaren Jackson Jr.,18,4,0.7777777777777778,380,83,0.781578947368421,-0.0038011695906432497
Jarrett Allen,16,7,0.5625,261,71,0.7279693486590038,-0.16546934865900376
Jaylen Brown,16,7,0.5625,306,69,0.7745098039215687,-0.21200980392156865
Jayson Tatum,28,11,0.6071428571428572,412,71,0.8276699029126213,-0.22052704576976412
Jimmy Butler III,18,3,0.8333333333333334,374,59,0.8422459893048129,-0.0089126559714795
Joel Embiid,10,2,0.8,159,18,0.8867924528301887,-0.08679245283018866
Jonathan Kuminga,14,4,0.7142857142857143,221,74,0.6651583710407241,0.04912734324499024
Jordan Clarkson,13,2,0.8461538461538461,130,27,0.7923076923076923,0.05384615384615388
Jordan Poole,12,1,0.9166666666666666,262,31,0.8816793893129771,0.03498727735368956
Josh Giddey,22,6,0.7272727272727273,202,43,0.7871287128712872,-0.05985598559855987
Josh Green,15,4,0.7333333333333334,57,19,0.6666666666666667,0.06666666666666665
Julius Randle,20,4,0.8,315,61,0.8063492063492064,-0.006349206349206327
KJ Simpson,10,2,0.8,40,7,0.825,-0.02499999999999991
Keldon Johnson,11,3,0.7272727272727273,183,41,0.7759562841530054,-0.048683556880278145
Kelly Oubre Jr.,14,5,0.6428571428571428,171,41,0.760233918128655,-0.11737677527151225
Kevin Durant,36,2,0.9444444444444444,325,56,0.8276923076923077,0.11675213675213669
Keyonte George,27,4,0.8518518518518519,258,48,0.813953488372093,0.037898363479758834
Kyrie Irving,17,4,0.7647058823529411,197,14,0.9289340101522843,-0.16422812779934315
LaMelo Ball,18,3,0.8333333333333334,211,33,0.8436018957345972,-0.010268562401263837
Lauri Markkanen,20,3,0.85,165,20,0.8787878787878788,-0.028787878787878807
LeBron James,22,4,0.8181818181818181,309,68,0.7799352750809061,0.03824654310091202
Malik Beasley,18,5,0.7222222222222222,122,40,0.6721311475409837,0.05009107468123852
Malik Monk,26,2,0.9230769230769231,152,22,0.8552631578947368,0.06781376518218629
Marcus Smart,10,3,0.7,61,14,0.7704918032786885,-0.07049180327868854
Miles Bridges,21,0,1,233,33,0.8583690987124464,0.14163090128755362
Myles Turner,12,4,0.6666666666666667,226,50,0.7787610619469026,-0.1120943952802359
Naji Marshall,10,1,0.9,150,29,0.8066666666666666,0.09333333333333338
Naz Reid,12,3,0.75,131,29,0.7786259541984732,-0.028625954198473247
Nikola Jokić,49,13,0.7346938775510203,402,77,0.8084577114427861,-0.07376383389176577
Nikola Vučević,14,4,0.7142857142857143,135,25,0.8148148148148149,-0.10052910052910058
Norman Powell,30,4,0.8666666666666667,235,48,0.7957446808510639,0.07092198581560283
Onyeka Okongwu,13,1,0.9230769230769231,203,51,0.7487684729064039,0.1743084501705192
P.J. Washington,23,5,0.782608695652174,175,50,0.7142857142857143,0.06832298136645965
Paolo Banchero,28,8,0.7142857142857143,357,97,0.7282913165266107,-0.01400560224089642
Pascal Siakam,14,4,0.7142857142857143,294,78,0.7346938775510203,-0.020408163265306034
Payton Pritchard,19,2,0.8947368421052632,65,11,0.8307692307692307,0.06396761133603246
Quentin Grimes,13,4,0.6923076923076923,201,48,0.7611940298507462,-0.06888633754305395
RJ Barrett,26,11,0.5769230769230769,285,104,0.6350877192982456,-0.05816464237516872
Rudy Gobert,22,9,0.5909090909090908,251,80,0.6812749003984064,-0.09036580948931561
Scottie Barnes,15,4,0.7333333333333334,287,70,0.7560975609756098,-0.02276422764227637
Shaedon Sharpe,24,8,0.6666666666666667,218,44,0.7981651376146789,-0.13149847094801215
Shai Gilgeous-Alexander,27,5,0.8148148148148149,642,63,0.9018691588785047,-0.08705434406368984
Spencer Dinwiddie,18,4,0.7777777777777778,225,44,0.8044444444444444,-0.026666666666666616
Stephen Curry,33,2,0.9393939393939394,266,18,0.9323308270676691,0.007063112326270327
Stephon Castle,13,2,0.8461538461538461,331,93,0.7190332326283988,0.12712061352544735
T.J. McConnell,11,3,0.7272727272727273,66,17,0.7424242424242424,-0.015151515151515138
Trae Young,68,11,0.8382352941176471,493,59,0.8803245436105477,-0.042089249492900604
Trey Murphy III,17,3,0.8235294117647058,213,23,0.892018779342723,-0.06848936757801716
Tyler Herro,23,3,0.8695652173913043,304,37,0.8782894736842105,-0.008724256292906185
Tyrese Haliburton,19,6,0.6842105263157895,203,27,0.8669950738916257,-0.18278454757583618
Tyrese Maxey,47,6,0.8723404255319149,242,29,0.8801652892561983,-0.00782486372428337
Victor Wembanyama,19,3,0.8421052631578947,170,28,0.8352941176470589,0.0068111455108358365
Walker Kessler,13,7,0.46153846153846156,139,66,0.525179856115108,-0.06364139457664642
Yves Missi,18,11,0.38888888888888884,186,66,0.6451612903225806,-0.2562724014336918
Zach LaVine,22,5,0.7727272727272727,263,45,0.8288973384030418,-0.0561700656757691
