player,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
A.J. Green,SG,25,3,0.621,12.6,-0.1,0.06521739130434782,0.09782608695652174,0.6630434782608695,0.826086956521739
Aaron Gordon,PF,29,11,0.65,19,1.2,0.015384615384615385,0.5846153846153846,0.26153846153846155,0.8615384615384616
Aaron Holiday,PG,28,7,0.594,16.8,0.3,0.2,0.25,0.5666666666666667,1.0166666666666666
Aaron Nesmith,SF,25,5,0.653,17.4,0.4,0,0.41379310344827586,0.39655172413793105,0.8103448275862069
Aaron Wiggins,SG,26,4,0.596,20.3,1.4,0.2391304347826087,0.6630434782608695,0.21739130434782608,1.1195652173913044
Adem Bona,C,21,1,0.714,14.3,-0.2,0.04918032786885246,0.26229508196721313,0.9180327868852459,1.2295081967213115
Al Horford,C,38,18,0.563,13.8,1.3,0.819672131147541,0.22950819672131148,0.3770491803278688,1.4262295081967213
Alec Burks,SG,33,14,0.608,16.5,0.5,0.14130434782608695,0.41304347826086957,0.3804347826086957,0.9347826086956522
Alex Caruso,SG,30,8,0.568,15.2,1.6,0.5108695652173914,0.2608695652173913,0.16304347826086957,0.9347826086956523
Alex Len,C,31,12,0.525,10.3,-0.1,0.9672131147540983,0.03278688524590164,0.9016393442622951,1.901639344262295
Alex Sarr,C,19,1,0.482,23.5,-0.6,1,0.8852459016393442,1,2.8852459016393444
Alperen Şengün,C,22,4,0.545,26.2,3.9,0.8852459016393442,0.9344262295081968,0.03278688524590164,1.8524590163934427
Amen Thompson,SF,22,2,0.602,17.5,3.4,0.25862068965517243,0.43103448275862066,0.017241379310344827,0.706896551724138
Amir Coffey,SG,27,6,0.614,15.3,0.1,0.11956521739130435,0.2826086956521739,0.532608695652174,0.9347826086956522
Andre Jackson Jr.,SG,23,2,0.554,11.9,-0.3,0.6630434782608695,0.05434782608695652,0.8369565217391305,1.5543478260869565
Andrew Nembhard,SG,25,3,0.545,16.3,-0.1,0.75,0.40217391304347827,0.6630434782608695,1.8152173913043477
Andrew Wiggins,SF,29,11,0.566,24.5,1.4,0.5862068965517241,0.896551724137931,0.10344827586206896,1.5862068965517242
Anfernee Simons,SG,25,7,0.557,24.6,1.1,0.6304347826086957,0.8478260869565217,0.29347826086956524,1.7717391304347825
Anthony Black,PG,21,2,0.521,19.6,0,0.8166666666666667,0.48333333333333334,0.7333333333333333,2.033333333333333
Anthony Davis,PF,31,13,0.588,30.4,3.2,0.4307692307692308,0.9538461538461539,0.046153846153846156,1.4307692307692308
Anthony Edwards,SG,23,5,0.595,31.4,4.6,0.25,1,0,1.25
Anthony Gill,PF,32,5,0.586,12.7,-0.3,0.47692307692307695,0.1076923076923077,0.8769230769230769,1.4615384615384617
Antonio Reeves,SG,24,1,0.579,18.8,-0.2,0.41304347826086957,0.5978260869565217,0.7934782608695652,1.8043478260869565
Ausar Thompson,SF,22,2,0.568,19.1,1.2,0.5689655172413793,0.5862068965517241,0.15517241379310345,1.3103448275862069
Austin Reaves,SG,26,4,0.616,23.7,2.6,0.08695652173913043,0.8152173913043478,0.07608695652173914,0.9782608695652174
Ayo Dosunmu,SG,25,4,0.585,16.6,0.1,0.358695652173913,0.42391304347826086,0.532608695652174,1.3152173913043477
Bam Adebayo,C,27,8,0.561,23.5,2.7,0.8360655737704918,0.8852459016393442,0.11475409836065574,1.8360655737704916
Ben Sheppard,SG,23,2,0.555,11.3,0,0.6521739130434783,0.021739130434782608,0.5869565217391305,1.2608695652173914
Ben Simmons,PG,28,7,0.539,13.2,0.4,0.6,0.05,0.5333333333333333,1.1833333333333333
Bennedict Mathurin,SF,22,3,0.579,22.8,-0.5,0.46551724137931033,0.8103448275862069,0.8793103448275862,2.155172413793103
Bilal Coulibaly,SF,20,2,0.515,17.9,-0.8,0.896551724137931,0.4827586206896552,1,2.3793103448275863
Blake Wesley,SG,21,3,0.51,16.7,-0.4,0.9130434782608695,0.43478260869565216,0.8804347826086957,2.2282608695652173
Bobby Portis,PF,29,10,0.542,24.1,0.7,0.7538461538461538,0.8461538461538461,0.4307692307692308,2.0307692307692307
Bogdan Bogdanović,SG,32,8,0.559,18.7,0,0.5978260869565217,0.5869565217391305,0.5869565217391305,1.7717391304347827
Bradley Beal,SG,31,13,0.598,22.1,0.4,0.22826086956521738,0.7391304347826086,0.44565217391304346,1.4130434782608696
Brandin Podziemski,SG,21,2,0.557,18.3,1.2,0.6304347826086957,0.5760869565217391,0.2391304347826087,1.4456521739130435
Brandon Boston Jr.,SG,23,4,0.535,20,-0.1,0.8260869565217391,0.6521739130434783,0.6630434782608695,2.141304347826087
Brandon Clarke,PF,28,6,0.638,15.3,0.9,0.07692307692307693,0.27692307692307694,0.36923076923076925,0.7230769230769232
Brice Sensabaugh,SF,21,2,0.612,21.5,0.3,0.13793103448275862,0.7586206896551724,0.46551724137931033,1.3620689655172413
Brook Lopez,C,36,17,0.624,15.8,1.8,0.36065573770491804,0.36065573770491804,0.2459016393442623,0.9672131147540983
Bruce Brown,PG,28,7,0.504,17.2,-0.4,0.8666666666666667,0.2833333333333333,0.8833333333333333,2.033333333333333
Bub Carrington,PG,19,1,0.514,15.8,-1.6,0.85,0.16666666666666666,0.9833333333333333,2
Buddy Hield,SG,32,9,0.56,20.5,0.5,0.5760869565217391,0.6739130434782609,0.3804347826086957,1.6304347826086958
CJ McCollum,PG,33,12,0.55,27.2,0.3,0.5166666666666667,0.7833333333333333,0.5666666666666667,1.8666666666666667
Cade Cunningham,PG,23,4,0.565,33.2,3.7,0.4166666666666667,0.95,0.08333333333333333,1.45
Caleb Houstan,SF,22,3,0.605,11.7,0,0.1896551724137931,0.017241379310344827,0.6551724137931034,0.8620689655172413
Caleb Martin,SF,29,6,0.513,14.4,-0.4,0.9137931034482759,0.15517241379310345,0.8620689655172413,1.9310344827586208
Cam Whitmore,SF,20,2,0.549,23.9,0.5,0.7931034482758621,0.8793103448275862,0.3448275862068966,2.017241379310345
Cameron Johnson,PF,28,6,0.632,22.9,2.3,0.12307692307692308,0.7538461538461538,0.09230769230769231,0.9692307692307692
Cameron Payne,PG,30,10,0.532,20.8,0.5,0.6666666666666666,0.55,0.5,1.7166666666666668
Caris LeVert,SG,30,9,0.582,19.4,1.2,0.391304347826087,0.6195652173913043,0.2391304347826087,1.25
Cason Wallace,SG,21,2,0.562,12.8,1.5,0.5652173913043478,0.11956521739130435,0.20652173913043478,0.8913043478260869
Chris Boucher,PF,32,8,0.615,21.2,0.9,0.2153846153846154,0.7384615384615385,0.36923076923076925,1.3230769230769233
Chris Paul,PG,39,20,0.58,14,1.6,0.31666666666666665,0.11666666666666667,0.2833333333333333,0.7166666666666667
Christian Braun,SG,23,3,0.665,15.8,1.6,0,0.33695652173913043,0.16304347826086957,0.5
Clint Capela,C,30,11,0.564,16.7,0.3,0.8032786885245902,0.45901639344262296,0.7049180327868853,1.9672131147540983
Coby White,SG,24,6,0.601,24.4,0.7,0.18478260869565216,0.8369565217391305,0.33695652173913043,1.358695652173913
Cody Martin,SF,29,6,0.509,14.7,0.1,0.9310344827586207,0.1724137931034483,0.5517241379310345,1.6551724137931034
Cody Williams,SG,20,1,0.419,12.5,-1.4,1,0.07608695652173914,1,2.0760869565217392
Cole Anthony,PG,24,5,0.531,24.6,0.7,0.7,0.75,0.4666666666666667,1.9166666666666665
Collin Sexton,SG,26,7,0.593,27,0.6,0.2826086956521739,0.9130434782608695,0.358695652173913,1.5543478260869565
Corey Kispert,SF,25,4,0.584,17.5,-0.7,0.41379310344827586,0.43103448275862066,0.9310344827586207,1.7758620689655173
Cory Joseph,PG,33,14,0.547,12.8,0.2,0.5333333333333333,0.016666666666666666,0.6666666666666666,1.2166666666666668
Craig Porter Jr.,PG,24,2,0.61,15.9,0.4,0.11666666666666667,0.21666666666666667,0.5333333333333333,0.8666666666666667
D'Angelo Russell,PG,28,10,0.522,24,0.6,0.7833333333333333,0.6833333333333333,0.48333333333333334,1.9500000000000002
DaQuan Jeffries,SG,27,5,0.518,13.5,-0.7,0.8913043478260869,0.15217391304347827,0.9347826086956522,1.9782608695652173
Dalano Banton,PG,25,4,0.497,24.1,0.3,0.9166666666666666,0.7166666666666667,0.5666666666666667,2.2
Dalen Terry,SG,22,3,0.546,14.9,-0.5,0.7282608695652174,0.25,0.8913043478260869,1.8695652173913042
Dalton Knecht,SF,23,1,0.594,18.5,0.1,0.3275862068965517,0.5344827586206896,0.5517241379310345,1.4137931034482758
Damian Lillard,PG,34,13,0.621,27.8,3.2,0.05,0.8166666666666667,0.1,0.9666666666666667
Daniel Gafford,C,26,6,0.716,19.5,1.8,0.03278688524590164,0.6885245901639344,0.2459016393442623,0.9672131147540983
Darius Garland,PG,25,6,0.6,27.2,3,0.15,0.7833333333333333,0.15,1.0833333333333333
Davion Mitchell,PG,26,4,0.573,13.6,-0.3,0.3333333333333333,0.1,0.8333333333333334,1.2666666666666666
Day'Ron Sharpe,C,23,4,0.568,19.9,0.7,0.7868852459016393,0.7377049180327869,0.4918032786885246,2.016393442622951
De'Aaron Fox,PG,27,8,0.56,28.3,1.3,0.48333333333333334,0.8333333333333334,0.3333333333333333,1.65
De'Andre Hunter,SF,27,6,0.623,22.8,1,0.05172413793103448,0.8103448275862069,0.27586206896551724,1.1379310344827585
DeAndre Jordan,C,36,17,0.621,12.8,0.2,0.4098360655737705,0.11475409836065574,0.819672131147541,1.3442622950819674
DeMar DeRozan,SF,35,16,0.569,25,1.3,0.5517241379310345,0.9137931034482759,0.1206896551724138,1.5862068965517242
Dean Wade,PF,28,6,0.563,10.4,0.7,0.6,0.015384615384615385,0.4307692307692308,1.0461538461538462
Deni Avdija,SF,24,5,0.605,23.2,2.2,0.1896551724137931,0.8448275862068966,0.06896551724137931,1.103448275862069
Dennis Schröder,PG,31,12,0.531,21.6,-0.1,0.7,0.5666666666666667,0.7833333333333333,2.05
Derrick Jones Jr.,SF,27,9,0.609,16.5,0.8,0.15517241379310345,0.3275862068965517,0.3103448275862069,0.7931034482758621
Derrick White,SG,30,8,0.606,19.8,3.6,0.15217391304347827,0.6413043478260869,0.010869565217391304,0.8043478260869565
Desmond Bane,SG,26,5,0.6,23.3,2.9,0.21739130434782608,0.782608695652174,0.06521739130434782,1.065217391304348
Devin Booker,SG,28,10,0.589,29.3,1.7,0.33695652173913043,0.9782608695652174,0.14130434782608695,1.4565217391304348
