,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
0,1631260,AJ Green,1610612749,MIL,25.0,6,11.6,1.33,1.0,0.33,0.67,0.0,0.17,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.17,0.0,1.0,1.0,0.5,1610612749,Bucks,1,6,7,0.8571428571428571,0.4048991354466859,0.39481268011527376,0.4812680115273775,0.7867435158501441,0.18011527377521613,2.2478386167146973
2,203932,Aaron Gordon,1610612743,DEN,29.0,6,34.7,4.5,2.83,1.67,1.5,0.0,0.33,1.0,0.33,0.33,0.67,0.5,0.5,0.17,0.33,0.5,0.5,0.5,0.333,0.667,1.0,1.0,1610612743,Nuggets,3,3,6,1.0,0.4048991354466859,0.47262247838616717,0.3170028818443804,0.47262247838616717,0.6080691642651297,2.2752161383285303
4,1630174,Aaron Nesmith,1610612754,IND,25.0,6,22.7,4.0,2.17,1.83,2.33,0.0,0.17,0.33,0.17,0.0,0.17,1.0,0.0,0.0,0.17,0.17,0.17,0.0,0.0,1.0,1.0,0.0,1610612754,Pacers,2,4,6,1.0,0.4048991354466859,0.6887608069164265,0.8530259365994236,0.41210374639769454,0.18011527377521613,2.5389048991354466
5,1630598,Aaron Wiggins,1610612760,OKC,25.0,6,20.8,4.83,2.0,2.83,1.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,1.0,0.0,0.67,0.67,0.67,0.17,0.0,1.0,1.0,0.25,1610612760,Thunder,6,0,6,1.0,0.4048991354466859,0.8242074927953891,0.6743515850144092,0.8126801152737753,0.8097982708933718,3.5259365994236314
6,1641745,Adam Flagler,1610612760,OKC,24.0,4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612760,Thunder,6,0,6,0.6666666666666666,0.4048991354466859,0.008645533141210375,0.023054755043227664,0.1585014409221902,1.0,1.5951008645533142
8,1641737,Adem Bona,1610612755,PHI,21.0,4,2.1,0.5,0.25,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1610612755,76ers,1,4,5,0.8,0.4048991354466859,0.8386167146974063,0.023054755043227664,0.1585014409221902,0.18011527377521613,1.6051873198847262
9,1642349,Ajay Mitchell,1610612760,OKC,22.0,6,13.9,1.17,0.5,0.67,1.0,0.17,0.17,0.33,0.0,0.17,0.17,0.0,1.0,0.0,0.17,0.17,0.17,0.17,0.0,1.0,1.0,1.0,1610612760,Thunder,6,0,6,1.0,0.9337175792507204,0.1930835734870317,0.6685878962536023,0.5504322766570605,0.7002881844380403,3.0461095100864553
10,201143,Al Horford,1610612738,BOS,38.0,7,24.8,7.29,4.29,3.0,1.43,0.0,2.43,6.14,0.14,0.14,0.29,0.5,0.5,0.29,0.14,0.43,0.43,0.29,0.667,0.333,1.0,0.667,1610612738,Celtics,7,1,8,0.875,0.4048991354466859,0.9221902017291066,0.4783861671469741,0.3861671469740634,0.4438040345821326,2.6354466858789625
11,202692,Alec Burks,1610612748,MIA,33.0,3,20.9,3.33,1.0,2.33,1.33,0.0,0.0,0.0,0.67,0.0,0.67,1.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,1.0,0.0,0.0,1610612748,Heat,3,2,5,0.6,0.4048991354466859,0.6253602305475504,0.5619596541786743,0.590778097982709,0.18011527377521613,2.3631123919308354
12,1627936,Alex Caruso,1610612760,OKC,30.0,6,19.5,3.17,1.33,1.83,3.67,0.33,1.17,2.83,0.17,0.33,0.5,0.333,0.667,0.17,0.17,0.33,0.33,0.33,0.5,0.5,1.0,1.0,1610612760,Thunder,6,0,6,1.0,0.968299711815562,0.6397694524495677,0.9942363112391931,0.4495677233429395,0.8242074927953891,3.8760806916426516
13,1642505,Alex Ducas,1610612760,OKC,23.0,4,1.8,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,1.0,1.0,0.0,1610612760,Thunder,6,0,6,0.6666666666666666,0.4048991354466859,0.008645533141210375,0.9582132564841499,0.9942363112391931,0.18011527377521613,2.5461095100864553
14,203458,Alex Len,1610612758,SAC,31.0,4,6.8,2.0,1.0,1.0,0.25,0.0,0.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1610612758,Kings,3,3,6,0.6666666666666666,0.4048991354466859,0.9250720461095101,0.23054755043227665,0.9740634005763689,0.18011527377521613,2.7146974063400573
