player,jump_balls_participated,wins,losses,win_percent,jump_balls_participated_percentile,win_percent_percentile,avg_percentiles
Aaron Nesmith,5,3,2,0.6,0,0.6903225806451613,0.34516129032258064
Adem Bona,14,3,11,0.21428571428571427,0.6129032258064516,0.0967741935483871,0.3548387096774194
Al Horford,25,11,14,0.44,0.7032258064516129,0.4064516129032258,0.5548387096774193
Alex Len,7,6,1,0.8571428571428571,0.25806451612903225,0.9935483870967742,0.6258064516129032
Alex Sarr,81,42,39,0.5185185185185185,0.9419354838709677,0.5483870967741935,0.7451612903225806
Alperen Sengun,96,41,55,0.4270833333333333,0.9935483870967742,0.38064516129032255,0.6870967741935483
Amen Thompson,9,6,3,0.6666666666666666,0.44516129032258067,0.8129032258064516,0.6290322580645161
Andre Drummond,26,16,10,0.6153846153846154,0.7096774193548387,0.7677419354838709,0.7387096774193549
Andrew Wiggins,7,2,5,0.2857142857142857,0.25806451612903225,0.14193548387096774,0.2
Anthony Davis,48,27,21,0.5625,0.8387096774193549,0.6129032258064516,0.7258064516129032
Bam Adebayo,64,48,16,0.75,0.8903225806451613,0.9225806451612903,0.9064516129032258
Ben Sheppard,5,4,1,0.8,0,0.9483870967741935,0.47419354838709676
Ben Simmons,14,4,10,0.2857142857142857,0.6129032258064516,0.14193548387096774,0.3774193548387097
Bennedict Mathurin,7,3,4,0.42857142857142855,0.25806451612903225,0.3870967741935484,0.3225806451612903
Bismack Biyombo,28,17,11,0.6071428571428571,0.7161290322580646,0.7548387096774194,0.735483870967742
Bol Bol,12,7,5,0.5833333333333334,0.5419354838709678,0.6580645161290323,0.6000000000000001
Brandin Podziemski,6,3,3,0.5,0.14838709677419354,0.45806451612903226,0.3032258064516129
Brook Lopez,90,55,35,0.6111111111111112,0.9741935483870968,0.7612903225806451,0.8677419354838709
Cade Cunningham,6,2,4,0.3333333333333333,0.14838709677419354,0.2,0.17419354838709677
Chet Holmgren,37,21,16,0.5675675675675675,0.7677419354838709,0.6258064516129033,0.6967741935483871
Clint Capela,48,26,22,0.5416666666666666,0.8387096774193549,0.5870967741935483,0.7129032258064516
Collin Sexton,6,1,5,0.16666666666666666,0.14838709677419354,0.04516129032258064,0.0967741935483871
Daniel Gafford,40,17,23,0.425,0.7806451612903226,0.3741935483870968,0.5774193548387097
Daniel Theis,12,5,7,0.4166666666666667,0.5419354838709678,0.36129032258064514,0.4516129032258065
Dario Šarić,5,1,4,0.2,0,0.07096774193548387,0.035483870967741936
Day'Ron Sharpe,5,0,5,0,0,0,0
De'Andre Hunter,9,3,6,0.3333333333333333,0.44516129032258067,0.2,0.32258064516129037
DeAndre Jordan,9,6,3,0.6666666666666666,0.44516129032258067,0.8129032258064516,0.6290322580645161
Dean Wade,5,2,3,0.4,0,0.3096774193548387,0.15483870967741936
Deandre Ayton,46,27,19,0.5869565217391305,0.8129032258064516,0.6774193548387096,0.7451612903225806
Deni Avdija,8,4,4,0.5,0.3548387096774194,0.45806451612903226,0.40645161290322585
Dereck Lively II,36,21,15,0.5833333333333334,0.7548387096774194,0.6580645161290323,0.7064516129032259
Derrick White,6,3,3,0.5,0.14838709677419354,0.45806451612903226,0.3032258064516129
Desmond Bane,8,4,4,0.5,0.3548387096774194,0.45806451612903226,0.40645161290322585
