player,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
A.J. Green,7.4,2.4,1.5,0.5,0.1,0.6218487394957983
Aaron Holiday,5.5,1.3,1.3,0.3,0.2,0.6395348837209303
Aaron Wiggins,12,3.9,1.8,0.8,0.2,0.6417112299465241
Adem Bona,5.8,4.2,0.5,0.4,1.2,0.4793388429752066
Al Horford,9,6.2,2.1,0.6,0.9,0.4787234042553191
Alex Sarr,13,6.5,2.4,0.7,1.5,0.5394190871369295
Alperen Şengün,19.1,10.3,4.9,1.1,0.8,0.5276243093922652
Amen Thompson,14.1,8.2,3.8,1.4,1.3,0.48958333333333337
Amir Coffey,9.7,2.2,1.1,0.6,0.1,0.708029197080292
Andre Jackson Jr.,3.4,2.7,1.2,0.5,0.2,0.425
Andrew Nembhard,10,3.3,5,1.2,0.2,0.5076142131979695
Andrew Wiggins,18,4.5,2.6,1,0.8,0.6691449814126393
Anfernee Simons,19.3,2.7,4.8,0.9,0.1,0.6942446043165468
Anthony Black,9.4,2.9,3.1,1.1,0.6,0.5497076023391813
Anthony Edwards,27.6,5.7,4.5,1.2,0.6,0.6969696969696969
Ausar Thompson,10.1,5.1,2.3,1.7,0.7,0.507537688442211
Austin Reaves,20.2,4.5,5.8,1.1,0.3,0.6332288401253918
Bam Adebayo,18.1,9.6,4.3,1.3,0.7,0.5323529411764706
Ben Sheppard,5.3,2.8,1.3,0.6,0.2,0.5196078431372549
Bennedict Mathurin,16.1,5.3,1.9,0.7,0.3,0.6625514403292182
Bilal Coulibaly,12.3,5,3.4,1.3,0.7,0.5418502202643173
Blake Wesley,3.7,1.1,2,0.6,0.1,0.49333333333333335
Brandin Podziemski,11.7,5.1,3.4,1.1,0.2,0.5441860465116279
Brandon Clarke,8.3,5.1,1,0.8,0.6,0.5253164556962026
Brice Sensabaugh,10.9,3,1.5,0.6,0.1,0.6770186335403726
Brook Lopez,13,5,1.8,0.6,1.9,0.5829596412556054
Bub Carrington,9.8,4.2,4.4,0.7,0.3,0.5051546391752578
Buddy Hield,11.1,3.2,1.6,0.8,0.3,0.6529411764705882
Cade Cunningham,26.1,6.1,9.1,1,0.8,0.605568445475638
Caleb Houstan,4.1,1.3,0.6,0.4,0.1,0.6307692307692307
Cameron Payne,6.9,1.4,2.8,0.5,0.2,0.5847457627118644
Caris LeVert,12.1,3.2,3.4,0.9,0.5,0.6019900497512438
Cason Wallace,8.4,3.4,2.5,1.8,0.5,0.5060240963855421
Chris Paul,8.8,3.6,7.4,1.3,0.3,0.411214953271028
Christian Braun,15.4,5.2,2.6,1.1,0.5,0.6209677419354838
Coby White,20.4,3.7,4.5,0.9,0.2,0.686868686868687
Cole Anthony,9.4,3,2.9,0.7,0.5,0.5696969696969697
Collin Sexton,18.4,2.7,4.2,0.7,0.1,0.7049808429118773
Corey Kispert,11.6,3,1.7,0.4,0.2,0.6863905325443788
D'Angelo Russell,12.6,2.8,5.1,1,0.4,0.5753424657534246
Dalano Banton,8.3,2,2.4,0.6,0.5,0.6014492753623188
Dalen Terry,4.5,1.7,1.3,0.6,0.2,0.5421686746987953
Dalton Knecht,9.1,2.8,0.8,0.3,0.1,0.6946564885496184
Damian Lillard,24.9,4.7,7.1,1.2,0.2,0.6535433070866141
Darius Garland,20.6,2.9,6.7,1.2,0.1,0.653968253968254
Davion Mitchell,7.9,2.3,4.9,1,0.2,0.48466257668711654
De'Aaron Fox,23.5,4.8,6.3,1.5,0.4,0.6438356164383562
De'Andre Hunter,17,4,1.4,0.8,0.2,0.7264957264957266
DeMar DeRozan,22.2,3.9,4.4,0.8,0.4,0.7003154574132492
Dean Wade,5.4,4.2,1.3,0.7,0.3,0.45378151260504196
Deni Avdija,16.9,7.3,3.9,1,0.5,0.5709459459459459
Dennis Schröder,13.1,2.6,5.4,0.9,0.2,0.5900900900900901
Derrick Jones Jr.,10.1,3.4,0.8,1,0.4,0.643312101910828
Derrick White,16.4,4.5,4.8,0.9,1.1,0.592057761732852
Desmond Bane,19.2,6.1,5.3,1.2,0.4,0.5962732919254659
Devin Booker,25.6,4.1,7.1,0.9,0.2,0.6754617414248021
Devin Vassell,16.3,4,2.9,1.3,0.5,0.652
Dillon Brooks,14,3.7,1.7,0.8,0.2,0.6862745098039216
Domantas Sabonis,19.1,13.9,6,0.7,0.4,0.47630922693266836
Donovan Clingan,6.5,7.9,1.1,0.5,1.6,0.36931818181818177
Donovan Mitchell,24,4.5,5,1.3,0.2,0.6857142857142857
Donte DiVincenzo,11.7,3.7,3.6,1.2,0.3,0.5707317073170731
Dorian Finney-Smith,8.7,3.9,1.4,0.9,0.4,0.5686274509803921
Draymond Green,9,6.1,5.6,1.5,1,0.3879310344827586
Drew Eubanks,4.6,3.7,0.9,0.2,0.6,0.45999999999999996
Duncan Robinson,11,2.3,2.4,0.5,0.1,0.674846625766871
Dyson Daniels,14.1,5.9,4.4,3,0.7,0.501779359430605
Evan Mobley,18.5,9.3,3.2,0.9,1.6,0.5522388059701493
Franz Wagner,24.2,5.7,4.7,1.3,0.4,0.6666666666666667
Fred VanVleet,14.1,3.7,5.6,1.6,0.4,0.5551181102362205
Gabe Vincent,6.4,1.3,1.4,0.7,0.2,0.6400000000000001
Gary Payton II,6.5,3,1.3,0.8,0.3,0.5462184873949579
Gary Trent Jr.,11.1,2.3,1.2,1,0.1,0.7070063694267517
Georges Niang,9.9,3.4,1.4,0.4,0.2,0.6470588235294118
Giannis Antetokounmpo,30.4,11.9,6.5,0.9,1.2,0.5972495088408645
Goga Bitadze,7.2,6.6,2,0.7,1.4,0.4022346368715084
Grayson Allen,10.6,3,2.1,0.8,0.3,0.6309523809523809
Guerschon Yabusele,11,5.6,2.1,0.8,0.3,0.5555555555555555
Harrison Barnes,12.3,3.8,1.7,0.5,0.2,0.664864864864865
Haywood Highsmith,6.5,3.4,1.5,0.9,0.5,0.5078125
Isaiah Collier,8.7,3.3,6.3,0.9,0.2,0.4484536082474227
Isaiah Joe,10.2,2.6,1.6,0.6,0.1,0.6754966887417219
Isaiah Stewart,6,5.5,1.7,0.4,1.4,0.4
Ivica Zubac,16.8,12.6,2.7,0.7,1.1,0.495575221238938
Jabari Walker,5.2,3.5,0.6,0.6,0.1,0.5200000000000001
Jaden McDaniels,12.2,5.7,2,1.3,0.9,0.5520361990950227
Jaime Jaquez Jr.,8.6,4.4,2.5,0.9,0.2,0.5180722891566265
Jake LaRavia,6.9,3.9,2.4,0.9,0.3,0.47916666666666663
Jalen Brunson,26,2.9,7.3,0.9,0.1,0.6989247311827957
Jalen Duren,11.8,10.3,2.7,0.7,1.1,0.44360902255639095
Jalen Green,21,4.6,3.4,0.9,0.3,0.695364238410596
Jalen Smith,8.2,5.6,1,0.3,0.7,0.5189873417721519
Jalen Williams,21.6,5.3,5.1,1.6,0.7,0.629737609329446
Jalen Wilson,9.5,3.4,1.8,0.5,0.1,0.6209150326797386
Jamal Murray,21.4,3.9,6,1.4,0.5,0.6445783132530121
Jamal Shead,7.1,1.5,4.2,0.8,0.1,0.5182481751824817
James Harden,22.8,5.8,8.7,1.5,0.7,0.5772151898734177
Jamison Battle,7.1,2.7,0.9,0.3,0.2,0.6339285714285713
Jarace Walker,6.1,3.1,1.5,0.7,0.3,0.5213675213675214
Jared Butler,9,1.8,3.7,0.7,0.2,0.5844155844155845
Jaren Jackson Jr.,22.2,5.6,2,1.2,1.5,0.683076923076923
Jarrett Allen,13.5,9.7,1.9,0.9,0.9,0.5018587360594796
Javonte Green,5.1,3.2,0.8,1,0.5,0.481132075471698
Jay Huff,6.9,2,0.6,0.3,0.9,0.6448598130841121
Jaylen Brown,22.2,5.8,4.5,1.2,0.3,0.6529411764705882
Jaylen Wells,10.4,3.4,1.7,0.6,0.1,0.6419753086419753
Jayson Tatum,26.8,8.7,6,1.1,0.5,0.6218097447795824
Jeremiah Robinson-Earl,6.3,4.8,1.3,0.6,0.1,0.48091603053435117
Jett Howard,4.5,1.2,0.7,0.2,0.2,0.6617647058823529
Johnny Juzang,8.9,2.9,1.1,0.6,0.1,0.6544117647058824
Jonas Valančiūnas,10.4,7.7,2,0.5,0.6,0.490566037735849
Jonathan Isaac,5.4,4.4,0.6,0.9,1.1,0.43548387096774194
Jonathan Mogbo,6.2,4.9,2.3,0.9,0.5,0.41891891891891886
Jordan Poole,20.5,3,4.5,1.3,0.4,0.6902356902356902
Josh Giddey,14.6,8.1,7.2,1.2,0.6,0.4605678233438486
Josh Green,7.4,2.5,1.6,1.1,0.2,0.5781250000000001
Josh Hart,13.6,9.6,5.9,1.5,0.4,0.43870967741935485
Jrue Holiday,11.1,4.3,3.9,1.1,0.4,0.5336538461538463
Julian Champagnie,9.9,3.9,1.4,0.7,0.4,0.6073619631901841
