season,lg,player,player_id,age,team,pos,experience
1947,BAA,John Abramovic,abramjo01,27,PIT,NA,1
1947,BAA,Chet Aubuchon,aubucch01,30,DTF,NA,1
1947,BAA,Norm Baker,bakerno01,23,CHS,NA,1
1947,BAA,Herschel Baltimore,baltihe01,25,STB,NA,1
1947,BAA,John Barr,barrjo01,28,STB,NA,1
1947,BAA,Frankie Baumholtz,baumhfr01,28,CLR,NA,1
1947,BAA,Moe Becker,beckemo01,29,3TM,NA,1
1947,BAA,Moe Becker,beckemo01,29,BOS,NA,1
1947,BAA,Moe Becker,beckemo01,29,DTF,NA,1
1947,BAA,Moe Becker,beckemo01,29,PIT,NA,1
1947,BAA,Hank Beenders,beendha01,30,PRO,NA,1
1947,BAA,Hank Biasatti,biasaha01,25,TRH,NA,1
1947,BAA,Al Brightman,brighal01,23,BOS,NA,1
1947,BAA,Aud Brindley,brindau01,23,NYK,NA,1
1947,BAA,Harold Brown,brownha01,23,DTF,NA,1
1947,BAA,Leon Brown,brownle01,27,CLR,NA,1
1947,BAA,Tommy Byrnes,byrneto01,23,NYK,NA,1
1947,BAA,Michael Bytzura,bytzumi01,24,PIT,NA,1
1947,BAA,Tom Callahan,callato01,25,PRO,NA,1
1947,BAA,Ernie Calverley,calveer01,23,PRO,NA,1
1947,BAA,Chet Carlisle,carlich01,30,CHS,NA,1
1947,BAA,Don Carlson,carlsdo01,27,CHS,NA,1
1947,BAA,Bob Cluggish,cluggbo01,29,NYK,NA,1
1947,BAA,Chuck Connors,connoch01,25,BOS,NA,1
1947,BAA,Ken Corley,corleke01,26,CLR,NA,1
1947,BAA,Hal Crisler,crislha01,23,BOS,NA,1
1947,BAA,Armand Cure,curear01,27,PRO,NA,1
1947,BAA,Howie Dallmar,dallmho01,24,PHW,NA,1
1947,BAA,Aubrey Davis,davisau01,25,STB,NA,1
1947,BAA,Bill Davis,davisbi01,26,CHS,NA,1
1947,BAA,Red Dehnert,dehnere01,23,PRO,NA,1
1947,BAA,Bob Dille,dillebo01,29,DTF,NA,1
1947,BAA,Bob Doll,dollbo01,27,STB,NA,1
1947,BAA,Bob Duffy,duffybo01,24,2TM,NA,1
1947,BAA,Bob Duffy,duffybo01,24,BOS,NA,1
1947,BAA,Bob Duffy,duffybo01,24,CHS,NA,1
1947,BAA,Don Eliason,eliasdo01,28,BOS,NA,1
1947,BAA,Ned Endress,endrene01,28,CLR,NA,1
1947,BAA,Joe Fabel,fabeljo01,29,PIT,NA,1
1947,BAA,Bob Faught,faughbo01,25,CLR,NA,1
1947,BAA,Bob Feerick,feeribo01,27,WSC,NA,1
1947,BAA,Warren Fenley,fenlewa01,24,BOS,NA,1
1947,BAA,Bob Fitzgerald,fitzgbo01,23,2TM,NA,1
1947,BAA,Bob Fitzgerald,fitzgbo01,23,NYK,NA,1
1947,BAA,Bob Fitzgerald,fitzgbo01,23,TRH,NA,1
1947,BAA,Dick Fitzgerald,fitzgdi01,26,TRH,NA,1
1947,BAA,Jerry Fleishman,fleisje01,24,PHW,SG,1
1947,BAA,Nat Frankel,frankna01,33,PIT,NA,1
1947,BAA,Frido Frey,freyfr01,25,NYK,NA,1
1947,BAA,Frank Fucarino,fucarfr01,26,TRH,NA,1
1947,BAA,Joe Fulks,fulksjo01,25,PHW,PF,1
1947,BAA,Bob Gantt,ganttbo01,24,WSC,NA,1
1947,BAA,Jack Garfinkel,garfija01,28,BOS,NA,1
1947,BAA,Gorham Getchell,getchgo01,26,PIT,NA,1
1947,BAA,Gene Gallette,gillege01,27,WSC,NA,1
1947,BAA,Chuck Gilmur,gilmuch01,24,CHS,NA,1
1947,BAA,Ben Goldfaden,goldfbe01,33,WSC,NA,1
1947,BAA,Pop Goodwin,goodwpo01,26,PRO,NA,1
1947,BAA,Leo Gottlieb,gottlle01,26,NYK,NA,1
1947,BAA,Wyndol Gray,graywy01,24,BOS,NA,1
1947,BAA,Woody Grimshaw,grimswo01,27,PRO,NA,1
1947,BAA,Coulby Gunther,gunthco01,23,PIT,NA,1
1947,BAA,Matt Guokas,guokama01,31,PHW,NA,1
1947,BAA,Chick Halbert,halbech01,27,CHS,NA,1
1947,BAA,Cecil Hankins,hankice01,25,STB,NA,1
1947,BAA,Kleggie Hermsen,hermskl01,23,2TM,NA,1
1947,BAA,Kleggie Hermsen,hermskl01,23,CLR,NA,1
1947,BAA,Kleggie Hermsen,hermskl01,23,TRH,NA,1
1947,BAA,Sonny Hertzberg,hertzso01,24,NYK,NA,1
1947,BAA,Art Hillhouse,hillhar01,30,PHW,NA,1
1947,BAA,Mel Hirsch,hirscme01,25,BOS,NA,1
1947,BAA,Charlie Hoefer,hoefech01,25,2TM,NA,1
1947,BAA,Charlie Hoefer,hoefech01,25,BOS,NA,1
1947,BAA,Charlie Hoefer,hoefech01,25,TRH,NA,1
1947,BAA,Roy Hurley,hurlero01,24,TRH,NA,1
1947,BAA,Fred Jacobs,jacobfr01,24,STB,NA,1
1947,BAA,John Janisch,janisjo01,26,DTF,NA,1
1947,BAA,Tony Jaros,jarosto01,26,CHS,NA,1
1947,BAA,Harold Johnson,johnsha01,27,DTF,NA,1
1947,BAA,Noble Jorgensen,jorgeno01,21,PIT,C,1
1947,BAA,Roger Jorgensen,jorgero01,26,PIT,NA,1
1947,BAA,Ralph Kaplowitz,kaplora01,27,2TM,NA,1
1947,BAA,Ralph Kaplowitz,kaplora01,27,NYK,NA,1
1947,BAA,Ralph Kaplowitz,kaplora01,27,PHW,NA,1
1947,BAA,Tony Kappen,kappeto01,27,2TM,NA,1
1947,BAA,Tony Kappen,kappeto01,27,BOS,NA,1
1947,BAA,Tony Kappen,kappeto01,27,PIT,NA,1
1947,BAA,Ed Kasid,kasided01,23,TRH,NA,1
1947,BAA,Wilbert Kautz,kautzwi01,31,CHS,NA,1
1947,BAA,Ken Keller,kelleke01,24,2TM,NA,1
1947,BAA,Ken Keller,kelleke01,24,PRO,NA,1
1947,BAA,Ken Keller,kelleke01,24,WSC,NA,1
1947,BAA,Jerry Kelly,kellyje01,28,BOS,NA,1
1947,BAA,Tom King,kingto01,22,DTF,NA,1
1947,BAA,Lee Knorek,knorele01,25,NYK,NA,1
1947,BAA,Harold Kottman,kottmha01,24,BOS,NA,1
1947,BAA,Pete Lalich,lalicpe01,26,CLR,NA,1
1947,BAA,Hank Lefkowitz,lefkoha01,23,CLR,NA,1
1947,BAA,Grady Lewis,lewisgr01,29,DTF,NA,1
1947,BAA,John Logan,loganjo01,26,STB,NA,1
1947,BAA,Al Lujack,lujacal01,26,WSC,NA,1
1947,BAA,John Mahnken,mahnkjo01,24,WSC,C,1
1947,BAA,Frank Mangiapane,mangifr01,21,NYK,NA,1
1947,BAA,Press Maravich,maravpr01,31,PIT,NA,1
1947,BAA,Dino Martin,martidi01,26,PRO,NA,1
1947,BAA,Don Martin,martido01,26,STB,NA,1
1947,BAA,Ariel Maughan,maughar01,23,DTF,NA,1
1947,BAA,Howie McCarty,mccarho01,27,DTF,NA,1
1947,BAA,Mike McCarron,mccarmi01,24,TRH,NA,1
1947,BAA,Bones McKinney,mckinbo01,28,WSC,SF,1
1947,BAA,George Mearns,mearnge01,24,PRO,NA,1
1947,BAA,Ed Melvin,melvied01,30,PIT,NA,1
1947,BAA,Stan Miasek,miasest01,23,DTF,NA,1
1947,BAA,Red Mihalik,mihalre01,30,PIT,NA,1
1947,BAA,Nat Militzok,militna01,23,2TM,NA,1
1947,BAA,Nat Militzok,militna01,23,NYK,NA,1
1947,BAA,Nat Militzok,militna01,23,TRH,NA,1
