player1,player2,team,total_p1_to_p2,total_p2_to_p1,total2s_p1_to_p2,total2s_p2_to_p1,total3s_p1_to_p2,total3s_p2_to_p1,total,harmonic_mean,diff_between_sides
Jamal Murray,Nikola Jokić,DEN,170,147,127,86,43,61,317,157.66561514195584,23
Alperen Sengun,Kevin Durant,HOU,110,92,75,87,35,5,202,100.1980198019802,18
Dyson Daniels,Jalen Johnson,ATL,104,79,78,71,26,8,183,89.79234972677595,25
Jalen Johnson,Nickeil Alexander-Walker,ATL,138,61,51,40,87,21,199,84.60301507537689,77
Alperen Sengun,Amen Thompson,HOU,101,71,99,62,2,9,172,83.38372093023256,30
Amen Thompson,Kevin Durant,HOU,100,68,67,65,33,3,168,80.95238095238095,32
Donte DiVincenzo,Julius Randle,MIN,73,83,49,14,24,69,156,77.67948717948718,10
LaMelo Ball,Miles Bridges,CHA,133,48,88,10,45,38,181,70.54143646408839,85
Brandon Ingram,Immanuel Quickley,TOR,56,94,16,56,40,38,150,70.18666666666667,38
Jaylen Brown,Payton Pritchard,BOS,64,77,18,62,46,15,141,69.90070921985816,13
Joel Embiid,Tyrese Maxey,PHI,53,100,33,82,20,18,153,69.28104575163398,47
Immanuel Quickley,Scottie Barnes,TOR,87,56,70,25,17,31,143,68.13986013986013,31
Christian Braun,Nikola Jokić,DEN,48,106,38,88,10,18,154,66.07792207792208,58
Josh Hart,Mikal Bridges,NYK,79,56,48,29,31,27,135,65.54074074074074,23
Michael Porter Jr.,Nic Claxton,BKN,48,97,48,64,0,33,145,64.22068965517241,49
Brandon Miller,LaMelo Ball,CHA,47,101,12,48,35,53,148,64.14864864864865,54
Tyrese Maxey,VJ Edgecombe,PHI,75,56,43,31,32,25,131,64.12213740458016,19
Derrick White,Jaylen Brown,BOS,71,57,54,20,17,37,128,63.234375,14
Cameron Johnson,Nikola Jokić,DEN,47,93,37,52,10,41,140,62.44285714285714,46
Jalen Johnson,Onyeka Okongwu,ATL,104,44,63,28,41,16,148,61.83783783783784,60
Stephon Castle,Victor Wembanyama,SAS,130,40,92,31,38,9,170,61.1764705882353,90
Jalen Brunson,Mikal Bridges,NYK,98,43,50,24,48,19,141,59.773049645390074,55
Anthony Edwards,Julius Randle,MIN,49,73,28,33,21,40,122,58.63934426229508,24
Andrew Nembhard,Pascal Siakam,IND,119,38,91,18,28,20,157,57.605095541401276,81
Jalen Brunson,Josh Hart,NYK,79,45,52,23,27,22,124,57.33870967741935,34
Deni Avdija,Toumani Camara,POR,95,41,21,26,74,15,136,57.279411764705884,54
DeMar DeRozan,Russell Westbrook,SAC,58,54,14,46,44,8,112,55.92857142857143,4
Anthony Black,Paolo Banchero,ORL,44,73,36,45,8,28,117,54.9059829059829,29
Dyson Daniels,Onyeka Okongwu,ATL,73,42,37,41,36,1,115,53.321739130434786,31
LeBron James,Luka Dončić,LAL,40,75,26,59,14,16,115,52.17391304347826,35
Karl-Anthony Towns,Mikal Bridges,NYK,53,51,40,29,13,22,104,51.98076923076923,2
Immanuel Quickley,RJ Barrett,TOR,59,46,32,19,27,27,105,51.695238095238096,13
Kon Knueppel,Miles Bridges,CHA,43,64,19,16,24,48,107,51.4392523364486,21
Amen Thompson,Reed Sheppard,HOU,64,43,13,39,51,4,107,51.4392523364486,21
Derik Queen,Trey Murphy III,NOP,96,35,67,32,29,3,131,51.29770992366412,61
Desmond Bane,Wendell Carter Jr.,ORL,62,43,38,31,24,12,105,50.78095238095238,19
Kon Knueppel,LaMelo Ball,CHA,33,107,10,35,23,72,140,50.44285714285714,74
Draymond Green,Stephen Curry,GSW,90,35,43,22,47,13,125,50.4,55
RJ Barrett,Scottie Barnes,TOR,36,82,30,62,6,20,118,50.03389830508475,46
Kevin Durant,Reed Sheppard,HOU,40,66,13,37,27,29,106,49.81132075471698,26
Devin Booker,Royce O'Neale,PHX,64,40,9,28,55,12,104,49.23076923076923,24
Derrick White,Payton Pritchard,BOS,51,47,16,17,35,30,98,48.91836734693877,4
Jaden McDaniels,Julius Randle,MIN,38,68,24,37,14,31,106,48.75471698113208,30
Desmond Bane,Paolo Banchero,ORL,42,58,30,29,12,29,100,48.72,16
Deni Avdija,Donovan Clingan,POR,79,35,61,20,18,15,114,48.50877192982456,44
Donovan Mitchell,Evan Mobley,CLE,83,34,66,15,17,19,117,48.23931623931624,49
Austin Reaves,LeBron James,LAL,53,44,47,22,6,22,97,48.08247422680412,9
Jalen Brunson,Karl-Anthony Towns,NYK,92,32,70,24,22,8,124,47.483870967741936,60
Saddiq Bey,Trey Murphy III,NOP,56,41,26,19,30,22,97,47.34020618556701,15
Desmond Bane,Jalen Suggs,ORL,39,59,14,38,25,21,98,46.95918367346939,20
Jusuf Nurkić,Keyonte George,UTA,49,45,34,41,15,4,94,46.91489361702128,4
Jabari Smith Jr.,Kevin Durant,HOU,35,71,22,40,13,31,106,46.886792452830186,36
Alperen Sengun,Reed Sheppard,HOU,53,42,13,31,40,11,95,46.863157894736844,11
Quentin Grimes,Tyrese Maxey,PHI,41,54,22,24,19,30,95,46.61052631578947,13
Cade Cunningham,Jalen Duren,DET,137,28,137,23,0,5,165,46.4969696969697,109
LeBron James,Marcus Smart,LAL,48,45,16,40,32,5,93,46.45161290322581,3
Cooper Flagg,Naji Marshall,DAL,53,41,37,33,16,8,94,46.234042553191486,12
