team_challenged,num_challenges,successful_challenges,success_rate,rest_of_league_success_rate,expected_successful_challenges,diff
ATL,53,29,0.5471698113207547,0.6390041493775933,33.86721991701245,-4.867219917012449
BKN,63,37,0.5873015873015873,0.6380441264162194,40.196779964221825,-3.1967799642218253
BOS,47,31,0.6595744680851063,0.635558180744241,29.871234494979326,1.1287655050206737
CHA,53,35,0.660377358490566,0.6354475400118553,33.678719620628335,1.3212803793716645
CHI,25,19,0.76,0.634402332361516,15.8600583090379,3.1399416909621003
CLE,72,50,0.6944444444444444,0.6336930455635491,45.62589928057554,4.374100719424462
DAL,42,18,0.42857142857142855,0.6413427561837456,26.936395759717314,-8.936395759717314
DEN,45,29,0.6444444444444445,0.6359882005899705,28.619469026548675,0.38053097345132514
DET,64,38,0.59375,0.6378281622911695,40.821002386634845,-2.821002386634845
GSW,67,44,0.6567164179104478,0.6353855349671249,42.57083084279737,1.4291691572026295
HOU,78,47,0.6025641025641025,0.6377858002406739,49.74729241877256,-2.7472924187725596
IND,31,15,0.4838709677419355,0.638970157987127,19.808074897600935,-4.808074897600935
LAC,72,45,0.625,0.6366906474820144,45.84172661870504,-0.8417266187050387
LAL,73,51,0.6986301369863014,0.6334733053389322,46.24355128974205,4.756448710257949
MEM,70,45,0.6428571428571429,0.6359281437125749,44.51497005988024,0.48502994011975886
MIA,44,29,0.6590909090909091,0.6356132075471698,27.96698113207547,1.033018867924529
MIL,44,23,0.5227272727272727,0.6391509433962265,28.122641509433965,-5.122641509433965
MIN,82,56,0.6829268292682927,0.6338962605548853,51.9794933655006,4.020506634499398
NOP,51,34,0.6666666666666666,0.635287152161042,32.39964476021314,1.6003552397868575
NYK,48,38,0.7916666666666666,0.6317966903073287,30.326241134751776,7.6737588652482245
OKC,84,52,0.6190476190476191,0.6370772946859904,53.514492753623195,-1.5144927536231947
ORL,54,38,0.7037037037037037,0.6340450771055753,34.238434163701065,3.761565836298935
PHI,66,47,0.7121212121212122,0.6332138590203107,41.79211469534051,5.2078853046594915
PHX,79,54,0.6835443037974683,0.633955448524985,50.08248043347381,3.917519566526188
POR,83,52,0.6265060240963856,0.6366928183464092,52.845503922751966,-0.8455039227519663
SAC,49,31,0.6326530612244898,0.6363098758131284,31.17918391484329,-0.17918391484328922
SAS,33,17,0.5151515151515151,0.6385471587580551,21.07205623901582,-4.072056239015819
TOR,50,26,0.52,0.6396449704142012,31.982248520710062,-5.982248520710062
UTA,64,47,0.734375,0.6324582338902148,40.47732696897375,6.522673031026251
WAS,54,30,0.5555555555555556,0.6387900355871886,34.494661921708186,-4.494661921708186
