PLAYER_NAME,FTM,FTA,FTM_clutch,FTA_clutch,FTM_non_clutch,FTA_non_clutch,FT_PCT_clutch,FT_PCT_non_clutch,differential
A.J. Lawson,14,18,0.0,0.0,14.0,18.0,,0.7777777777777778,
AJ Green,53,62,4.0,6.0,49.0,56.0,0.6666666666666666,0.875,-0.20833333333333337
AJ Johnson,34,40,0.0,0.0,34.0,40.0,,0.85,
Aaron Gordon,125,163,6.0,10.0,119.0,153.0,0.6,0.7777777777777778,-0.1777777777777778
Aaron Holiday,35,41,3.0,4.0,32.0,37.0,0.75,0.8648648648648649,-0.11486486486486491
Aaron Nesmith,92,111,3.0,6.0,89.0,105.0,0.5,0.8476190476190476,-0.3476190476190476
Aaron Wiggins,53,72,1.0,3.0,52.0,69.0,0.3333333333333333,0.7536231884057971,-0.4202898550724638
Ace Bailey,66,88,0.0,1.0,66.0,87.0,0.0,0.7586206896551724,-0.7586206896551724
Adama Bal,9,10,0.0,0.0,9.0,10.0,,0.9,
Adem Bona,80,113,2.0,4.0,78.0,109.0,0.5,0.7155963302752294,-0.2155963302752294
Adou Thiero,14,22,,,,,,,
Ajay Mitchell,141,162,12.0,12.0,129.0,150.0,1.0,0.86,0.14
Al Horford,22,26,1.0,1.0,21.0,25.0,1.0,0.84,0.16000000000000003
Alex Antetokounmpo,11,15,,,,,,,
Alex Caruso,41,51,0.0,0.0,41.0,51.0,,0.803921568627451,
Alex Morales,2,2,,,,,,,
Alex Sarr,101,146,5.0,8.0,96.0,138.0,0.625,0.6956521739130435,-0.07065217391304346
Alijah Martin,15,19,1.0,2.0,14.0,17.0,0.5,0.8235294117647058,-0.32352941176470584
Alondes Williams,7,8,0.0,0.0,7.0,8.0,,0.875,
Alperen Sengun,260,376,20.0,35.0,240.0,341.0,0.5714285714285714,0.7038123167155426,-0.13238374528697117
Amari Williams,10,14,1.0,1.0,9.0,13.0,1.0,0.6923076923076923,0.3076923076923077
Amen Thompson,304,390,21.0,26.0,283.0,364.0,0.8076923076923077,0.7774725274725275,0.030219780219780223
Amir Coffey,22,28,1.0,2.0,21.0,26.0,0.5,0.8076923076923077,-0.3076923076923077
Andersson Garcia,7,9,0.0,0.0,7.0,9.0,,0.7777777777777778,
Andre Drummond,53,84,4.0,5.0,49.0,79.0,0.8,0.620253164556962,0.17974683544303804
Andre Jackson Jr.,20,32,0.0,0.0,20.0,32.0,,0.625,
Andrew Nembhard,193,234,3.0,5.0,190.0,229.0,0.6,0.8296943231441049,-0.22969432314410487
Andrew Wiggins,127,162,12.0,17.0,115.0,145.0,0.7058823529411765,0.7931034482758621,-0.08722109533468558
