coach,ejections,technicals,techs_plus_eject
Billy Donovan,0,2,2
Brian Keefe,0,5,5
Charles Lee,1,3,4
Chris Finch,1,9,10
Darko Rajakovic,0,4,4
David Adelman,1,7,8
Douglas Christie,0,5,5
Erik Spoelstra,0,1,1
Ime Udoka,2,12,14
Jamahl Mosley,1,7,8
James Borrego,0,4,4
Jason Kidd,2,3,5
Jim Boylen,0,1,1
Joe Mazzulla,0,2,2
John-Blair Bickerstaff,0,11,11
Jonathan Redick,0,4,4
Jordan Ott,0,1,1
Jordi Fernandez,0,5,5
Kenny Atkinson,2,9,11
Luke Walton,0,1,1
Mark Daigneault,0,3,3
Mike Brown,0,2,2
Mitch Johnson,0,4,4
Nick Nurse,0,5,5
Quin Snyder,0,2,2
Rick Carlisle,1,8,9
Royal Ivey,0,1,1
Steve Kerr,1,5,6
Tiago Splitter,0,7,7
Tuomas Iisalo,0,6,6
Tyronn Lue,0,1,1
Will Hardy,0,5,5
Willie Green,0,1,1
