player,pos,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Precious Achiuwa,C,0.558,17.6,0.2,0.8285714285714286,0.5,0.7428571428571429,2.0714285714285716
Bam Adebayo,C,0.551,25,2.4,0.8857142857142857,0.8857142857142857,0.08571428571428572,1.857142857142857
Ochai Agbaji,SG,0.525,14.6,-0.5,0.8404255319148937,0.2127659574468085,0.8191489361702128,1.872340425531915
Santi Aldama,PF,0.572,20.2,1.1,0.578125,0.703125,0.203125,1.484375
Nickeil Alexander-Walker,SG,0.61,23.9,2.1,0.14893617021276595,0.8829787234042553,0.06382978723404255,1.0957446808510638
Grayson Allen,SG,0.568,23.8,1.5,0.48936170212765956,0.8723404255319149,0.13829787234042554,1.5
Jarrett Allen,C,0.669,19.9,1.8,0.2571428571428571,0.7571428571428571,0.14285714285714285,1.157142857142857
Jose Alvarado,PG,0.543,16.8,0.3,0.6557377049180327,0.19672131147540983,0.5737704918032787,1.4262295081967213
Kyle Anderson,SF,0.573,13.2,0.5,0.5373134328358209,0.07462686567164178,0.4626865671641791,1.0746268656716418
OG Anunoby,PF,0.62,19.7,2.3,0.203125,0.671875,0.046875,0.921875
Deni Avdija,SF,0.6,29.3,3.5,0.23880597014925373,0.9552238805970149,0.04477611940298507,1.2388059701492535
Deandre Ayton,C,0.676,16.7,0.6,0.2,0.44285714285714284,0.5285714285714286,1.1714285714285713
Marvin Bagley III,PF,0.661,18.6,0.8,0.046875,0.5625,0.34375,0.953125
Ace Bailey,SF,0.533,21.4,-1.2,0.8656716417910447,0.6716417910447762,1,2.5373134328358207
LaMelo Ball,PG,0.546,32,3.4,0.639344262295082,0.9508196721311475,0.09836065573770492,1.6885245901639343
Paolo Banchero,PF,0.566,27.6,2.1,0.671875,0.96875,0.09375,1.734375
Desmond Bane,SG,0.607,23.3,2.3,0.20212765957446807,0.851063829787234,0.0425531914893617,1.0957446808510638
Dominick Barlow,PF,0.597,12.8,0.4,0.328125,0.140625,0.515625,0.984375
Harrison Barnes,PF,0.608,14.6,1,0.265625,0.234375,0.234375,0.734375
Scottie Barnes,PF,0.577,23.4,4.2,0.53125,0.890625,0,1.421875
RJ Barrett,SF,0.585,25.8,1,0.40298507462686567,0.8208955223880597,0.3283582089552239,1.5522388059701493
Jamison Battle,SF,0.635,14.1,-0.1,0.014925373134328358,0.13432835820895522,0.7761194029850746,0.9253731343283582
Nicolas Batum,PF,0.603,9.6,0.3,0.3125,0,0.546875,0.859375
Saddiq Bey,SF,0.579,21.6,1.4,0.44776119402985076,0.6865671641791045,0.2835820895522388,1.417910447761194
Goga Bitadze,C,0.7,13.5,1.2,0.05714285714285714,0.18571428571428572,0.34285714285714286,0.5857142857142857
Anthony Black,PG,0.549,22.2,0.7,0.6229508196721312,0.5737704918032787,0.4426229508196721,1.639344262295082
Adem Bona,C,0.638,11.1,-0.3,0.32857142857142857,0.07142857142857142,0.9285714285714286,1.3285714285714287
Devin Booker,SG,0.585,32.2,2.3,0.3617021276595745,0.9893617021276596,0.0425531914893617,1.393617021276596
Jamaree Bouyea,PG,0.523,18.5,0.3,0.8032786885245902,0.29508196721311475,0.5737704918032787,1.6721311475409837
Tony Bradley,C,0.596,14.5,-0.3,0.6142857142857143,0.21428571428571427,0.9285714285714286,1.7571428571428571
Christian Braun,SG,0.607,14.8,0.3,0.20212765957446807,0.22340425531914893,0.44680851063829785,0.8723404255319148
Mikal Bridges,SF,0.587,17.3,3.2,0.373134328358209,0.40298507462686567,0.07462686567164178,0.8507462686567164
Miles Bridges,PF,0.57,22.3,1.9,0.609375,0.8125,0.109375,1.53125
Dillon Brooks,SF,0.54,28.6,-0.1,0.835820895522388,0.9402985074626866,0.7761194029850746,2.5522388059701493
Bruce Brown,SG,0.562,14.5,-0.2,0.574468085106383,0.19148936170212766,0.6914893617021277,1.4574468085106385
Jaylen Brown,SF,0.573,36.2,3.3,0.5373134328358209,1,0.05970149253731343,1.5970149253731343
Kobe Brown,PF,0.594,15.6,-0.2,0.375,0.328125,0.828125,1.53125
Jalen Brunson,PG,0.58,30.4,3.3,0.32786885245901637,0.9180327868852459,0.13114754098360656,1.3770491803278688
Carter Bryant,PF,0.526,16.3,-0.2,0.890625,0.390625,0.828125,2.109375
Thomas Bryant,C,0.625,18.6,0.4,0.42857142857142855,0.6285714285714286,0.6428571428571429,1.7000000000000002
Matas Buzelis,PF,0.586,22.8,0.5,0.453125,0.84375,0.453125,1.75
