personId,game_winning_3,game_winning_2,game_winning_ft,game_winning_points,player_name
2544,0,6,1,13,LeBron James
201142,3,4,4,21,Kevin Durant
201143,1,2,0,7,Al Horford
201566,1,0,0,3,Russell Westbrook
201572,1,0,0,3,Brook Lopez
201587,1,0,0,3,Nicolas Batum
201935,1,5,3,16,James Harden
201939,1,1,3,8,Stephen Curry
201942,0,6,2,14,DeMar DeRozan
201950,3,2,2,15,Jrue Holiday
202331,3,1,1,12,Paul George
202685,0,3,0,6,Jonas Valančiūnas
202695,1,5,3,16,Kawhi Leonard
202696,3,4,1,18,Nikola Vučević
202699,2,3,2,14,Tobias Harris
202710,1,6,1,16,Jimmy Butler III
203076,0,2,0,4,Anthony Davis
203083,0,3,1,7,Andre Drummond
203084,1,2,0,7,Harrison Barnes
203110,1,0,0,3,Draymond Green
203114,1,0,0,3,Khris Middleton
203468,3,5,0,19,CJ McCollum
203471,1,1,2,7,Dennis Schröder
203486,0,1,0,2,Mason Plumlee
203497,0,5,0,10,Rudy Gobert
203501,3,1,1,12,Tim Hardaway Jr.
203507,1,3,1,10,Giannis Antetokounmpo
203897,1,0,0,3,Zach LaVine
203903,0,1,0,2,Jordan Clarkson
203914,1,0,0,3,Gary Harris
203924,2,0,1,7,Jerami Grant
203932,0,2,2,6,Aaron Gordon
203935,4,1,1,15,Marcus Smart
203944,0,4,0,8,Julius Randle
203952,3,2,1,14,Andrew Wiggins
203954,0,4,1,9,Joel Embiid
203991,1,1,0,5,Clint Capela
203994,0,2,1,5,Jusuf Nurkić
203999,1,7,3,20,Nikola Jokić
204001,0,1,1,3,Kristaps Porziņģis
1626157,1,3,2,11,Karl-Anthony Towns
1626162,0,2,0,4,Kelly Oubre Jr.
1626164,3,1,3,14,Devin Booker
1626166,0,0,1,1,Cameron Payne
1626167,2,1,0,8,Myles Turner
1626181,0,5,1,11,Norman Powell
1626204,1,0,0,3,Larry Nance Jr.
1626220,4,0,0,12,Royce O'Neale
1627734,0,1,0,2,Domantas Sabonis
1627739,0,0,2,2,Kris Dunn
1627742,1,4,1,12,Brandon Ingram
1627746,0,1,0,2,Skal Labissiere
1627747,2,1,0,8,Caris LeVert
1627749,0,0,1,1,Dejounte Murray
1627750,4,3,6,24,Jamal Murray
1627751,0,4,0,8,Jakob Poeltl
1627759,3,3,5,20,Jaylen Brown
1627780,1,1,0,5,Gary Payton II
1627783,2,6,2,20,Pascal Siakam
1627824,0,1,0,2,Guerschon Yabusele
1627826,0,1,1,3,Ivica Zubac
1627827,1,0,0,3,Dorian Finney-Smith
1627884,2,0,0,6,Derrick Jones Jr.
1627936,2,2,0,10,Alex Caruso
1628368,2,6,3,21,De'Aaron Fox
1628369,1,0,1,4,Jayson Tatum
1628370,1,0,2,5,Malik Monk
1628374,1,0,1,4,Lauri Markkanen
1628378,4,8,5,33,Donovan Mitchell
1628379,4,1,0,14,Luke Kennard
1628381,0,3,1,7,John Collins
1628384,3,4,3,20,OG Anunoby
1628386,0,5,3,13,Jarrett Allen
1628389,0,2,3,7,Bam Adebayo
1628392,0,3,0,6,Isaiah Hartenstein
1628398,1,1,1,6,Kyle Kuzma
1628401,5,4,2,25,Derrick White
1628404,4,1,0,14,Josh Hart
1628415,1,2,1,8,Dillon Brooks
1628418,2,0,0,6,Thomas Bryant
1628436,0,2,2,6,Luke Kornet
1628467,0,1,0,2,Maxi Kleber
1628960,5,0,4,19,Grayson Allen
1628963,0,2,0,4,Marvin Bagley III
1628969,5,1,0,17,Mikal Bridges
1628970,0,3,2,8,Miles Bridges
1628971,0,4,2,10,Bruce Brown
1628973,3,2,5,18,Jalen Brunson
1628976,0,4,1,9,Wendell Carter Jr.
1628978,6,2,0,22,Donte DiVincenzo
1628983,7,5,6,37,Shai Gilgeous-Alexander
1628988,2,0,1,7,Aaron Holiday
1628989,3,0,0,9,Kevin Huerter
1628991,0,2,1,5,Jaren Jackson Jr.
1628997,0,1,1,3,Caleb Martin
1629001,0,2,2,6,De'Anthony Melton
1629006,1,0,0,3,Josh Okogie
1629008,0,2,1,5,Michael Porter Jr.
1629011,0,0,1,1,Mitchell Robinson
1629012,0,1,0,2,Collin Sexton
1629013,6,0,1,19,Landry Shamet
1629014,0,2,4,8,Anfernee Simons
1629018,1,0,0,3,Gary Trent Jr.
1629020,0,1,0,2,Jarred Vanderbilt
1629021,0,1,1,3,Moritz Wagner
1629023,1,1,0,5,P.J. Washington
1629026,1,1,0,5,Kenrich Williams
1629027,0,0,1,1,Trae Young
1629029,4,3,2,20,Luka Dončić
1629057,0,3,0,6,Robert Williams III
1629060,2,3,1,13,Rui Hachimura
1629111,0,2,0,4,Jock Landale
1629130,2,0,2,8,Duncan Robinson
1629216,1,0,0,3,Gabe Vincent
1629312,1,0,0,3,Haywood Highsmith
1629599,0,1,0,2,Amir Coffey
1629614,2,0,1,7,Andrew Nembhard
1629622,1,0,0,3,Max Strus
1629627,0,3,1,7,Zion Williamson
1629628,1,7,0,17,RJ Barrett
1629630,0,2,0,4,Ja Morant
1629631,0,1,0,2,De'Andre Hunter
1629632,1,1,4,9,Coby White
1629636,0,2,0,4,Darius Garland
1629637,1,2,0,7,Jaxson Hayes
1629638,3,6,1,22,Nickeil Alexander-Walker
1629639,1,4,0,11,Tyler Herro
1629640,0,5,1,11,Keldon Johnson
1629645,0,4,3,11,Kevin Porter Jr.
1629651,0,1,2,4,Nic Claxton
1629652,3,0,1,10,Luguentz Dort
1629655,0,1,0,2,Daniel Gafford
1629656,5,0,1,16,Quentin Grimes
1629661,1,0,0,3,Cameron Johnson
1629673,0,1,0,2,Jordan Poole
1629674,0,2,0,4,Neemias Queta
1629675,4,2,0,16,Naz Reid
1629680,1,0,0,3,Matisse Thybulle
1629684,1,2,0,7,Grant Williams
1629731,0,1,0,2,Dean Wade
1629750,2,2,1,11,Javonte Green
1630162,7,7,4,39,Anthony Edwards
1630163,4,3,0,18,LaMelo Ball
1630166,0,5,5,15,Deni Avdija
1630167,0,1,0,2,Obi Toppin
1630168,1,0,2,5,Onyeka Okongwu
1630170,1,2,4,11,Devin Vassell
