PLAYER_NAME,MIN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,DEF_LOOSE_BALLS_RECOVERED,DEF_BOXOUTS,CONTESTED_SHOTS_2PT_per_36,CONTESTED_SHOTS_3PT_per_36,DEFLECTIONS_per_36,CHARGES_DRAWN_per_36,DEF_LOOSE_BALLS_RECOVERED_per_36,DEF_BOXOUTS_per_36,CONTESTED_SHOTS_2PT_per_36_percentile_rk,CONTESTED_SHOTS_3PT_per_36_percentile_rk,DEFLECTIONS_per_36_percentile_rk,CHARGES_DRAWN_per_36_percentile_rk,DEF_LOOSE_BALLS_RECOVERED_per_36_percentile_rk,DEF_BOXOUTS_per_36_percentile_rk,mean
AJ Green,2270.0,167,132,111,3,25,36,2.6484581497797355,2.0933920704845814,1.760352422907489,0.04757709251101321,0.39647577092511016,0.5709251101321586,0.3961218836565097,0.3767313019390582,0.1634349030470914,0.6814404432132964,0.7839335180055401,0.5983379501385041,0.5
AJ Johnson,385.0,34,30,23,0,0,1,3.1792207792207794,2.8051948051948052,2.1506493506493505,0.0,0.0,0.09350649350649351,0.5124653739612188,0.7146814404432132,0.33518005540166207,0.21606648199445982,0.006925207756232687,0.00554016620498615,0.29847645429362885
Aaron Holiday,738.0,49,53,38,2,8,7,2.3902439024390243,2.5853658536585367,1.853658536585366,0.0975609756097561,0.3902439024390244,0.3414634146341463,0.31024930747922436,0.6204986149584487,0.20498614958448755,0.8365650969529086,0.7728531855955678,0.31024930747922436,0.5092336103416436
Aaron Nesmith,1335.0,151,99,50,4,11,10,4.07191011235955,2.6696629213483147,1.348314606741573,0.10786516853932585,0.2966292134831461,0.2696629213483146,0.6648199445983379,0.6648199445983379,0.06371191135734072,0.8587257617728532,0.4903047091412742,0.20221606648199447,0.49076638965835645
Aaron Wiggins,1378.0,144,117,113,1,21,15,3.7619738751814222,3.0566037735849054,2.95210449927431,0.026124818577648767,0.5486211901306242,0.3918722786647315,0.6094182825484764,0.8005540166204986,0.6842105263157895,0.53601108033241,0.9501385041551247,0.39058171745152354,0.6618190212373037
Ace Bailey,1988.0,191,156,109,0,15,25,3.4587525150905436,2.8249496981891347,1.9738430583501005,0.0,0.2716297786720322,0.45271629778672035,0.556786703601108,0.7202216066481995,0.2659279778393352,0.21606648199445982,0.4182825484764543,0.46814404432132967,0.44090489381348114
Adem Bona,1224.0,260,114,82,0,17,30,7.647058823529411,3.3529411764705883,2.411764705882353,0.0,0.5,0.8823529411764706,0.8947368421052632,0.8781163434903048,0.4903047091412742,0.21606648199445982,0.9168975069252078,0.7617728531855956,0.6929824561403509
Ajay Mitchell,1468.0,122,71,130,1,21,19,2.991825613079019,1.7411444141689374,3.1880108991825615,0.024523160762942777,0.5149863760217983,0.4659400544959128,0.45706371191135736,0.16897506925207756,0.7562326869806094,0.5249307479224377,0.9307479224376731,0.4792243767313019,0.5528624192059095
Al Horford,969.0,186,111,53,0,9,34,6.910216718266254,4.123839009287926,1.9690402476780184,0.0,0.33436532507739936,1.263157894736842,0.8476454293628809,0.9806094182825484,0.2631578947368421,0.21606648199445982,0.6218836565096952,0.8393351800554016,0.6281163434903047
Alex Caruso,1020.0,55,78,170,2,18,20,1.9411764705882355,2.7529411764705882,6.0,0.07058823529411765,0.6352941176470588,0.7058823529411764,0.16066481994459833,0.7008310249307479,0.9944598337950139,0.7700831024930748,0.9778393351800554,0.667590027700831,0.7119113573407202
