player,team,pos,g,gs,mp,net_plus_minus_per_100_poss,g_percent,tm_avg_weight_npm,avg_wo_leader,npm_diff,avg_wo_trailer
Dyson Daniels,ATL,SG,76,76,2520,11.2,0.926829268292683,1.4976138613212082,0.10190102061448351,1.3957128407067247,NA
Neemias Queta,BOS,C,76,75,1926,9.8,0.926829268292683,1.1642828296257566,0.15768496040875787,1.0065978692169988,NA
Day'Ron Sharpe,BRK,C,62,7,1160,6.8,0.7560975609756098,0.5741766534060442,0.1266365354982636,0.4475401179077806,NA
Jalen Smith,CHI,C,53,21,1095,12.4,0.6463414634146342,0.48697525370800643,-0.6506057972956588,1.1375810510036652,NA
Moussa Diabaté,CHO,C,73,47,1899,10.7,0.8902439024390244,0.6598829005617214,-0.5531829852165882,1.2130658857783096,NA
Donovan Mitchell,CLE,SG,70,70,2342,6.9,0.8536585365853658,1.494772653828454,0.6639367480445048,0.8308359057839493,NA
Ryan Nembhard,DAL,PG,60,27,1171,5.4,0.7317073170731707,-0.02045892584409994,-0.5060884297341469,0.485629503890047,NA
Nikola Jokić,DEN,C,65,65,2265,13.5,0.7926829268292683,0.8934207488363214,-0.8157107261901354,1.7091314750264568,NA
Ausar Thompson,DET,SF,73,72,1896,7.5,0.8902439024390244,0.7832295657739579,0.027537898000435705,0.7556916677735221,NA
De'Anthony Melton,GSW,PG,49,24,1125,5.8,0.5975609756097561,0.2529160842634627,-0.2700381490892538,0.5229542333527164,NA
Amen Thompson,HOU,PG,79,79,2953,5.5,0.9634146341463414,0.3419029341762521,-0.6209224878628382,0.9628254220390904,NA
Pascal Siakam,IND,PF,62,62,2057,5.5,0.7560975609756098,0.43602011974299354,-0.47773653143092193,0.9137566511739155,NA
Kawhi Leonard,LAC,SF,65,65,2085,14.5,0.7926829268292683,1.0108654763783609,-0.7977853136265751,1.808650790004936,NA
Marcus Smart,LAL,SG,62,54,1769,9.9,0.7560975609756098,1.7716700685473787,0.8082881932484299,0.9633818752989488,NA
Cedric Coward,MEM,SG,62,47,1598,10.1,0.7560975609756098,3.1452308249534444,2.307148714620106,0.8380821103333385,NA
Bam Adebayo,MIA,C,73,73,2365,9.5,0.8902439024390244,0.10973483526894653,-1.1935980499592314,1.3033328852281778,NA
Ryan Rollins,MIL,PG,74,67,2376,8.5,0.9024390243902439,0.1680636076193602,-1.3461172695611618,1.514180877180522,NA
Donte DiVincenzo,MIN,SG,82,82,2494,7.6,1,1.0847554866407698,0.1744226452530125,0.9103328413877574,NA
Yves Missi,NOP,C,66,14,1297,4.9,0.8048780487804879,0.5334038076836967,0.20525484262016266,0.32814896506353397,NA
Miles McBride,NYK,SG,41,15,1080,5.2,0.5,0.6866388231978188,0.17906537847247897,0.5075734447253398,NA
Shai Gilgeous-Alexander,OKC,PG,68,68,2259,12.3,0.8292682926829268,2.53098552416073,1.1791653625314757,1.3518201616292544,NA
Jalen Suggs,ORL,PG,57,56,1574,7.6,0.6951219512195121,0.5761306265426056,-0.26917824756846503,0.8453088741110706,NA
Tyrese Maxey,PHI,PG,70,70,2661,3.4,0.8536585365853658,-0.03835264695449024,-0.6917247616956405,0.6533721147411502,NA
Rasheer Fleming,PHO,PF,55,1,673,7.1,0.6707317073170732,0.33331359046920167,0.0034985224653956335,0.32981506800380606,NA
Jrue Holiday,POR,PG,53,51,1560,9.8,0.6463414634146342,0.7995947511408146,-0.28049775901660506,1.0800925101574197,NA
Nique Clifford,SAC,SG,75,28,1882,9.5,0.9146341463414634,0.3437590131913107,-0.9047436466141127,1.2485026598054234,NA
Victor Wembanyama,SAS,C,64,55,1866,16,0.7804878048780488,3.5596678290397703,1.9355218949997295,1.6241459340400408,NA
Jamal Shead,TOR,PG,82,12,1852,5.3,1,0.5469754142563945,0.1144593695004434,0.4325160447559511,NA
Lauri Markkanen,UTA,PF,42,42,1443,9.4,0.5121951219512195,-0.11842078593094187,-1.570705843116497,1.4522850571855552,NA
Jamir Watkins,WAS,SG,50,7,1032,6.4,0.6097560975609756,-1.5165323061361464,-2.2453070983281536,0.7287747921920071,NA
Keaton Wallace,ATL,PG,53,3,536,-11.6,0.6463414634146342,1.4976138613212082,NA,-0.8614725826866507,2.359086444007859
Jaylen Brown,BOS,SF,71,71,2443,-4.6,0.8658536585365854,1.1642828296257566,NA,-1.286771127685658,2.4510539573114145
Drake Powell,BRK,SG,63,24,1320,-8.1,0.7682926829268293,0.5741766534060442,NA,-0.649693707002778,1.2238703604088221
Patrick Williams,CHI,PF,72,6,1474,-9.6,0.8780487804878049,0.48697525370800643,NA,-0.5742272002797234,1.0612024539877298
Tre Mann,CHO,PG,53,1,669,-19.8,0.6463414634146342,0.6598829005617214,NA,-1.3996230406515369,2.059505941213258
De'Andre Hunter,CLE,SF,43,23,1125,-8,0.524390243902439,1.494772653828454,NA,-1.1661698150931998,2.660942468921654
Caleb Martin,DAL,SF,58,12,856,-4.9,0.7073170731707317,-0.02045892584409994,NA,-0.31227599735990935,0.29181707151580943
Zeke Nnaji,DEN,PF,52,4,626,-13.7,0.6341463414634146,0.8934207488363214,NA,-0.12191764817082029,1.0153383970071417
Caris LeVert,DET,SG,60,0,1154,-10.4,0.7317073170731707,0.7832295657739579,NA,-0.9922063842652626,1.7754359500392205
Buddy Hield,GSW,SG,44,3,768,-7,0.5365853658536586,0.2529160842634627,NA,-0.14270038951942982,0.3956164737828925
Alperen Şengün,HOU,C,72,72,2398,-5.7,0.8780487804878049,0.3419029341762521,NA,-0.8377955253452163,1.1796984595214683
Jarace Walker,IND,PF,76,41,1953,-5.8,0.926829268292683,0.43602011974299354,NA,-0.8216099119168889,1.2576300316598825
John Collins,LAC,PF,69,56,1872,-3.9,0.8414634146341463,1.0108654763783609,NA,-0.7810766440440777,1.7919421204224386
Dalton Knecht,LAL,SF,54,1,553,-10.9,0.6585365853658537,1.7716700685473787,NA,-0.13971897138978528,1.911389039937164
Olivier-Maxence Prosper,MEM,PF,53,24,984,-4.3,0.6463414634146342,3.1452308249534444,NA,-0.7633882667981768,3.9086190917516213
Kel'el Ware,MIA,C,77,34,1704,-6.2,0.9390243902439024,0.10973483526894653,NA,-0.7962162214607529,0.9059510567296994
Gary Trent Jr.,MIL,SG,65,21,1377,-9,0.7926829268292683,0.1680636076193602,NA,-1.4348500076259347,1.602913615245295
Terrence Shannon Jr.,MIN,SG,43,2,538,-11.7,0.524390243902439,1.0847554866407698,NA,-0.9285562780651127,2.0133117647058825
Jordan Hawkins,NOP,SG,51,1,692,-6.9,0.6219512195121951,0.5334038076836967,NA,-0.04413739707904607,0.5775412047627427
Jordan Clarkson,NYK,SG,72,1,1279,-3.2,0.8780487804878049,0.6866388231978188,NA,0.03097059158592519,0.6556682316118936
Branden Carlson,OKC,C,42,4,488,-15.3,0.5121951219512195,2.53098552416073,NA,-0.7533081671782269,3.284293691338957
Tyus Jones,ORL,PG,48,8,754,-9.2,0.5853658536585366,0.5761306265426056,NA,-0.8804455231445341,1.4565761496871397
Trendon Watford,PHI,PF,53,7,864,-9.8,0.6463414634146342,-0.03835264695449024,NA,-0.9361128929931343,0.897760246038644
Royce O'Neale,PHO,SF,78,67,2213,-11,0.9512195121951219,0.33331359046920167,NA,-1.8410375545689666,2.1743511450381683
Rayan Rupert,POR,SG,48,0,577,-11.6,0.5853658536585366,0.7995947511408146,NA,-0.7331097654563195,1.532704516597134
Keon Ellis,SAC,SG,43,5,758,-5.3,0.524390243902439,0.3437590131913107,NA,-0.3792110807091073,0.722970093900418
Carter Bryant,SAS,PF,71,0,818,-7.1,0.8658536585365854,3.5596678290397703,NA,-0.36541007055630637,3.9250778995960767
Brandon Ingram,TOR,SF,77,77,2604,-5.9,0.9390243902439024,0.5469754142563945,NA,-1.2452467377623078,1.7922221520187023
Isaiah Collier,UTA,PG,59,19,1517,-9,0.7195121951219512,-0.11842078593094187,NA,-0.20445451299431,0.08603372706336813
Bub Carrington,WAS,PG,82,48,2271,-8.6,1,-1.5165323061361464,NA,-0.8492530479288118,-0.6672792582073346
