personId,blocks_recovered_by_other,blocks_recovered_by_own,blocks,percent_blk_recovered_by_own,player_name
2544,18.0,17.0,35.0,0.4857142857142857,LeBron James
200768,1.0,1.0,2.0,0.5,Kyle Lowry
201142,26.0,45.0,71.0,0.6338028169014085,Kevin Durant
201143,30.0,21.0,51.0,0.4117647058823529,Al Horford
201144,5.0,9.0,14.0,0.6428571428571429,Mike Conley
201145,0.0,2.0,2.0,1.0,Jeff Green
201566,6.0,6.0,12.0,0.5,Russell Westbrook
201567,5.0,4.0,9.0,0.4444444444444444,Kevin Love
201569,0.0,1.0,1.0,1.0,Eric Gordon
201572,39.0,48.0,87.0,0.5517241379310345,Brook Lopez
201587,15.0,8.0,23.0,0.34782608695652173,Nicolas Batum
201599,3.0,7.0,10.0,0.7,DeAndre Jordan
201935,18.0,10.0,28.0,0.35714285714285715,James Harden
201939,7.0,10.0,17.0,0.5882352941176471,Stephen Curry
201942,15.0,8.0,23.0,0.34782608695652173,DeMar DeRozan
201950,2.0,4.0,6.0,0.6666666666666666,Jrue Holiday
201959,1.0,0.0,1.0,0.0,Taj Gibson
202066,2.0,0.0,2.0,0.0,Garrett Temple
202331,7.0,9.0,16.0,0.5625,Paul George
202685,16.0,21.0,37.0,0.5675675675675675,Jonas Valančiūnas
202687,1.0,1.0,2.0,0.5,Bismack Biyombo
202691,12.0,10.0,22.0,0.45454545454545453,Klay Thompson
202695,15.0,12.0,27.0,0.4444444444444444,Kawhi Leonard
202696,22.0,19.0,41.0,0.4634146341463415,Nikola Vučević
202699,15.0,11.0,26.0,0.4230769230769231,Tobias Harris
202710,2.0,6.0,8.0,0.75,Jimmy Butler III
203076,15.0,18.0,33.0,0.5454545454545454,Anthony Davis
203083,22.0,27.0,49.0,0.5510204081632653,Andre Drummond
203084,7.0,6.0,13.0,0.46153846153846156,Harrison Barnes
203110,15.0,27.0,42.0,0.6428571428571429,Draymond Green
203114,7.0,2.0,9.0,0.2222222222222222,Khris Middleton
203468,15.0,20.0,35.0,0.5714285714285714,CJ McCollum
203471,9.0,2.0,11.0,0.18181818181818182,Dennis Schröder
203482,1.0,2.0,3.0,0.6666666666666666,Kelly Olynyk
203484,4.0,4.0,8.0,0.5,Kentavious Caldwell-Pope
203497,54.0,70.0,124.0,0.5645161290322581,Rudy Gobert
203500,7.0,13.0,20.0,0.65,Steven Adams
203501,7.0,3.0,10.0,0.3,Tim Hardaway Jr.
203507,14.0,10.0,24.0,0.4166666666666667,Giannis Antetokounmpo
203648,3.0,3.0,6.0,0.5,Thanasis Antetokounmpo
203897,3.0,7.0,10.0,0.7,Zach LaVine
203903,7.0,3.0,10.0,0.3,Jordan Clarkson
203914,3.0,6.0,9.0,0.6666666666666666,Gary Harris
203924,18.0,17.0,35.0,0.4857142857142857,Jerami Grant
203926,2.0,2.0,4.0,0.5,Doug McDermott
203932,1.0,9.0,10.0,0.9,Aaron Gordon
203935,10.0,13.0,23.0,0.5652173913043478,Marcus Smart
203937,15.0,10.0,25.0,0.4,Kyle Anderson
203939,14.0,7.0,21.0,0.3333333333333333,Dwight Powell
203944,4.0,14.0,18.0,0.7777777777777778,Julius Randle
203952,33.0,36.0,69.0,0.5217391304347826,Andrew Wiggins
203954,25.0,20.0,45.0,0.4444444444444444,Joel Embiid
203991,17.0,46.0,63.0,0.7301587301587301,Clint Capela
203992,3.0,0.0,3.0,0.0,Bogdan Bogdanović
203994,10.0,12.0,22.0,0.5454545454545454,Jusuf Nurkić
203999,29.0,24.0,53.0,0.4528301886792453,Nikola Jokić
204001,14.0,24.0,38.0,0.631578947368421,Kristaps Porziņģis
204060,1.0,1.0,2.0,0.5,Joe Ingles
204456,7.0,3.0,10.0,0.3,T.J. McConnell
1626145,2.0,1.0,3.0,0.3333333333333333,Tyus Jones
1626156,2.0,0.0,2.0,0.0,D'Angelo Russell
1626157,18.0,22.0,40.0,0.55,Karl-Anthony Towns
1626162,16.0,8.0,24.0,0.3333333333333333,Kelly Oubre Jr.
1626164,13.0,5.0,18.0,0.2777777777777778,Devin Booker
1626166,5.0,2.0,7.0,0.2857142857142857,Cameron Payne
1626167,59.0,56.0,115.0,0.48695652173913045,Myles Turner
1626171,7.0,5.0,12.0,0.4166666666666667,Bobby Portis
1626172,4.0,6.0,10.0,0.6,Kevon Looney
1626181,5.0,9.0,14.0,0.6428571428571429,Norman Powell
1626192,0.0,1.0,1.0,1.0,Pat Connaughton
1626204,5.0,1.0,6.0,0.16666666666666666,Larry Nance Jr.
1626220,19.0,13.0,32.0,0.40625,Royce O'Neale
1627734,1.0,3.0,4.0,0.75,Domantas Sabonis
1627739,9.0,5.0,14.0,0.35714285714285715,Kris Dunn
1627741,4.0,5.0,9.0,0.5555555555555556,Buddy Hield
1627742,24.0,31.0,55.0,0.5636363636363636,Brandon Ingram
1627746,1.0,0.0,1.0,0.0,Skal Labissiere
1627747,22.0,19.0,41.0,0.4634146341463415,Caris LeVert
1627749,2.0,1.0,3.0,0.3333333333333333,Dejounte Murray
