player,player_id,pos,team,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,position,value,ht_ft,ht_in,wt,full_in_ht,position_2,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,leader
Precious Achiuwa,achiupr01,C,SAC,73,57,1745,0,0,0,83,17,big_percent,100,6,8,243,80,big,1.8,1.2,2.9,0.081,-0.5,-1.1,-1.6,0.2,FALSE
Steven Adams,adamsst01,C,HOU,32,11,730,0,0,0,0,100,big_percent,100,6,11,265,83,big,1.1,1,2.1,0.141,-0.1,-0.3,-0.5,0.3,FALSE
Bam Adebayo,adebaba01,C,MIA,73,73,2365,0,0,0,21,79,big_percent,100,6,9,255,81,big,2.8,3.6,6.4,0.129,1.5,0.4,2,2.4,TRUE
Ochai Agbaji,agbajoc01,SG,BRK,20,0,323,23,55,23,0,0,guard_percent,78,6,5,215,77,guard,0.1,0.1,0.3,0.042,-1,-1.7,-2.7,-0.1,FALSE
Ochai Agbaji,agbajoc01,SG,BRK,20,0,323,23,55,23,0,0,wing_small_percent,78,6,5,215,77,wing,0.1,0.1,0.3,0.042,-1,-1.7,-2.7,-0.1,FALSE
Ochai Agbaji,agbajoc01,SG,TOR,42,13,650,1,80,19,0,0,wing_small_percent,99,6,5,215,77,wing,0,0.7,0.6,0.048,-4.8,0.1,-4.7,-0.5,FALSE
Santi Aldama,aldamsa01,PF,MEM,43,11,1198,0,0,9,84,7,big_percent,93,7,0,215,84,big,1.3,1,2.3,0.092,1.3,0.4,1.7,1.1,TRUE
Nickeil Alexander-Walker,alexani01,SG,ATL,78,71,2603,33,63,4,0,0,guard_percent,96,6,5,205,77,guard,3.6,2.7,6.3,0.116,1.6,-0.4,1.2,2.1,TRUE
Trey Alexander,alexatr01,SG,NOP,9,0,111,26,69,5,0,0,guard_percent,95,6,5,185,77,guard,0.1,0.1,0.2,0.09,-1.5,-0.1,-1.6,0,FALSE
Grayson Allen,allengr01,SG,PHO,51,27,1467,31,53,15,0,0,guard_percent,84,6,3,198,75,guard,2.3,1.6,3.9,0.127,1.9,0.2,2.1,1.5,FALSE
Jarrett Allen,allenja01,C,CLE,56,56,1519,0,0,0,0,100,big_percent,100,6,9,243,81,big,4.2,2.2,6.4,0.202,2.2,0.4,2.6,1.8,FALSE
Jose Alvarado,alvarjo01,PG,NOP,41,0,896,100,0,0,0,0,guard_percent,100,6,0,179,72,guard,0.5,0.5,1,0.055,-1.5,-0.5,-2,0,FALSE
Jose Alvarado,alvarjo01,PG,NYK,28,3,474,100,0,0,0,0,guard_percent,100,6,0,179,72,guard,0.5,0.7,1.2,0.119,-0.9,1.8,0.9,0.4,FALSE
Kyle Anderson,anderky01,SF,MEM,4,3,89,0,0,18,82,0,wing_big_percent,100,6,8,230,80,wing,0.1,0.1,0.2,0.105,-2.5,1.4,-1.1,0,FALSE
Kyle Anderson,anderky01,SF,MIN,19,2,363,0,10,64,24,2,wing_big_percent,88,6,8,230,80,wing,0.4,0.5,1,0.126,-1.2,2.8,1.6,0.3,FALSE
Kyle Anderson,anderky01,SF,UTA,20,0,401,0,1,16,69,14,wing_big_percent,85,6,8,230,80,wing,0.5,0.2,0.7,0.087,-1,0.7,-0.3,0.2,FALSE
Alex Antetokounmpo,antetal01,SF,MIL,6,0,21,0,0,38,62,0,wing_big_percent,100,6,8,214,80,wing,0.1,0,0.1,0.282,7.3,-1.9,5.4,0,TRUE
Giannis Antetokounmpo,antetgi01,PF,MIL,36,36,1039,0,0,9,62,29,big_percent,91,6,11,243,83,big,3.9,1.1,5,0.231,7.7,1.8,9.5,3,TRUE
Thanasis Antetokounmpo,antetth01,SF,MIL,34,0,148,0,1,20,75,5,wing_big_percent,95,6,7,219,79,wing,0,0.2,0.2,0.076,-3.5,1.8,-1.7,0,FALSE
Cole Anthony,anthoco01,PG,MIL,35,0,527,99,1,0,0,0,guard_percent,100,NA,NA,NA,NA,guard,-0.9,0.4,-0.5,-0.042,-3.9,-0.9,-4.7,-0.4,FALSE
OG Anunoby,anunoog01,PF,NYK,67,67,2224,0,0,8,90,2,wing_big_percent,98,6,7,240,79,wing,3.1,3.2,6.3,0.135,0.9,1.1,2,2.3,FALSE
Deni Avdija,avdijde01,SF,POR,66,66,2199,0,23,62,14,0,wing_small_percent,85,6,8,228,80,wing,4.5,2.4,7,0.152,3.7,0.6,4.3,3.5,TRUE
Deandre Ayton,aytonde01,C,LAL,72,72,1958,0,0,0,0,100,big_percent,100,7,0,252,84,big,4,2.2,6.2,0.152,0,-0.9,-0.9,0.6,FALSE
Marvin Bagley III,baglema01,PF,DAL,22,4,470,0,0,0,5,95,big_percent,100,6,10,235,82,big,1.1,0.5,1.6,0.165,1.8,-0.8,1,0.3,FALSE
Marvin Bagley III,baglema01,PF,WAS,38,8,731,0,0,0,1,99,big_percent,100,6,10,235,82,big,1.9,0.3,2.1,0.14,1.8,-1.1,0.7,0.5,FALSE
Ace Bailey,baileac01,SF,UTA,72,61,1988,0,4,51,41,5,wing_big_percent,92,6,9,200,81,wing,-0.4,0.3,-0.1,-0.001,-1.9,-2.5,-4.4,-1.2,FALSE
Adama-Alpha Bal,balad01,SG,MEM,8,1,241,0,14,51,31,4,wing_big_percent,82,NA,NA,NA,NA,wing,0.2,0.1,0.3,0.065,-3.6,-1.8,-5.4,-0.2,FALSE
Patrick Baldwin Jr.,baldwpa01,SF,LAC,2,0,12,0,0,100,0,0,big_percent,100,7,0,220,84,big,0.1,0,0.1,0.214,5.2,-0.4,4.8,0,FALSE
Patrick Baldwin Jr.,baldwpa01,SF,PHI,1,0,2,0,0,0,100,0,big_percent,100,7,0,220,84,big,0,0,0,0.085,-5,-3.1,-8.1,0,FALSE
Patrick Baldwin Jr.,baldwpa01,SF,SAC,6,1,88,0,0,23,77,0,big_percent,100,7,0,220,84,big,0,0.1,0,0.027,-4,-1.6,-5.6,-0.1,FALSE
