TeamFullName,shot_clock,inbound,halfcourt,tot_violations
Atlanta Hawks,62,2,1,65
Boston Celtics,64,5,2,71
Cleveland Cavaliers,52,1,2,55
New Orleans Pelicans,57,2,1,60
Chicago Bulls,53,2,2,57
Dallas Mavericks,43,1,2,46
Denver Nuggets,57,1,1,59
Golden State Warriors,52,2,1,55
Houston Rockets,72,4,5,81
LA Clippers,60,3,2,65
Los Angeles Lakers,53,1,4,58
Miami Heat,39,4,1,44
Milwaukee Bucks,53,5,3,61
Minnesota Timberwolves,54,1,1,56
Brooklyn Nets,58,1,3,62
New York Knicks,65,1,1,67
Orlando Magic,39,0,0,39
Indiana Pacers,52,2,1,55
Philadelphia 76ers,50,0,3,53
Phoenix Suns,77,0,1,78
Portland Trail Blazers,65,1,0,66
Sacramento Kings,49,0,0,49
San Antonio Spurs,64,2,0,66
Oklahoma City Thunder,47,1,0,48
Toronto Raptors,56,6,4,66
Utah Jazz,40,1,0,41
Memphis Grizzlies,32,1,3,36
Washington Wizards,38,2,2,42
Detroit Pistons,75,2,2,79
Charlotte Hornets,77,2,1,80
