player,salary,tm,season,source
A.C. Green,5125088,DAL,1999,Basketball-Reference
A.C. Green,5095088,DAL,1998,Basketball-Reference
A.C. Green,4851000,DAL,1997,Basketball-Reference
A.C. Green,1700000,LAL,2000,Basketball-Reference
A.C. Green,1750000,LAL,1993,Basketball-Reference
A.C. Green,1750000,LAL,1992,Basketball-Reference
A.C. Green,1750000,LAL,1991,Basketball-Reference
A.C. Green,1500000,LAL,1990,Basketball-Reference
A.C. Green,269000,LAL,1989,Basketball-Reference
A.C. Green,218750,LAL,1988,Basketball-Reference
A.C. Green,128750,LAL,1986,Basketball-Reference
A.C. Green,2250000,MIA,2001,Basketball-Reference
A.C. Green,6473000,PHO,1996,Basketball-Reference
A.C. Green,6472600,PHO,1995,Basketball-Reference
A.C. Green,1885000,PHO,1994,Basketball-Reference
A.J. Bramlett,118974,CLE,2000,Basketball-Reference
A.J. English,150000,CHI,1994,Basketball-Reference
A.J. English,150000,POR,1994,Basketball-Reference
A.J. English,406000,WSB,1993,Basketball-Reference
A.J. English,325000,WSB,1992,Basketball-Reference
A.J. English,275000,WSB,1991,Basketball-Reference
A.J. Guyton,465850,CHI,2002,Basketball-Reference
A.J. Guyton,316969,CHI,2001,Basketball-Reference
A.J. Guyton,18748,GSW,2003,Basketball-Reference
A.J. Hammons,650000,DAL,2017,Basketball-Reference
A.J. Hammons,350087,MIA,2020,Basketball-Reference
A.J. Hammons,350088,MIA,2019,Basketball-Reference
A.J. Hammons,1312611,MIA,2018,Basketball-Reference
A.J. Price,854389,IND,2012,Basketball-Reference
A.J. Price,762195,IND,2011,Basketball-Reference
A.J. Price,457588,IND,2010,Basketball-Reference
A.J. Price,62552,PHO,2015,Basketball-Reference
A.J. Price,885120,WAS,2013,Basketball-Reference
A.J. Wynder,140000,BOS,1993,Basketball-Reference
A.J. Wynder,130000,BOS,1992,Basketball-Reference
A.J. Wynder,30000,BOS,1991,Basketball-Reference
Aaron Brooks,2000000,CHI,2016,Basketball-Reference
Aaron Brooks,1145685,CHI,2015,Basketball-Reference
Aaron Brooks,1027424,HOU,2014,Basketball-Reference
Aaron Brooks,1118520,HOU,2010,Basketball-Reference
