,PLAYER_ID,PLAYER_NAME,G,MIN,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,DEF_BOXOUTS,DEF_LOOSE_BALLS_RECOVERED,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
0,1713,Vince Carter,267,5032.0,12,545,557,318,419,53,0.6979813664596274,0.4083850931677019,0.8183229813664596,0.639751552795031,0.7888198757763976,0.31521739130434784,3.6684782608695654
1,1717,Dirk Nowitzki,182,4119.0,0,909,285,167,548,23,0.07841614906832298,0.7795031055900621,0.10714285714285714,0.18478260869565216,0.9394409937888198,0.09472049689440994,2.1840062111801237
3,1891,Jason Terry,125,2179.0,1,200,232,153,30,15,0.281055900621118,0.2639751552795031,0.75,0.7267080745341615,0.18322981366459629,0.12267080745341614,2.327639751552795
5,1938,Manu Ginobili,134,2590.0,25,179,151,271,71,20,0.9611801242236024,0.09006211180124224,0.04192546583850932,0.967391304347826,0.4301242236024845,0.15527950310559005,2.645962732919255
7,2037,Jamal Crawford,227,5027.0,1,222,239,232,40,41,0.18788819875776397,0.007763975155279503,0.007763975155279503,0.327639751552795,0.09006211180124224,0.18633540372670807,0.8074534161490683
8,2199,Tyson Chandler,174,3543.0,4,976,154,127,564,25,0.4720496894409938,0.8633540372670807,0.004658385093167702,0.11645962732919254,0.9798136645962733,0.12577639751552794,2.562111801242236
9,2200,Pau Gasol,171,3800.0,2,1462,201,89,446,23,0.30745341614906835,0.984472049689441,0.018633540372670808,0.012422360248447204,0.8928571428571429,0.09937888198757763,2.315217391304348
10,2207,Joe Johnson,134,3050.0,0,286,338,107,109,24,0.07841614906832298,0.29037267080745344,0.8198757763975155,0.10403726708074534,0.5559006211180124,0.17080745341614906,2.0194099378881987
11,2210,Richard Jefferson,99,1777.0,7,249,217,71,17,4,0.827639751552795,0.6086956521739131,0.9332298136645962,0.17080745341614906,0.11645962732919254,0.055900621118012424,2.7127329192546585
12,2216,Zach Randolph,132,3294.0,1,551,300,174,248,15,0.23136645962732919,0.6956521739130435,0.4409937888198758,0.4472049689440994,0.7639751552795031,0.07453416149068323,2.6537267080745344
13,2225,Tony Parker,174,3661.0,1,230,264,123,57,33,0.21894409937888198,0.055900621118012424,0.14596273291925466,0.09006211180124224,0.21894409937888198,0.23136645962732919,0.9611801242236025
15,2399,Mike Dunleavy,53,841.0,4,100,87,32,0,0,0.860248447204969,0.4860248447204969,0.6816770186335404,0.14130434782608695,0.021739130434782608,0.023291925465838508,2.2142857142857144
16,2403,Nene,161,2502.0,15,620,265,219,333,28,0.90527950310559,0.8198757763975155,0.7375776397515528,0.8975155279503105,0.9409937888198758,0.38198757763975155,4.683229813664596
17,2440,Matt Barnes,74,1776.0,1,243,235,120,0,0,0.3167701863354037,0.59472049689441,0.9782608695652174,0.7049689440993789,0.021739130434782608,0.023291925465838508,2.639751552795031
19,2544,LeBron James,379,13662.0,61,1236,946,770,527,200,0.8462732919254659,0.2453416149068323,0.11024844720496894,0.5295031055900621,0.5745341614906833,0.6863354037267081,2.9922360248447206
