player,pts,trb,ast,stl,blk,pts_as_percent_of_other_stats
Allan Bristow,5450,2787,2219,514,42,0.4949146385760988
Bird Averitt,4434,680,1078,325,55,0.6746804625684724
Bo Lamar,4478,739,1063,359,30,0.6714649872544609
Caldwell Jones,10241,10685,1800,685,2297,0.3983584876303096
Doug Collins,7427,1339,1368,518,114,0.6898569570871261
Dwight Jones,6230,4513,911,429,397,0.49919871794871795
E.C. Coleman,2553,2151,472,305,142,0.45402809887960166
Ed Ratleff,2813,1363,896,430,143,0.4983170947741364
Ernie DiGregorio,2997,610,1594,190,14,0.5544865864939871
Jim Brewer,4099,4458,1038,556,510,0.3844855079260857
John Brown,3614,2126,703,250,76,0.5339045649283498
John Williamson,9017,1274,1441,553,138,0.7258311196973356
Ken Charles,2747,640,806,407,128,0.5810067681895094
Kermit Washington,4666,4232,695,403,550,0.4424426322776408
Kevin Kunnert,4602,4031,784,252,616,0.4474477394263491
Larry Kenon,12954,6701,1672,952,247,0.5750688093758324
Mike Bantom,8568,4517,1623,630,478,0.5417298937784522
Mike Green,5301,3181,587,325,752,0.5224719101123596
Nick Weatherspoon,4086,2232,418,344,145,0.5655363321799308
Ron Behagen,3977,2712,624,290,160,0.5123019451243076
Slick Watts,3901,1398,2678,961,111,0.4310973588241795
Swen Nater,8980,8340,1235,364,427,0.4641786415796547
Tim Bassett,2933,3148,576,358,227,0.40499861916597624
Aaron James,3829,1470,370,158,69,0.6494233378561737
Bill Walton,6215,4923,1590,380,1034,0.43947107905529625
Billy Knight,13901,4377,1862,834,143,0.6582847942416062
Bobby Jones,11391,5739,2522,1387,1319,0.5094820645853833
Brian Winters,10537,1688,2674,792,190,0.6634972608777785
Campy Russell,8953,2696,1684,594,114,0.637632647247347
Eric Money,5211,894,1623,524,62,0.6267741159490017
Foots Walker,4199,1686,3111,992,83,0.41693972793168504
Gus Gerard,3765,1811,560,283,318,0.5588540893572806
Harvey Catchings,2335,3639,608,261,1226,0.28937910521749904
Jamaal Wilkes,14644,5117,2050,1049,262,0.6333362165902604
Jan van Breda Kolff,3696,2572,1178,476,468,0.4405244338498212
John Drew,15291,5088,1224,1004,193,0.6706578947368421
Kevin Restani,3386,2206,747,221,111,0.5075700794483585
Len Elmore,3948,3360,616,582,674,0.4300653594771242
Marvin Barnes,5034,2873,651,365,438,0.5377630595021899
Maurice Lucas,14857,9306,2498,803,659,0.5282864559257547
Mickey Johnson,12748,6465,2677,1025,632,0.5413853144774281
Moses Malone,29580,17834,1936,1199,1889,0.564094740455395
Phil Smith,9924,1978,2561,734,165,0.6460096341622185
Scott Wedman,11916,4355,1771,846,301,0.620980770232946
Steve Hawes,5768,4272,1288,518,314,0.4743421052631579
Tom Burleson,4190,2794,601,312,591,0.4936380772855796
Tom Henderson,6088,1494,3136,760,76,0.5269170849922105
Truck Robinson,11988,7267,1348,533,510,0.5538205673103576
Alvan Adams,13910,6937,4012,1289,808,0.5160261166345155
