player,season,pos,age,experience,ts_percent,usg_percent,vorp,ts_rank,usg_rank,vorp_rank,empty_stats
Al Smith,1974,PG,27,3,0.469,18.4,0.1,0.75,0.5384615384615384,0.7727272727272727,2.061188811188811
Artis Gilmore,1974,C,24,3,0.531,19.8,5.4,0.2857142857142857,0.6153846153846154,0.07142857142857142,0.9725274725274725
Barry Parkhill,1974,SG,22,1,0.42,18.6,-1,0.9791666666666666,0.125,0.9583333333333334,2.0625
Bill Keller,1974,PG,26,5,0.534,21,0.9,0.1590909090909091,0.8461538461538461,0.45454545454545453,1.4597902097902098
Bill Melchionni,1974,PG,29,7,0.482,13.3,0,0.6136363636363636,0,0.8181818181818182,1.4318181818181819
Billy Paultz,1974,C,25,4,0.531,20.3,2.7,0.2857142857142857,0.6923076923076923,0.21428571428571427,1.1923076923076923
Billy Schaeffer,1974,SF,22,1,0.523,18.7,-0.1,0.2857142857142857,0.4117647058823529,0.6785714285714286,1.3760504201680672
Billy Shepherd,1974,PG,24,2,0.453,14.4,0.4,0.8636363636363636,0.07692307692307693,0.6136363636363636,1.5541958041958042
Bird Averitt,1974,SG,21,1,0.421,30,-1.1,0.9583333333333334,1,0.9791666666666666,2.9375
Bo Lamar,1974,SG,22,1,0.456,26.9,0.8,0.875,0.9375,0.5,2.3125
Brian Taylor,1974,PG,22,2,0.506,15.3,1.6,0.38636363636363635,0.3076923076923077,0.22727272727272727,0.9213286713286714
Bruce Seals,1974,SF,20,1,0.418,22.6,-0.8,0.9107142857142857,0.7058823529411765,0.9642857142857143,2.5808823529411766
Byron Beck,1974,C,29,7,0.548,18.9,1.2,0.11904761904761904,0.38461538461538464,0.5,1.0036630036630036
Caldwell Jones,1974,C,23,1,0.498,16.9,2.5,0.5714285714285714,0.15384615384615385,0.23809523809523808,0.9633699633699633
Charles Edge,1974,SF,23,1,0.531,17.5,1,0.21428571428571427,0.29411764705882354,0.30357142857142855,0.8119747899159664
Cincinnatus Powell,1974,PF,31,7,0.491,23.2,-0.1,0.52,0.7857142857142857,0.84,2.1457142857142855
Claude Terry,1974,SG,24,2,0.526,22.5,0.2,0.125,0.6875,0.7291666666666666,1.5416666666666665
Coby Dietrick,1974,PF,25,4,0.471,15.4,1.9,0.8,0.21428571428571427,0.14,1.1542857142857144
Collis Jones,1974,SF,24,3,0.429,18,-0.1,0.8928571428571429,0.35294117647058826,0.6785714285714286,1.9243697478991597
Dan Issel,1974,PF,25,4,0.534,24.9,3.9,0.12,0.8571428571428571,0,0.9771428571428571
Darnell Hillman,1974,PF,24,3,0.511,15.5,1,0.36,0.2857142857142857,0.38,1.0257142857142858
Dave Robisch,1974,C,24,3,0.538,19.3,2.9,0.23809523809523808,0.5384615384615384,0.19047619047619047,0.9670329670329669
Dave Twardzik,1974,PG,23,2,0.568,15.2,0.3,0.045454545454545456,0.15384615384615385,0.6363636363636364,0.8356643356643356
Dennis Wuycik,1974,SF,23,2,0.509,21,-0.1,0.44642857142857145,0.5882352941176471,0.6785714285714286,1.7132352941176472
Don Buse,1974,SG,23,2,0.463,11.1,2.2,0.8125,0,0.10416666666666667,0.9166666666666666
Donnie Freeman,1974,SG,29,7,0.503,24.1,0.6,0.5416666666666666,0.875,0.5416666666666666,1.958333333333333
Ed Manning,1974,SF,30,7,0.521,16.2,0.9,0.32142857142857145,0.11764705882352941,0.35714285714285715,0.796218487394958
Fatty Taylor,1974,PG,27,5,0.47,15.2,0.6,0.6818181818181818,0.15384615384615385,0.5454545454545454,1.381118881118881
Flynn Robinson,1974,SG,32,8,0.494,22.9,0.3,0.6041666666666666,0.75,0.6666666666666666,2.020833333333333
Freddie Lewis,1974,PG,30,8,0.47,17.9,0.2,0.6818181818181818,0.46153846153846156,0.75,1.8933566433566433
