season,player,tm,g,mp,net_plus_minus_per_100_poss,g_percent,median,npm_diff
1997,Christian Laettner,ATL,82,3140,20.2,1,0.5,19.7
1998,Dikembe Mutombo,ATL,82,2917,14,1,-0.4,14.4
1999,Steve Smith,ATL,36,1314,16.3,0.72,-5.25,21.55
2000,Dikembe Mutombo,ATL,82,2984,13.1,1,-0.5,13.6
2001,Dikembe Mutombo,ATL,49,1716,9.1,0.5975609756097561,-3.1,12.2
2002,Ira Newble,ATL,42,1273,6.7,0.5121951219512195,-0.4000000000000001,7.1000000000000005
2003,Dion Glover,ATL,76,1890,7.7,0.926829268292683,0.19999999999999996,7.5
2004,Travis Hansen,ATL,41,507,5.3,0.5,0.7,4.6
2005,Royal Ivey,ATL,62,809,7.9,0.7560975609756098,2,5.9
2006,Marvin Williams,ATL,79,1952,6,0.9634146341463414,-1.25,7.25
2007,Josh Childress,ATL,55,2024,5.5,0.6707317073170732,-1.8,7.3
2008,Joe Johnson,ATL,82,3343,7.7,1,-1.6,9.3
2009,Ronald Murray,ATL,80,1975,8,0.975609756097561,-3.2,11.2
2010,Al Horford,ATL,81,2845,10.4,0.9878048780487805,0.4,10
2011,Jason Collins,ATL,49,593,10,0.5975609756097561,-0.1,10.1
2012,Josh Smith,ATL,66,2329,8.6,1,-1.4,10
2013,Devin Harris,ATL,58,1421,9.1,0.7073170731707317,-1.1,10.2
2014,DeMarre Carroll,ATL,73,2341,10,0.8902439024390244,-0.7000000000000001,10.7
2015,Kyle Korver,ATL,75,2418,13.7,0.9146341463414634,0.2,13.5
2016,Dennis Schröder,ATL,80,1621,5.9,0.975609756097561,0.2,5.7
2017,Tim Hardaway Jr.,ATL,79,2154,9,0.9634146341463414,-2.4,11.4
2018,Isaiah Taylor,ATL,67,1167,5.4,0.8170731707317073,-1.6,7
2019,Kevin Huerter,ATL,75,2048,6.6,0.9146341463414634,-0.3,6.8999999999999995
2020,Trae Young,ATL,60,2120,7.4,0.8955223880597015,0.44999999999999996,6.95
2021,Clint Capela,ATL,63,1898,10.5,0.875,0.2,10.3
2022,Bogdan Bogdanović,ATL,63,1848,6.3,0.7682926829268293,1.9,4.4
1997,Rick Fox,BOS,76,2650,3.5,0.926829268292683,-0.2,3.7
1998,Tyus Edney,BOS,52,623,8.2,0.6341463414634146,-0.5,8.7
1999,Greg Minor,BOS,44,765,12.2,0.88,-0.6,12.799999999999999
2000,Paul Pierce,BOS,73,2583,13.8,0.8902439024390244,-0.35000000000000003,14.15
2001,Eric Williams,BOS,81,1745,4.6,0.9878048780487805,0.4,4.199999999999999
2002,Paul Pierce,BOS,82,3302,12.4,1,-2.1,14.5
2003,Paul Pierce,BOS,79,3096,10.7,0.9634146341463414,-2.2,12.899999999999999
2004,Mike James,BOS,55,1684,2.6,0.6707317073170732,-2.1,4.7
2005,Tony Allen,BOS,77,1262,8.8,0.9390243902439024,0,8.8
2006,Delonte West,BOS,71,2418,7.1,0.8658536585365854,-0.9,8
2007,Rajon Rondo,BOS,78,1831,8.7,0.9512195121951219,0.6,8.1
2008,Kevin Garnett,BOS,71,2328,11.8,0.8658536585365854,-3.45,15.25
