,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,season,TeamID,TeamName,WINS,LOSSES,TeamGP,G_PERCENT,CHARGES_DRAWN_pct_rank,CONTESTED_SHOTS_2PT_pct_rank,CONTESTED_SHOTS_3PT_pct_rank,DEFLECTIONS_pct_rank,DEF_BOXOUTS_pct_rank,DEF_LOOSE_BALLS_RECOVERED_pct_rank,sum
487,203932,Aaron Gordon,1610612753,ORL,22.0,58,1909.0,375,272,103,82,4,52,113,30,40,70,0.429,0.571,11,147,75,21,158,0.07,0.93,0.852,0.239,2017-18,1610612753,Magic,25,57,82,0.7073170731707317,0.6532025389497981,0.6191575302942873,0.03750721292556261,0.2740911713791114,0.7282169648009232,0.8084246970571264,3.120600115406809
490,1627846,Abdel Nader,1610612738,BOS,24.0,48,522.0,133,70,63,33,0,6,15,7,11,18,0.389,0.611,7,33,23,3,40,0.175,0.825,0.92,0.12,2017-18,1610612738,Celtics,55,27,82,0.5853658536585366,0.15031736872475476,0.582804385458742,0.8713214079630698,0.6506058857472591,0.6653202538949798,0.8165031736872476,3.736872475476053
492,201143,Al Horford,1610612738,BOS,32.0,72,2277.0,884,634,250,95,0,196,470,30,27,57,0.526,0.474,36,455,255,94,491,0.073,0.927,0.904,0.333,2017-18,1610612738,Celtics,55,27,82,0.8780487804878049,0.15031736872475476,0.8684362377380266,0.7616849394114252,0.24062319676860935,0.9301788805539527,0.3055395268320831,3.2567801500288516
494,202329,Al-Farouq Aminu,1610612757,POR,27.0,69,2072.0,598,391,207,154,0,104,240,36,49,85,0.424,0.576,44,228,131,60,272,0.162,0.838,0.885,0.405,2017-18,1610612757,Trail Blazers,49,33,82,0.8414634146341463,0.15031736872475476,0.7305251009809579,0.6151182919792267,0.7830351990767456,0.8055395268320831,0.894402769763416,3.978938257357184
496,202692,Alec Burks,1610612762,UTA,26.0,64,1059.0,190,103,87,55,1,3,7,8,28,36,0.222,0.778,1,28,15,2,29,0.034,0.966,0.882,0.118,2017-18,1610612762,Jazz,48,34,82,0.7804878048780488,0.46624350836699363,0.33006347374495093,0.3046739757645701,0.4570109636468552,0.3491055972302366,0.9411425274091172,2.848240046162724
498,203518,Alex Abrines,1610612760,OKC,24.0,75,1134.0,298,153,145,67,2,4,11,11,28,39,0.282,0.718,5,62,37,5,67,0.075,0.925,0.822,0.111,2017-18,1610612760,Thunder,48,34,82,0.9146341463414634,0.6105020196191575,0.5885747259088286,0.9249855741488748,0.5833814195037508,0.6168493941142528,0.9122908251586843,4.236583958453549
500,203458,Alex Len,1610612756,PHX,25.0,69,1395.0,640,562,78,52,0,261,585,19,16,35,0.543,0.457,107,415,254,110,524,0.204,0.792,0.873,0.378,2017-18,1610612756,Suns,21,61,82,0.8414634146341463,0.15031736872475476,0.979803808424697,0.04731679169070975,0.17195614541257934,0.9959607616849394,0.27178303519907676,2.617137911136757
503,203459,Allen Crabbe,1610612751,BKN,26.0,75,2197.0,413,260,153,112,1,18,45,22,43,65,0.338,0.662,0,40,28,9,40,0.0,1.0,0.966,0.31,2017-18,1610612751,Nets,28,54,82,0.9146341463414634,0.3306405077899596,0.49509521061742645,0.14425851125216388,0.4333525678015003,0.22215810732833238,0.7599538372763993,2.385458742065782
504,101161,Amir Johnson,1610612755,PHI,31.0,74,1170.0,410,350,60,72,6,184,407,30,20,50,0.6,0.4,84,320,224,75,404,0.208,0.792,0.878,0.294,2017-18,1610612755,76ers,52,30,82,0.9024390243902439,0.8661281015579919,0.8984420080784766,0.027120600115406807,0.624062319676861,0.9919215233698788,0.6335833814195038,4.041257934218119
505,203083,Andre Drummond,1610612765,DET,24.0,78,2625.0,875,721,154,250,1,364,794,46,46,92,0.5,0.5,313,401,389,259,715,0.438,0.561,0.853,0.568,2017-18,1610612765,Pistons,39,43,82,0.9512195121951219,0.3064050778995961,0.8615118291979227,0.061165608770917486,0.927870744373918,0.8770917484131564,0.6583958453548759,3.692440854010387
506,2738,Andre Iguodala,1610612744,GSW,34.0,64,1622.0,317,173,144,92,1,44,109,31,45,76,0.408,0.592,14,154,96,20,168,0.083,0.917,0.881,0.183,2017-18,1610612744,Warriors,58,24,82,0.7804878048780488,0.3866128101557992,0.4088286208886324,0.4166185804962493,0.5418349682631275,0.7778418926716676,0.9567224466243508,3.4884593190998268
510,1626150,Andrew Harrison,1610612763,MEM,23.0,56,1326.0,280,129,151,95,12,10,22,14,38,52,0.269,0.731,2,32,22,4,34,0.059,0.941,0.88,0.16,2017-18,1610612763,Grizzlies,22,60,82,0.6829268292682927,0.9538372763993076,0.3306405077899596,0.8078476630121177,0.7564916330063474,0.3127524523946913,0.9630698211194461,4.12463935372187
512,203952,Andrew Wiggins,1610612750,MIN,23.0,82,2979.0,739,351,388,139,0,19,44,37,52,89,0.416,0.584,19,121,83,22,140,0.136,0.864,0.883,0.234,2017-18,1610612750,Timberwolves,47,35,82,1.0,0.15031736872475476,0.4899019042123485,0.9382573571840739,0.3502596653202539,0.5054818234275822,0.6555106751298326,3.089728793998846
515,203076,Anthony Davis,1610612740,NOP,25.0,75,2727.0,1071,737,334,180,12,291,627,51,60,111,0.459,0.541,123,318,227,119,443,0.278,0.718,0.844,0.442,2017-18,1610612740,Pelicans,48,34,82,0.9146341463414634,0.8384304673975764,0.8568955568378535,0.8834391229082516,0.6889786497403346,0.8170802077322562,0.8493941142527409,4.934218118869013
516,201229,Anthony Tolliver,1610612765,DET,33.0,79,1757.0,497,307,190,55,18,117,269,18,39,57,0.316,0.684,35,292,147,39,328,0.107,0.89,0.845,0.224,2017-18,1610612765,Pistons,39,43,82,0.9634146341463414,0.9630698211194461,0.710328909405655,0.7414887478361223,0.08886324293133295,0.8926716676283901,0.8522792844777842,4.248701673398731
519,203382,Aron Baynes,1610612738,BOS,31.0,81,1485.0,696,576,120,24,17,196,457,16,21,37,0.432,0.568,118,445,313,103,563,0.21,0.79,0.844,0.278,2017-18,1610612738,Celtics,55,27,82,0.9878048780487805,0.9717253317945759,0.9734564339296018,0.28332371609924983,0.005770340450086555,0.996537795729948,0.4529717253317946,3.6837853433352565
520,201167,Arron Afflalo,1610612753,ORL,32.0,53,682.0,152,81,71,8,0,5,12,3,8,11,0.273,0.727,2,70,39,3,72,0.028,0.972,0.78,0.06,2017-18,1610612753,Magic,25,57,82,0.6463414634146342,0.15031736872475476,0.4979803808424697,0.6809001731102136,0.0017311021350259665,0.7928447778418927,0.2971725331794576,2.4209463358338144
521,203085,Austin Rivers,1610612746,LAC,25.0,61,2057.0,295,180,115,122,3,8,19,21,46,67,0.313,0.687,1,76,49,2,77,0.013,0.987,0.86,0.035,2017-18,1610612746,Clippers,42,40,82,0.7439024390243902,0.5643392960184651,0.26543566070398156,0.0467397576457011,0.586266589728794,0.4633583381419504,0.8563185227928448,2.782458165031737
522,202340,Avery Bradley,1610612746,LAC,27.0,46,1433.0,231,92,139,89,5,12,27,19,22,41,0.463,0.537,2,42,25,2,44,0.045,0.955,0.862,0.069,2017-18,1610612746,Clippers,42,40,82,0.5609756097560976,0.790536641661858,0.10328909405654933,0.566070398153491,0.6330063473744951,0.3814195037507213,0.5297172533179457,3.0040392383150607
523,1628389,Bam Adebayo,1610612748,MIA,20.0,69,1368.0,459,332,127,73,1,199,451,22,24,46,0.478,0.522,55,401,244,73,456,0.121,0.879,0.891,0.266,2017-18,1610612748,Heat,44,38,82,0.8414634146341463,0.4148874783612233,0.8216964800923254,0.4887478361223312,0.482400461627236,0.9953837276399308,0.6592613964223889,3.862377380265436
524,203463,Ben McLemore,1610612763,MEM,25.0,56,1091.0,191,88,103,74,2,4,9,19,23,42,0.452,0.548,10,63,39,11,73,0.137,0.863,0.83,0.234,2017-18,1610612763,Grizzlies,22,60,82,0.6829268292682927,0.6231967686093479,0.21465666474321984,0.5256780150028851,0.7132140796306982,0.6364685516445471,0.8170802077322562,3.5302942873629544
526,1627732,Ben Simmons,1610612755,PHI,21.0,81,2732.0,660,356,304,234,3,61,145,74,74,148,0.5,0.5,38,96,58,21,134,0.284,0.716,0.841,0.304,2017-18,1610612755,76ers,52,30,82,0.9878048780487805,0.49740334679746107,0.5649163300634737,0.7813040969417195,0.8788228505481823,0.44373918061165607,0.9492210040392384,4.1154068090017315
527,202687,Bismack Biyombo,1610612753,ORL,25.0,82,1495.0,584,492,92,43,1,221,492,25,20,45,0.556,0.444,166,375,262,126,541,0.307,0.693,0.799,0.384,2017-18,1610612753,Magic,25,57,82,1.0,0.3998845931909983,0.9376803231390652,0.07905366416618581,0.06578188113098672,0.981534910559723,0.4045008655510675,2.8684362377380266
