player,season,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_as_percent_of_other_stats
Julius Erving,1973,31.9,12.2,4.2,2.5,1.8,0.6064638783269962
Al Smith,1974,10.9,3.2,8.1,1.3,0.1,0.46186440677966095
Art Williams,1974,2.6,1.7,2.4,0.7,0,0.35135135135135137
Artis Gilmore,1974,18.7,18.3,3.9,0.7,3.4,0.41555555555555557
Austin Carr,1974,21.9,3.6,3.8,1.1,0.2,0.7156862745098038
Barry Clemens,1974,5.5,2.3,1.1,0.5,0,0.5851063829787234
Barry Parkhill,1974,4.7,1.1,1.6,0.5,0.2,0.5802469135802469
Bernie Fryer,1974,7,2,3.5,1.2,0.1,0.5072463768115942
Bill Bradley,1974,14,3.1,3,0.5,0.3,0.6698564593301435
Bill Bridges,1974,8.4,7.7,2.3,0.9,0.5,0.42424242424242425
Bill Keller,1974,9.5,1.7,2.3,0.5,0,0.6785714285714286
Billy Paultz,1974,16.4,10.2,2.2,0.8,1.9,0.5206349206349207
Billy Schaeffer,1974,6.5,2.4,0.6,0.4,0.2,0.6435643564356436
Billy Shepherd,1974,6,1.3,4.4,1.2,0.1,0.4615384615384616
Bingo Smith,1974,14.8,5.3,2.4,1.1,0.4,0.6166666666666667
Bird Averitt,1974,11.5,1.6,1.8,0.9,0.1,0.7232704402515723
Bo Lamar,1974,20.4,3.5,3.4,1.5,0.2,0.703448275862069
Bob Christian,1974,4.8,4.2,1.2,0.2,0.4,0.4444444444444445
Bob Dandridge,1974,18.9,6.7,2.8,1.6,0.6,0.6176470588235293
Bob Kauffman,1974,6.1,4.4,1.9,0.5,0.2,0.46564885496183206
Bob Lanier,1974,22.5,13.3,4.2,1.4,3,0.5067567567567568
Bob Love,1974,21.8,6,1.6,1,0.3,0.7100977198697068
Bob McAdoo,1974,30.6,15.1,2.3,1.2,3.3,0.5828571428571429
Bob Weiss,1974,8.5,1.3,3.8,1.3,0.2,0.5629139072847682
Brian Taylor,1974,11.1,2.9,4.5,2.1,0.3,0.5311004784688994
Bruce Seals,1974,7,3.6,0.7,0.7,0.7,0.5511811023622049
Bud Stallworth,1974,6.3,2.6,0.5,0.3,0.2,0.6363636363636364
Butch Beard,1974,10.2,4.9,3.8,1.3,0.1,0.5024630541871921
Byron Beck,1974,11.8,5.1,0.9,0.6,0.1,0.6378378378378379
Caldwell Jones,1974,15,13.9,1.8,0.8,4,0.4225352112676056
Calvin Murphy,1974,20.4,2.3,7.4,1.9,0,0.6375
Cazzie Russell,1974,20.5,4.3,2.3,0.7,0.2,0.7321428571428571
Charles Edge,1974,9.6,8.2,0.9,0.8,0.9,0.47058823529411775
Charles Johnson,1974,7.2,3,1.7,1.1,0.1,0.5496183206106872
Chet Walker,1974,19.3,5,2.4,0.8,0,0.7018181818181819
Chris Ford,1974,7.1,3.7,3.4,1.8,0.2,0.4382716049382716
Cincinnatus Powell,1974,15.5,6.3,1.7,0.6,0.4,0.6326530612244898
Claude Terry,1974,5,1.2,1.2,0.2,0.1,0.6493506493506493
Clem Haskins,1974,11.1,2.7,3.2,1,0.2,0.6098901098901099
Cliff Meely,1974,9.7,5.7,1.6,0.7,1,0.5187165775401069
Clifford Ray,1974,9.3,12.2,3.1,0.7,2.2,0.3381818181818182
Coby Dietrick,1974,6.9,6.3,3,1.1,0.6,0.3854748603351955
Corky Calhoun,1974,8.2,5.3,1.8,0.9,0.4,0.49397590361445787
Curtis Perry,1974,9,8.7,2.3,1.3,1.2,0.4
Curtis Rowe,1974,10.7,6.3,1.7,0.6,0.4,0.5431472081218274
Dan Issel,1974,25.5,10.2,1.7,0.8,0.4,0.6606217616580311
Darnell Hillman,1974,9.1,8.1,1.2,0.8,2.1,0.42723004694835676
Dave Bing,1974,18.8,3.5,6.9,1.3,0.2,0.6123778501628664
Dave Cowens,1974,19,15.7,4.4,1.2,1.3,0.4567307692307692
Dave DeBusschere,1974,18.1,10.7,3.6,0.9,0.5,0.5355029585798817
Dave Robisch,1974,14.5,8.4,1.8,0.5,0.8,0.5576923076923077
Dean Meminger,1974,8.3,3.6,2.1,0.8,0.1,0.5570469798657719
Dennis Awtrey,1974,2.7,2.6,1.3,0.3,0.2,0.38028169014084506
Derrek Dickey,1974,4.3,5.1,0.8,0.3,0.2,0.40186915887850466
Dick Gibbs,1974,10.8,3.1,1.1,0.5,0.3,0.6835443037974683
Dick Snyder,1974,18.1,4.1,3.6,1.2,0.4,0.6605839416058394
Dick Van Arsdale,1974,17.8,2.8,4.2,1.2,0.2,0.6793893129770993
Don Adams,1974,10.3,6.1,1.9,1.5,0.2,0.5150000000000001
Don Buse,1974,5.5,3.3,3.4,1.9,0.3,0.38194444444444436
Don Chaney,1974,10.4,4.7,2.2,1,0.8,0.5445026178010471
Don Kojis,1974,13.1,5,1.4,1,0.2,0.6328502415458938
Don Nelson,1974,11.5,4.2,2,0.2,0.2,0.6353591160220995
Donnie Freeman,1974,14.3,2.5,2.5,0.7,0.3,0.7044334975369458
Dwight Davis,1974,12.5,8.5,2.4,0.8,1,0.49603174603174605
Dwight Jones,1974,8,6.1,1.2,0.4,0.9,0.48192771084337355
E.C. Coleman,1974,5.2,4.3,1.3,0.6,0.3,0.4444444444444444
Ed Manning,1974,8.3,4.5,1.2,1.1,0.2,0.542483660130719
Ed Ratleff,1974,7.5,3.5,2.2,1.1,0.3,0.5136986301369864
Elmore Smith,1974,12.5,11.2,1.9,0.9,4.9,0.3980891719745223
Elvin Hayes,1974,21.4,18.1,2,1.1,3,0.46929824561403505
Ernie DiGregorio,1974,15.2,2.7,8.2,0.7,0.1,0.5650557620817844
Fatty Taylor,1974,9.7,4.7,5.2,2.7,0.2,0.43111111111111117
Fred Brown,1974,16.5,4.9,5,1.7,0.2,0.5830388692579506
Fred Carter,1974,21.4,4.8,5.7,1.4,0.3,0.636904761904762
Fred Foster,1974,4.8,1.9,1.1,0.3,0.1,0.5853658536585367
Freddie Boyd,1974,9.5,1.2,3.3,0.8,0.1,0.6375838926174496
